StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,767.4258658000001,None,,,,,,,,,,,,,,,,,series,aloud,white,48,58,279,764.2688585999999,None,764.2688585999999,None,6,1.5615273000000798,764.2688585999999,None,765.8623663000001,None,766.3730138000001,None,766.3730138000001,None,r,1.0254469999999856,766.3730138000001,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,771.5255029,None,,,,,,,,,,,,,,,,,subject,new_a,white,49,108,312,767.9456660000001,None,767.9456660000001,None,2,2.0610656000000063,767.9456660000001,None,770.0389318,None,770.5508983,None,770.5508983,None,n,0.9278298000000404,770.5508983,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,776.0825808,None,,,,,,,,,,,,,,,,,testimony,new_a,white,50,110,325,772.0502262,None,772.0502262,None,6,2.164325299999973,772.0502262,None,774.2556752,None,774.7598214,None,774.7598214,None,r,1.2951663000000053,774.7598214,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,783.5598037,None,,,,,,,,,,,,,,,,,produce,new_c,white,51,159,239,776.6129486,None,776.6129486,None,6,3.073641899999984,776.6129486,None,779.7311734,None,780.2480281999999,None,780.2480281999999,None,f,3.286523500000044,780.2480281999999,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,788.0274079999999,None,,,,,,,,,,,,,,,,,still,new_a,white,52,100,304,784.0730073,None,784.0730073,None,2,1.83751129999996,784.0730073,None,785.9510822,None,786.4664631999999,None,786.4664631999999,None,n,1.532005300000037,786.4664631999999,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,791.1429820999999,None,,,,,,,,,,,,,,,,,store,new_a,white,53,112,305,788.5479831,None,788.5479831,None,3,1.6826072999999724,788.5479831,None,790.2693726,None,790.7776455999999,None,790.7776455999999,None,n,0.3328475000000708,790.7776455999999,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,795.6524761999999,None,,,,,,,,,,,,,,,,,meeting,sing,white,54,1,187,791.6611617000001,None,791.6611617000001,None,2,2.9456376000000546,791.6611617000001,None,794.6377362000001,None,795.1424728,None,795.1424728,None,n,0.48062879999997676,795.1424728,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,798.8619143999999,None,,,,,,,,,,,,,,,,,school,new_a,white,55,92,274,796.1627309999999,None,796.1627309999999,None,6,1.6676170999999158,796.1627309999999,None,797.8663269000001,None,798.3778751,None,798.3778751,None,f,0.4606522000000268,798.3778751,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,802.9284394000001,None,,,,,,,,,,,,,,,,,guard,silent,white,56,69,145,799.3911066000001,None,799.3911066000001,None,4,2.007265899999993,799.3911066000001,None,801.4371602000001,None,801.9431148000001,None,801.9431148000001,None,r,0.9594549000000825,801.9431148000001,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,816.3710223999999,None,,,,,,,,,,,,,,,,,agreement,new_b,white,57,140,5,803.4594933999999,None,803.4594933999999,None,5,10.163010399999962,803.4594933999999,None,813.6561684000001,None,814.1712513,None,814.1712513,None,f,2.171538700000042,814.1712513,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,823.1628551000001,None,,,,,,,,,,,,,,,,,congress,silent,white,58,63,67,816.8841113000001,None,816.8841113000001,None,2,4.1385380999998915,816.8841113000001,None,821.0574491,None,821.5726854,None,821.5726854,None,n,1.5698776000000407,821.5726854,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,827.6300389999999,None,,,,,,,,,,,,,,,,,trail,new_a,white,59,119,336,823.6778214000001,None,823.6778214000001,None,2,3.032677700000022,823.6778214000001,None,826.7297556000001,None,827.2567985999999,None,827.2567985999999,None,n,0.3417171999999482,827.2567985999999,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,831.4296744000001,None,,,,,,,,,,,,,,,,,science,sing,white,60,8,275,828.1588575000001,None,828.1588575000001,None,6,1.5681840999999395,828.1588575000001,None,829.7666004,None,830.2800039000001,None,830.2800039000001,None,r,1.1264535999999907,830.2800039000001,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,834.896814,None,,,,,,,,,,,,,,,,,portion,new_b,white,61,141,228,831.9595489000001,None,831.9595489000001,None,1,1.9430965000000242,831.9595489000001,None,833.9409476000001,None,834.4544414,None,834.4544414,None,n,0.41618099999993774,834.4544414,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,839.1394519,None,,,,,,,,,,,,,,,,,shock,aloud,white,62,41,284,835.4104463000001,None,835.4104463000001,None,6,2.388101800000072,835.4104463000001,None,837.8433775999999,None,838.3472955,None,838.3472955,None,r,0.7554033000000118,838.3472955,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,842.5325194,None,,,,,,,,,,,,,,,,,suggestion,sing,white,63,13,314,839.6668803,None,839.6668803,None,1,1.5716552000000092,839.6668803,None,841.2754913000001,None,841.7791666999999,None,841.7791666999999,None,n,0.7316144999999779,841.7791666999999,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,847.7810582,None,,,,,,,,,,,,,,,,,shear,sing,white,64,16,283,843.0633221,None,843.0633221,None,2,3.7354010000000244,843.0633221,None,846.8602598,None,847.3777115,None,847.3777115,None,n,0.37277050000000145,847.3777115,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,851.9068625,None,,,,,,,,,,,,,,,,,stranger,aloud,white,65,53,309,848.3133190000001,None,848.3133190000001,None,2,2.7335215000000517,848.3133190000001,None,851.0927463,None,851.6098022000001,None,851.6098022000001,None,n,0.26907699999992474,851.6098022000001,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,854.8390095,None,,,,,,,,,,,,,,,,,smooth,new_b,white,66,142,292,852.428017,None,852.428017,None,2,1.5544988999999987,852.428017,None,854.0247374999999,None,854.5302575000001,None,854.5302575000001,None,n,0.2761526999998978,854.5302575000001,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,861.5677456000001,None,,,,,,,,,,,,,,,,,music,new_b,white,67,148,196,855.362267,None,855.362267,None,5,2.348444299999983,855.362267,None,857.7567276,None,858.2628580999999,None,858.2628580999999,None,f,3.2796604000000116,858.2628580999999,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,870.4299384999999,None,,,,,,,,,,,,,,,,,welcome,new_b,white,68,146,354,862.0840426,None,862.0840426,None,2,6.394580399999995,862.0840426,None,868.5011391,None,869.0164279999999,None,869.0164279999999,None,n,1.381922599999939,869.0164279999999,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,876.1000351,None,,,,,,,,,,,,,,,,,object,new_a,white,69,111,204,870.9315651,None,870.9315651,None,5,4.018801000000053,870.9315651,None,874.9922498000001,None,875.5000362000001,None,875.5000362000001,None,f,0.5703168999999662,875.5000362000001,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,880.5660997,None,,,,,,,,,,,,,,,,,hearing,new_b,white,70,124,150,876.6150915000001,None,876.6150915000001,None,5,3.087324399999943,876.6150915000001,None,879.7367053,None,880.2473451999999,None,880.2473451999999,None,f,0.2870269999999664,880.2473451999999,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,884.2476466,None,,,,,,,,,,,,,,,,,cousin,new_b,white,71,129,76,881.0808233,None,881.0808233,None,1,1.6615633000000116,881.0808233,None,882.7701044,None,883.2809523000001,None,883.2809523000001,None,n,0.9496530999999777,883.2809523000001,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,889.7481488999999,None,,,,,,,,,,,,,,,,,period,aloud,white,72,31,217,884.7497406,None,884.7497406,None,6,2.7366157000000157,884.7497406,None,887.5168839,None,888.0310445,None,888.0310445,None,r,1.6953490000000784,888.0310445,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,893.2192001000001,None,,,,,,,,,,,,,,,,,history,new_c,white,73,174,153,890.2502506000001,None,890.2502506000001,None,1,1.5482242000000497,890.2502506000001,None,891.8176888,None,892.3316440000001,None,892.3316440000001,None,n,0.8586897000000135,892.3316440000001,None,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
