StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.03075619996525,None,account,sing,blue,18,1,446.02939280006103,None,None,446.02939280006103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.5475172000006,None,equipment,aloud,yellow,54,116,448.544961999869,None,None,448.544961999869,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.06432959996164,None,tough,aloud,yellow,31,333,451.0610964000225,None,None,451.0610964000225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.5812373999506,None,front,silent,red,60,134,453.5785145999398,None,None,453.5785145999398,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.09794880007394,None,profession,aloud,yellow,50,241,456.0986746000126,None,None,456.0986746000126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.615443599876,None,territory,sing,blue,10,324,458.6123190000653,None,None,458.6123190000653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.1316925000865,None,drove,silent,red,88,106,461.12781969993375,None,None,461.12781969993375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.6471158999484,None,science,silent,red,68,275,463.64168150001206,None,None,463.64168150001206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.1500452000182,None,angle,aloud,yellow,32,7,466.1496939000208,None,None,466.1496939000208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.68216750002466,None,impact,aloud,yellow,45,157,468.6788886000868,None,None,468.6788886000868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.1992709999904,None,working,sing,blue,9,357,471.2013236999046,None,None,471.2013236999046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.71584030007944,None,place,silent,red,85,222,473.7133925999515,None,None,473.7133925999515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.2314142000396,None,short,aloud,yellow,49,285,476.2255645999685,None,None,476.2255645999685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.7496126999613,None,month,aloud,yellow,36,193,478.74126529996283,None,None,478.74126529996283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
