StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.3956395,None,short,sing,yellow,18,285,252.4014766,None,None,252.4014766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.9101675,None,second,aloud,blue,43,278,254.9171828,None,None,254.9171828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.4269531,None,scale,sing,yellow,19,272,257.4319214,None,None,257.4319214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.9431184,None,safety,sing,yellow,17,270,259.9496803,None,None,259.9496803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.4571699,None,comfort,silent,red,79,59,262.4653436,None,None,262.4653436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.9733732,None,present,sing,yellow,16,231,264.9769813,None,None,264.9769813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.4891359,None,dispute,aloud,blue,50,99,267.4941284,None,None,267.4941284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0049725,None,mayor,silent,red,64,183,270.0063416,None,None,270.0063416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.5163327,None,minor,silent,red,80,191,272.5218204,None,None,272.5218204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.0368439,None,military,silent,red,78,190,275.0227366,None,None,275.0227366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.5510828,None,society,aloud,blue,34,293,277.5536124,None,None,277.5536124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0668863,None,thick,silent,red,63,327,280.067351,None,None,280.067351,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.5825345,None,column,sing,yellow,0,57,282.5837253,None,None,282.5837253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.0985194,None,message,sing,yellow,25,189,285.1036247,None,None,285.1036247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.6149655,None,finish,aloud,blue,37,130,287.6187867,None,None,287.6187867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.1305113,None,brilliant,aloud,blue,57,30,290.1358848,None,None,290.1358848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.6484108,None,split,aloud,blue,36,299,292.649406,None,None,292.649406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.1643349,None,story,sing,yellow,7,306,295.1685889,None,None,295.1685889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.6796641,None,front,silent,red,73,134,297.6829588,None,None,297.6829588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.1944821,None,member,aloud,blue,30,188,300.2019351,None,None,300.2019351,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.7108587,None,device,silent,red,75,93,302.7166343,None,None,302.7166343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.2274396,None,enemy,aloud,blue,54,113,305.231313,None,None,305.231313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.7422741,None,block,silent,red,72,25,307.7470547,None,None,307.7470547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.2581718,None,dozen,aloud,blue,46,102,310.2718511,None,None,310.2718511,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.7735254,None,ground,silent,red,82,142,312.7794408,None,None,312.7794408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.2886198,None,turkey,sing,yellow,13,342,315.295158,None,None,315.295158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
