StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.0705586001277,None,danger,silent,yellow,81,85,540.0652596997097,None,None,540.0652596997097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.5713067995384,None,k,132.97138539981097,542.5713067995384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,685.2398336995393,None,,,,,,,,,,,,,,,,,under,silent,white,0,62,343,676.0936909001321,None,676.0936909001321,None,3,3.7448976999148726,676.0936909001321,None,679.8815062996,None,680.4001417001709,None,680.4001417001709,None,f,4.814538000151515,680.4001417001709,None,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,696.1807952001691,None,,,,,,,,,,,,,,,,,staff,sing,white,1,18,301,685.7638906994835,None,685.7638906994835,None,1,1.594713700003922,685.7638906994835,None,687.4027843000367,None,687.9248136999086,None,687.9248136999086,None,r,8.225716699846089,687.9248136999086,None,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,704.3729718001559,None,,,,,,,,,,,,,,,,,mankind,new_c,white,2,164,178,696.7091747997329,None,696.7091747997329,None,1,2.529485499486327,696.7091747997329,None,699.2932641999796,None,699.8082072995603,None,699.8082072995603,None,n,4.534582199528813,699.8082072995603,None,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,713.2745353002101,None,,,,,,,,,,,,,,,,,household,silent,white,3,77,154,704.8988183001056,None,704.8988183001056,None,5,6.643662999384105,704.8988183001056,None,711.6010844996199,None,712.1176138995215,None,712.1176138995215,None,f,1.136587900109589,712.1176138995215,None,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,720.4003954995424,None,,,,,,,,,,,,,,,,,carry,new_a,white,4,109,43,713.7750830994919,None,713.7750830994919,None,1,1.3194821001961827,713.7750830994919,None,715.1298647997901,None,715.6555596999824,None,715.6555596999824,None,r,4.718911699950695,715.6555596999824,None,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,727.7622590996325,None,,,,,,,,,,,,,,,,,crisis,silent,white,5,69,79,720.9257929995656,None,720.9257929995656,None,4,5.2006492000073195,720.9257929995656,None,726.1706949993968,None,726.6777547001839,None,726.6777547001839,None,f,1.0567143000662327,726.6777547001839,None,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,733.4509046999738,None,,,,,,,,,,,,,,,,,appearance,new_b,white,6,123,10,728.2728246999905,None,728.2728246999905,None,6,2.78172430023551,728.2728246999905,None,731.0968533996493,None,731.6239219000563,None,731.6239219000563,None,f,1.798675799742341,731.6239219000563,None,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,741.3596561001614,None,,,,,,,,,,,,,,,,,sleep,new_c,white,7,161,290,733.9639118993655,None,733.9639118993655,None,2,4.826838999986649,733.9639118993655,None,738.8312115995213,None,739.3383277002722,None,739.3383277002722,None,n,1.9880922008305788,739.3383277002722,None,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
