StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,856.2079883,None,,,,,,,,,,,,,,,,,conference,new_a,white,76,102,66,853.267343,None,853.267343,None,6,1.5084001,853.267343,None,854.8510962,None,855.3716323,None,855.3716323,None,r,0.7754658,855.3716323,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,858.3730633,None,,,,,,,,,,,,,,,,,atmosphere,aloud,white,77,47,12,856.7486266,None,856.7486266,None,6,0.9395415,856.7486266,None,857.7665474,None,858.2844883,None,858.2844883,None,r,0.030509,858.2844883,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,862.9230909,None,,,,,,,,,,,,,,,,,style,new_b,white,78,123,311,858.9102492,None,858.9102492,None,2,1.9310285,858.9102492,None,860.9099351,None,861.4317658,None,861.4317658,None,f,1.4386853,861.4317658,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,866.7532165,None,,,,,,,,,,,,,,,,,nature,silent,white,79,63,200,863.4598705,None,863.4598705,None,1,2.5622756,863.4598705,None,866.0928972,None,866.6106779,None,866.6106779,None,n,0.0873886,866.6106779,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,869.8023024,None,,,,,,,,,,,,,,,,,little,new_c,white,80,162,174,867.2975188,None,867.2975188,None,1,1.6920323,867.2975188,None,869.0619104,None,869.5939141,None,869.5939141,None,n,0.1592951,869.5939141,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,875.4182336,None,,,,,,,,,,,,,,,,,orchestra,new_a,white,81,109,206,870.342315,None,870.342315,None,2,3.835154,870.342315,None,874.258494,None,874.780695,None,874.780695,None,f,0.579716,874.780695,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,879.3333519,None,,,,,,,,,,,,,,,,,scene,new_a,white,82,111,273,875.9533545,None,875.9533545,None,2,2.6586234,875.9533545,None,878.6874108,None,879.2060859,None,879.2060859,None,f,0.0701116,879.2060859,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,882.3780028,None,,,,,,,,,,,,,,,,,concern,aloud,white,83,50,65,879.8711261,None,879.8711261,None,6,1.8328482,879.8711261,None,881.7862386,None,882.3078293,None,882.3078293,None,f,0.0126429,882.3078293,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,888.7780854,None,,,,,,,,,,,,,,,,,force,aloud,white,84,40,131,882.9216598,None,882.9216598,None,2,4.5681238,882.9216598,None,887.5644891,None,888.0880391,None,888.0880391,None,f,0.6316787,888.0880391,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,895.3593131,None,,,,,,,,,,,,,,,,,court,new_b,white,85,128,75,889.3150193,None,889.3150193,None,6,2.5526921,889.3150193,None,891.9476227,None,892.4687165,None,892.4687165,None,r,2.8320173,892.4687165,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,899.5740997,None,,,,,,,,,,,,,,,,,prime,sing,white,86,20,235,895.898067,None,895.898067,None,2,2.8419763,895.898067,None,898.8121909,None,899.3280093,None,899.3280093,None,f,0.1902992,899.3280093,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,905.0737371,None,,,,,,,,,,,,,,,,,afternoon,aloud,white,87,31,3,900.1158918,None,900.1158918,None,2,3.5034197,900.1158918,None,903.6839314,None,904.2179661,None,904.2179661,None,f,0.7998787,904.2179661,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,909.1367175,None,,,,,,,,,,,,,,,,,incident,sing,white,88,3,158,905.6122489,None,905.6122489,None,6,1.395992,905.6122489,None,907.0940096,None,907.6167244,None,907.6167244,None,r,1.4734611,907.6167244,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,911.6850812,None,,,,,,,,,,,,,,,,,accident,new_a,white,89,117,0,909.6760411,None,909.6760411,None,6,1.1377444,909.6760411,None,910.8960263,None,911.4125831,None,911.4125831,None,r,0.2187751,911.4125831,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,90,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,919.6510404,None,,,,,,,,,,,,,,,,,grade,aloud,white,90,38,140,912.2231808,None,912.2231808,None,3,6.6083379,912.2231808,None,918.8936287,None,919.4241312,None,919.4241312,None,f,0.1741383,919.4241312,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,91,0,91,0,,,,,,,,,,,,,,,,,,,,,,,,922.5668059,None,,,,,,,,,,,,,,,,,dozen,new_c,white,91,163,102,920.1976287,None,920.1976287,None,1,1.4786197,920.1976287,None,921.7429018,None,922.2751081,None,922.2751081,None,n,0.2307726,922.2751081,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,92,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,926.2300529,None,,,,,,,,,,,,,,,,,instrument,new_b,white,92,148,163,923.105476,None,923.105476,None,6,1.7403878,923.105476,None,924.9225605,None,925.4427704,None,925.4427704,None,r,0.7283152,925.4427704,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,93,0,93,0,,,,,,,,,,,,,,,,,,,,,,,,928.8797088,None,,,,,,,,,,,,,,,,,payment,aloud,white,93,37,215,926.7682332,None,926.7682332,None,6,1.2433784,926.7682332,None,928.0866505,None,928.6070424,None,928.6070424,None,r,0.2185089,928.6070424,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,94,0,94,0,,,,,,,,,,,,,,,,,,,,,,,,931.9261022,None,,,,,,,,,,,,,,,,,ground,new_a,white,94,107,142,929.4165955,None,929.4165955,None,2,1.8477859,929.4165955,None,931.3169992,None,931.8537012,None,931.8537012,None,f,0.0233106,931.8537012,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,95,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,935.5289516,None,,,,,,,,,,,,,,,,,charter,sing,white,95,19,47,932.466676,None,932.466676,None,6,2.3048903,932.466676,None,934.8493628,None,935.3690236,None,935.3690236,None,r,0.1090168,935.3690236,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,96,0,96,0,,,,,,,,,,,,,,,,,,,,,,,,938.5070063,None,,,,,,,,,,,,,,,,,guest,new_c,white,96,171,146,936.0658518,None,936.0658518,None,2,1.2818332,936.0658518,None,937.4297888,None,937.9513868,None,937.9513868,None,f,0.5036928,937.9513868,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,97,0,97,0,,,,,,,,,,,,,,,,,,,,,,,,942.3218768,None,,,,,,,,,,,,,,,,,production,new_b,white,97,140,240,939.0503672,None,939.0503672,None,6,2.5974768,939.0503672,None,941.7210769,None,942.2528299,None,942.2528299,None,r,0.0122836,942.2528299,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,98,0,98,0,,,,,,,,,,,,,,,,,,,,,,,,945.1889993,None,,,,,,,,,,,,,,,,,disease,silent,white,98,79,97,942.8645022,None,942.8645022,None,6,1.2103668,942.8645022,None,944.1457196,None,944.6708436,None,944.6708436,None,r,0.4572703,944.6708436,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,99,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,947.5903593,None,,,,,,,,,,,,,,,,,device,sing,white,99,2,93,945.7287029,None,945.7287029,None,6,0.9408768,945.7287029,None,946.7327259,None,947.2654927,None,947.2654927,None,r,0.2676377,947.2654927,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,951.8723926,None,,,,,,,,,,,,,,,,,motion,new_c,white,100,151,194,948.1275321,None,948.1275321,None,2,1.2840857,948.1275321,None,949.4702872,None,949.9968718,None,949.9968718,None,f,1.8182398,949.9968718,None,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
