StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
33,0,33,0,,,,,,,,,,,,,,point,sing,yellow,25,226,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
34,0,34,0,,,,,,,,,,,,,,grade,sing,yellow,10,140,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
35,0,35,0,,,,,,,,,,,,,,trend,silent,blue,61,340,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
36,0,36,0,,,,,,,,,,,,,,community,aloud,red,58,63,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
37,0,37,0,,,,,,,,,,,,,,sunset,aloud,red,49,315,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
38,0,38,0,,,,,,,,,,,,,,republic,aloud,red,56,260,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
39,0,39,0,,,,,,,,,,,,,,whole,aloud,red,39,355,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
40,0,40,0,,,,,,,,,,,,,,growth,sing,yellow,21,144,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
41,0,41,0,,,,,,,,,,,,,,concern,aloud,red,42,65,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
42,0,42,0,,,,,,,,,,,,,,atmosphere,silent,blue,81,12,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
43,0,43,0,,,,,,,,,,,,,,emergency,sing,yellow,27,110,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
44,0,44,0,,,,,,,,,,,,,,primary,silent,blue,86,234,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
45,0,45,0,,,,,,,,,,,,,,suggestion,aloud,red,48,314,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
46,0,46,0,,,,,,,,,,,,,,message,aloud,red,35,189,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
47,0,47,0,,,,,,,,,,,,,,trail,sing,yellow,20,336,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
48,0,48,0,,,,,,,,,,,,,,vision,aloud,red,45,347,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
49,0,49,0,,,,,,,,,,,,,,agency,aloud,red,51,4,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
50,0,50,0,,,,,,,,,,,,,,executive,aloud,red,43,122,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
51,0,51,0,,,,,,,,,,,,,,season,sing,yellow,12,277,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
52,0,52,0,,,,,,,,,,,,,,audience,aloud,red,33,14,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
53,0,53,0,,,,,,,,,,,,,,narrow,aloud,red,34,197,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
54,0,54,0,,,,,,,,,,,,,,column,aloud,red,52,57,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
55,0,55,0,,,,,,,,,,,,,,worker,silent,blue,82,356,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
56,0,56,0,,,,,,,,,,,,,,brief,aloud,red,53,28,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
57,0,57,0,,,,,,,,,,,,,,revolution,sing,yellow,23,264,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
58,0,58,0,,,,,,,,,,,,,,right,sing,yellow,7,265,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
59,0,59,0,,,,,,,,,,,,,,working,aloud,red,32,357,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
60,0,60,0,,,,,,,,,,,,,,victory,sing,yellow,22,346,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
61,0,61,0,,,,,,,,,,,,,,comfort,sing,yellow,8,59,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
62,0,62,0,,,,,,,,,,,,,,mankind,silent,blue,79,178,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
63,0,63,0,,,,,,,,,,,,,,fellow,sing,yellow,15,126,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
64,0,64,0,,,,,,,,,,,,,,front,silent,blue,69,134,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
65,0,65,0,,,,,,,,,,,,,,length,silent,blue,66,169,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
66,0,66,0,,,,,,,,,,,,,,build,aloud,red,50,35,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
67,0,67,0,,,,,,,,,,,,,,treatment,aloud,red,31,339,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
68,0,68,0,,,,,,,,,,,,,,commercial,silent,blue,67,61,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
69,0,69,0,,,,,,,,,,,,,,drink,silent,blue,68,105,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
70,0,70,0,,,,,,,,,,,,,,center,aloud,red,40,44,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
71,0,71,0,,,,,,,,,,,,,,agreement,sing,yellow,17,5,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
72,0,72,0,,,,,,,,,,,,,,government,silent,blue,64,139,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
73,0,73,0,,,,,,,,,,,,,,master,silent,blue,65,180,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
74,0,74,0,,,,,,,,,,,,,,appeal,silent,blue,85,9,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
75,0,75,0,,,,,,,,,,,,,,staff,aloud,red,38,301,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
76,0,76,0,,,,,,,,,,,,,,surface,sing,yellow,2,316,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
77,0,77,0,,,,,,,,,,,,,,junior,sing,yellow,5,167,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
78,0,78,0,,,,,,,,,,,,,,express,silent,blue,88,124,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
79,0,79,0,,,,,,,,,,,,,,signal,silent,blue,83,287,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
80,0,80,0,,,,,,,,,,,,,,entrance,silent,blue,72,115,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
81,0,81,0,,,,,,,,,,,,,,travel,aloud,red,55,338,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
82,0,82,0,,,,,,,,,,,,,,population,silent,blue,76,227,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
83,0,83,0,,,,,,,,,,,,,,surprise,aloud,red,57,317,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
