StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,100,0,100,0,,,,,,,,,,,,,,,,,,council,silent,blue,100,81,71,6,1.25586809998,r,0.864150199981,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,101,0,101,0,,,,,,,,,,,,,,,,,,people,new_aloud,yellow,101,139,216,3,1.48332659999,f,0.0702561999788,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,102,0,102,0,,,,,,,,,,,,,,,,,,prime,aloud,yellow,102,37,235,6,1.3308923,f,0.693734299974,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,103,0,103,0,,,,,,,,,,,,,,,,,,oxygen,silent,blue,103,83,209,1,1.533635,n,0.104341599974,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,104,0,104,0,,,,,,,,,,,,,,,,,,trail,sing,red,104,26,336,6,1.19719169999,r,0.332729600021,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,105,0,105,0,,,,,,,,,,,,,,,,,,exchange,new_silent,blue,105,158,121,2,2.023927,n,0.294018500019,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,106,0,106,0,,,,,,,,,,,,,,,,,,impact,new_silent,blue,106,178,157,2,3.20931249997,n,0.898025000002,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,107,0,107,0,,,,,,,,,,,,,,,,,,route,new_sing,red,107,117,267,1,3.2830384,n,0.818078200042,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,108,0,108,0,,,,,,,,,,,,,,,,,,treatment,aloud,yellow,108,55,339,5,1.5348049,f,0.781692599994,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,109,0,109,0,,,,,,,,,,,,,,,,,,finance,new_silent,blue,109,176,129,4,2.26692660002,f,0.434349099989,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,110,0,110,0,,,,,,,,,,,,,,,,,,period,aloud,yellow,110,52,217,6,1.23417839996,r,0.289248100016,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,111,0,111,0,,,,,,,,,,,,,,,,,,straight,silent,blue,111,86,307,1,1.83667560003,n,0.29834509996,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,112,0,112,0,,,,,,,,,,,,,,,,,,count,silent,blue,112,85,72,1,1.53045180003,n,0.121994400048,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,113,0,113,0,,,,,,,,,,,,,,,,,,accident,new_aloud,yellow,113,136,0,5,1.72907379997,f,0.741031099984,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,114,0,114,0,,,,,,,,,,,,,,,,,,measure,new_silent,blue,114,160,184,2,2.4049506,n,0.26595609996,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,115,0,115,0,,,,,,,,,,,,,,,,,,atmosphere,aloud,yellow,115,58,12,6,1.27572999999,f,0.337855599995,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,116,0,116,0,,,,,,,,,,,,,,,,,,question,aloud,yellow,116,43,247,6,1.3520595,f,0.227224999981,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,117,0,117,0,,,,,,,,,,,,,,,,,,primary,silent,blue,117,74,234,1,2.41549570003,n,0.699563700007,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,118,0,118,0,,,,,,,,,,,,,,,,,,length,new_silent,blue,118,154,169,1,1.6995169,n,0.568503900024,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,119,0,119,0,,,,,,,,,,,,,,,,,,music,new_aloud,yellow,119,140,196,6,1.96075019997,f,0.365179800021,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
