StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2439.251902,None,cross,sing,red,3,80,2437.251183,None,None,2437.251183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441.769307,None,blind,sing,red,24,24,2439.768677,None,None,2439.768677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444.286795,None,society,silent,blue,81,293,2442.286131,None,None,2442.286131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2446.804202,None,graduate,silent,blue,70,141,2444.803514,None,None,2444.803514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449.321594,None,length,aloud,yellow,57,169,2447.32098,None,None,2447.32098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451.839101,None,finance,aloud,yellow,34,129,2449.838416,None,None,2449.838416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2454.356504,None,patient,sing,red,5,213,2452.355872,None,None,2452.355872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456.87398,None,permit,silent,blue,89,218,2454.873181,None,None,2454.873181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2459.391396,None,drink,aloud,yellow,33,105,2457.390651,None,None,2457.390651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461.908845,None,subject,aloud,yellow,38,312,2459.908219,None,None,2459.908219,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464.409584,None,mayor,silent,blue,78,183,2462.408677,None,None,2462.408677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2466.927035,None,debate,sing,red,6,87,2464.926171,None,None,2464.926171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467.427171,None,k,95.52905415,2467.427171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2575.27687,None,,,,,,,,,,,,,,,,,center,new_c,white,0,165,44,2563.492321,None,2563.492321,None,2,5.983361376,2563.492321,None,2569.515535,None,2570.041825,None,2570.041825,None,n,5.193876986,2570.041825,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
