StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
32,0,32,0,,,,,,,,,,,,,,block,silent,red,72,25,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
33,0,33,0,,,,,,,,,,,,,,concern,silent,red,78,65,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
34,0,34,0,,,,,,,,,,,,,,staff,silent,red,62,301,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
35,0,35,0,,,,,,,,,,,,,,reach,sing,blue,3,253,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
36,0,36,0,,,,,,,,,,,,,,owner,sing,blue,26,208,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
37,0,37,0,,,,,,,,,,,,,,drama,sing,blue,15,103,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
38,0,38,0,,,,,,,,,,,,,,question,aloud,yellow,48,247,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
39,0,39,0,,,,,,,,,,,,,,voice,silent,red,67,348,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
40,0,40,0,,,,,,,,,,,,,,article,silent,red,68,11,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
41,0,41,0,,,,,,,,,,,,,,company,silent,red,82,64,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
42,0,42,0,,,,,,,,,,,,,,conference,silent,red,83,66,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
43,0,43,0,,,,,,,,,,,,,,household,silent,red,85,154,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
44,0,44,0,,,,,,,,,,,,,,story,sing,blue,20,306,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
45,0,45,0,,,,,,,,,,,,,,character,aloud,yellow,32,46,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
46,0,46,0,,,,,,,,,,,,,,sweet,silent,red,87,319,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
47,0,47,0,,,,,,,,,,,,,,close,silent,red,86,53,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
48,0,48,0,,,,,,,,,,,,,,fashion,silent,red,74,125,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
49,0,49,0,,,,,,,,,,,,,,graduate,sing,blue,0,141,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
50,0,50,0,,,,,,,,,,,,,,style,silent,red,65,311,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
51,0,51,0,,,,,,,,,,,,,,quarter,sing,blue,21,246,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
52,0,52,0,,,,,,,,,,,,,,industry,silent,red,80,161,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
53,0,53,0,,,,,,,,,,,,,,court,silent,red,77,75,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
54,0,54,0,,,,,,,,,,,,,,swift,aloud,yellow,52,320,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
55,0,55,0,,,,,,,,,,,,,,enemy,silent,red,79,113,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
56,0,56,0,,,,,,,,,,,,,,portion,aloud,yellow,47,228,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
57,0,57,0,,,,,,,,,,,,,,worker,sing,blue,1,356,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
58,0,58,0,,,,,,,,,,,,,,general,sing,blue,9,135,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
59,0,59,0,,,,,,,,,,,,,,health,aloud,yellow,38,149,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
60,0,60,0,,,,,,,,,,,,,,cross,silent,red,88,80,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
61,0,61,0,,,,,,,,,,,,,,split,sing,blue,12,299,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
62,0,62,0,,,,,,,,,,,,,,contract,sing,blue,16,68,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
63,0,63,0,,,,,,,,,,,,,,property,silent,red,64,242,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
64,0,64,0,,,,,,,,,,,,,,smell,sing,blue,23,291,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
65,0,65,0,,,,,,,,,,,,,,community,aloud,yellow,49,63,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
66,0,66,0,,,,,,,,,,,,,,capital,aloud,yellow,50,40,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
67,0,67,0,,,,,,,,,,,,,,position,silent,red,69,229,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
68,0,68,0,,,,,,,,,,,,,,plane,sing,blue,2,223,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
69,0,69,0,,,,,,,,,,,,,,profession,silent,red,66,241,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
70,0,70,0,,,,,,,,,,,,,,column,sing,blue,13,57,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
71,0,71,0,,,,,,,,,,,,,,notice,sing,blue,10,201,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
72,0,72,0,,,,,,,,,,,,,,balance,silent,red,71,17,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
73,0,73,0,,,,,,,,,,,,,,weight,sing,blue,24,353,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
74,0,74,0,,,,,,,,,,,,,,addition,sing,blue,14,2,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
75,0,75,0,,,,,,,,,,,,,,literature,silent,red,61,173,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
76,0,76,0,,,,,,,,,,,,,,listen,sing,blue,7,172,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
77,0,77,0,,,,,,,,,,,,,,member,sing,blue,29,188,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
78,0,78,0,,,,,,,,,,,,,,smooth,sing,blue,11,292,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
79,0,79,0,,,,,,,,,,,,,,atmosphere,aloud,yellow,33,12,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
80,0,80,0,,,,,,,,,,,,,,impact,sing,blue,19,157,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
81,0,81,0,,,,,,,,,,,,,,rapid,aloud,yellow,55,252,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
82,0,82,0,,,,,,,,,,,,,,individual,aloud,yellow,36,160,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
83,0,83,0,,,,,,,,,,,,,,course,sing,blue,22,74,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
84,0,84,0,,,,,,,,,,,,,,leader,aloud,yellow,58,168,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
85,0,85,0,,,,,,,,,,,,,,search,silent,red,63,276,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
86,0,86,0,,,,,,,,,,,,,,relation,sing,blue,5,257,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
87,0,87,0,,,,,,,,,,,,,,education,aloud,yellow,51,108,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
88,0,88,0,,,,,,,,,,,,,,carry,sing,blue,17,43,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
89,0,89,0,,,,,,,,,,,,,,shock,aloud,yellow,39,284,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
,,,,,,,,,,,,,,,,,,,,,,,k,143.1940371,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,salary,new_aloud,yellow,0,129,271,1,2.23707729997,n,1.9822809,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,junior,new_silent,red,1,160,167,4,2.5582962,f,2.3344086,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,grade,new_aloud,yellow,2,145,140,2,1.57903279993,n,1.12098000001,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,character,aloud,yellow,3,32,46,6,2.33696560003,r,1.0873721001,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,strength,new_sing,blue,4,92,310,6,1.44798689999,r,0.846176399966,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,curve,new_sing,blue,5,117,82,2,1.71306990006,n,1.03156629996,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,executive,new_aloud,yellow,6,133,122,3,2.51643620001,f,1.09730070003,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,finance,new_aloud,yellow,7,130,129,2,1.4236335,n,1.00145379989,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
