StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
31,0,31,0,,,,,,,,,,,,,,budget,aloud,blue,30,34,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
32,0,32,0,,,,,,,,,,,,,,smell,sing,red,4,291,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
33,0,33,0,,,,,,,,,,,,,,route,sing,red,2,267,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
34,0,34,0,,,,,,,,,,,,,,season,silent,yellow,85,277,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
35,0,35,0,,,,,,,,,,,,,,household,silent,yellow,63,154,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
36,0,36,0,,,,,,,,,,,,,,light,aloud,blue,53,171,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
37,0,37,0,,,,,,,,,,,,,,message,aloud,blue,33,189,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
38,0,38,0,,,,,,,,,,,,,,running,sing,red,15,268,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
39,0,39,0,,,,,,,,,,,,,,company,silent,yellow,89,64,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
40,0,40,0,,,,,,,,,,,,,,touch,silent,yellow,86,332,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
41,0,41,0,,,,,,,,,,,,,,management,sing,red,6,177,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
42,0,42,0,,,,,,,,,,,,,,thick,sing,red,26,327,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
43,0,43,0,,,,,,,,,,,,,,shape,silent,yellow,80,282,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
44,0,44,0,,,,,,,,,,,,,,government,sing,red,0,139,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
45,0,45,0,,,,,,,,,,,,,,quick,sing,red,1,248,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
46,0,46,0,,,,,,,,,,,,,,chief,aloud,blue,57,48,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
47,0,47,0,,,,,,,,,,,,,,quarter,aloud,blue,45,246,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
48,0,48,0,,,,,,,,,,,,,,music,sing,red,29,196,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
49,0,49,0,,,,,,,,,,,,,,pancakes,aloud,blue,46,210,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
50,0,50,0,,,,,,,,,,,,,,welcome,aloud,blue,56,354,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
51,0,51,0,,,,,,,,,,,,,,territory,aloud,blue,47,324,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
52,0,52,0,,,,,,,,,,,,,,level,sing,red,10,170,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
53,0,53,0,,,,,,,,,,,,,,alert,silent,yellow,61,6,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
54,0,54,0,,,,,,,,,,,,,,conference,silent,yellow,83,66,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
55,0,55,0,,,,,,,,,,,,,,education,aloud,blue,49,108,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
56,0,56,0,,,,,,,,,,,,,,nature,aloud,blue,55,200,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
57,0,57,0,,,,,,,,,,,,,,trend,sing,red,14,340,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
58,0,58,0,,,,,,,,,,,,,,display,aloud,blue,59,98,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
59,0,59,0,,,,,,,,,,,,,,agency,sing,red,18,4,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
60,0,60,0,,,,,,,,,,,,,,surface,silent,yellow,75,316,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
61,0,61,0,,,,,,,,,,,,,,place,sing,red,23,222,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
62,0,62,0,,,,,,,,,,,,,,accident,aloud,blue,31,0,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
63,0,63,0,,,,,,,,,,,,,,under,aloud,blue,44,343,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
64,0,64,0,,,,,,,,,,,,,,primary,aloud,blue,51,234,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
65,0,65,0,,,,,,,,,,,,,,review,silent,yellow,73,263,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
66,0,66,0,,,,,,,,,,,,,,speech,sing,red,5,298,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
67,0,67,0,,,,,,,,,,,,,,center,sing,red,16,44,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
68,0,68,0,,,,,,,,,,,,,,search,aloud,blue,36,276,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
69,0,69,0,,,,,,,,,,,,,,universal,sing,red,8,345,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
70,0,70,0,,,,,,,,,,,,,,material,aloud,blue,38,182,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
71,0,71,0,,,,,,,,,,,,,,write,silent,yellow,76,358,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
72,0,72,0,,,,,,,,,,,,,,discovery,sing,red,12,95,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
73,0,73,0,,,,,,,,,,,,,,service,aloud,blue,43,280,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
74,0,74,0,,,,,,,,,,,,,,strength,aloud,blue,41,310,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
75,0,75,0,,,,,,,,,,,,,,state,silent,yellow,66,303,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
76,0,76,0,,,,,,,,,,,,,,salary,aloud,blue,34,271,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
77,0,77,0,,,,,,,,,,,,,,couch,silent,yellow,67,70,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
78,0,78,0,,,,,,,,,,,,,,trail,silent,yellow,74,336,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
79,0,79,0,,,,,,,,,,,,,,voice,sing,red,17,348,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
80,0,80,0,,,,,,,,,,,,,,right,sing,red,13,265,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
81,0,81,0,,,,,,,,,,,,,,people,sing,red,28,216,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
82,0,82,0,,,,,,,,,,,,,,recall,sing,red,20,255,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
83,0,83,0,,,,,,,,,,,,,,short,aloud,blue,48,285,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
84,0,84,0,,,,,,,,,,,,,,report,aloud,blue,32,259,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
85,0,85,0,,,,,,,,,,,,,,month,sing,red,21,193,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
86,0,86,0,,,,,,,,,,,,,,passage,silent,yellow,69,212,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
87,0,87,0,,,,,,,,,,,,,,appeal,sing,red,25,9,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
88,0,88,0,,,,,,,,,,,,,,background,silent,yellow,60,16,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
89,0,89,0,,,,,,,,,,,,,,close,aloud,blue,52,53,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,,,,,,,,,,,,,,,,,,,,k,126.7430805,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,education,aloud,blue,0,49,108,6,4.2046579,r,2.2073304,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,light,aloud,blue,1,53,171,6,2.5738055,r,1.0772494,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,company,silent,yellow,2,89,64,6,3.1220393,r,1.2370986,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,resistance,sing,red,3,22,262,6,5.852172,r,1.3711925,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,nation,new_silent,yellow,4,174,198,2,5.243575,f,9.5313922,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,alert,silent,yellow,5,61,6,6,4.9489507,r,3.3921663,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,estate,new_sing,red,6,104,119,4,5.9360598,f,0.942362299999,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,object,silent,yellow,7,77,204,6,2.9295414,r,1.0896282,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,report,aloud,blue,8,32,259,6,2.4937911,r,1.1139119,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,surface,silent,yellow,9,75,316,6,2.4967758,r,2.2033322,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,command,new_aloud,blue,10,133,60,6,3.5962542,r,2.6544138,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,split,new_sing,red,11,99,299,1,2.3443896,n,2.4157582,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,narrow,new_silent,yellow,12,169,197,2,3.2275671,n,1.2474561,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,public,new_aloud,blue,13,120,244,4,4.2374047,f,1.6567104,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,direction,new_aloud,blue,14,145,94,6,3.4170988,r,0.4616547,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,trail,silent,yellow,15,74,336,5,3.3133167,f,2.1113133,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,grade,new_silent,yellow,16,154,140,1,1.9546843,n,1.0890109,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,shape,silent,yellow,17,80,282,1,1.6959844,n,0.375511,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,discovery,sing,red,18,12,95,6,3.3679865,r,0.8589606,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,council,new_sing,red,19,96,71,4,2.2580398,f,0.9740537,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,20,0,20,0,,,,,,,,,,,,,,,,,,month,sing,red,20,21,193,1,2.4806034,n,0.9348089,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,21,0,21,0,,,,,,,,,,,,,,,,,,smell,sing,red,21,4,291,1,2.0432438,f,3.6485468,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,22,0,22,0,,,,,,,,,,,,,,,,,,quarter,aloud,blue,22,45,246,2,4.1539284,f,1.7428553,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,23,0,23,0,,,,,,,,,,,,,,,,,,brief,new_silent,yellow,23,161,28,3,6.0947025,n,2.2571433,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,24,0,24,0,,,,,,,,,,,,,,,,,,bitter,silent,yellow,24,62,23,2,5.1931514,n,1.6810565,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,25,0,25,0,,,,,,,,,,,,,,,,,,present,sing,red,25,19,231,6,2.2156193,r,3.3773659,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,26,0,26,0,,,,,,,,,,,,,,,,,,strength,aloud,blue,26,41,310,6,2.7936729,r,0.4049709,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,27,0,27,0,,,,,,,,,,,,,,,,,,welcome,aloud,blue,27,56,354,6,3.0133601,r,0.3757598,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,28,0,28,0,,,,,,,,,,,,,,,,,,incident,aloud,blue,28,37,158,6,2.1439019,r,0.161608,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,29,0,29,0,,,,,,,,,,,,,,,,,,route,sing,red,29,2,267,6,8.1253366,f,1.112507,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,30,0,30,0,,,,,,,,,,,,,,,,,,primary,aloud,blue,30,51,234,6,3.4423944,f,0.3089647,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,31,0,31,0,,,,,,,,,,,,,,,,,,course,new_silent,yellow,31,158,74,4,4.3384094,n,0.848015,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,32,0,32,0,,,,,,,,,,,,,,,,,,curve,silent,yellow,32,64,82,2,4.4689784,n,1.9751988,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,tough,new_aloud,blue,33,127,333,4,4.3579537,f,1.3470969,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,raise,silent,yellow,34,82,250,6,4.257975,n,0.9154975,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,territory,aloud,blue,35,47,324,6,3.6300443,n,0.9082783,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,population,new_sing,red,36,94,227,1,2.1420964,n,0.9375181,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,emergency,new_sing,red,37,92,110,6,3.7680548,r,0.2978654,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,gesture,silent,yellow,38,84,137,2,3.1074539,f,1.4845568,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,history,new_sing,red,39,105,153,1,2.1252185,n,0.4643935,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,collection,new_sing,red,40,103,54,6,6.1657472,f,5.6281362,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,range,new_aloud,blue,41,129,251,4,3.4850175,f,2.0437457,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,length,new_aloud,blue,42,130,169,6,3.184132,r,0.315412,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,school,new_aloud,blue,43,139,274,1,4.0263232,n,0.8995479,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,message,aloud,blue,44,33,189,6,5.2956486,r,0.3478093,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,citizen,sing,red,45,3,50,6,2.0436909,r,0.2731727,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,member,sing,red,46,7,188,6,1.8731898,r,0.2277429,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,season,silent,yellow,47,85,277,3,1.9054776,n,1.677569,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,level,sing,red,48,10,170,5,2.3428789,f,0.2945619,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,bucket,new_aloud,blue,49,148,33,1,1.5232229,n,1.3267681,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,subject,new_aloud,blue,50,136,312,6,3.8373012,r,0.2704389,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,quantity,new_silent,yellow,51,176,245,1,1.685401,n,0.3095794,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,instrument,silent,yellow,52,68,163,1,1.7180166,n,0.1747913,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
