StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.45974459964782,None,n,1.4028357001952827,19.45974459964782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC23,001,2021_Nov_10_1614,ProdSingRedo,3.2.3,59.853359351463915,
,,,,,,,,,,,,,,NeutralTest,"['yellow', 'blue', 'red']",yellow,blue,red,20.913209799677134,None,space,1131.605102499947,20.913209799677134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC23,001,2021_Nov_10_1614,ProdSingRedo,3.2.3,59.853359351463915,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20.913209799677134,None,20.913209799677134,None,20.913209799677134,None,1155.0620550997555,None,growth,silent,red,71,144,1153.0631474996917,None,None,1153.0631474996917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC23,001,2021_Nov_10_1614,ProdSingRedo,3.2.3,59.853359351463915,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157.578589799814,None,drink,silent,red,72,105,1155.5819959999062,None,None,1155.5819959999062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC23,001,2021_Nov_10_1614,ProdSingRedo,3.2.3,59.853359351463915,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.0957755995914,None,travel,sing,yellow,15,338,1158.1039847997017,None,None,1158.1039847997017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC23,001,2021_Nov_10_1614,ProdSingRedo,3.2.3,59.853359351463915,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162.6124105998315,None,bucket,silent,red,66,33,1160.6247303998098,None,None,1160.6247303998098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC23,001,2021_Nov_10_1614,ProdSingRedo,3.2.3,59.853359351463915,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165.1292157997377,None,strain,aloud,blue,40,308,1163.1249432996847,None,None,1163.1249432996847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC23,001,2021_Nov_10_1614,ProdSingRedo,3.2.3,59.853359351463915,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167.646359199658,None,rapid,silent,red,75,252,1165.6417843997478,None,None,1165.6417843997478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC23,001,2021_Nov_10_1614,ProdSingRedo,3.2.3,59.853359351463915,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.1650846996345,None,trail,aloud,blue,30,336,1168.1527761998586,None,None,1168.1527761998586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC23,001,2021_Nov_10_1614,ProdSingRedo,3.2.3,59.853359351463915,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172.6798140997998,None,empty,aloud,blue,48,112,1170.6815091995522,None,None,1170.6815091995522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC23,001,2021_Nov_10_1614,ProdSingRedo,3.2.3,59.853359351463915,
