StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,151,0,151,0,,,,,,,,,,,,,,,,,,,,,,,,4367.498868,None,,,,,,,,,,,,,,,,,executive,aloud,red,151,36,122,4365.616906,None,4365.616906,None,1,1.202461584,4365.616906,None,4366.881933,None,4367.381995,None,4367.381995,None,n,0.069330505,4367.381995,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,152,0,152,0,,,,,,,,,,,,,,,,,,,,,,,,4369.933001,None,,,,,,,,,,,,,,,,,opening,silent,blue,152,63,205,4368.015545,None,4368.015545,None,1,0.908173141,4368.015545,None,4368.970448,None,4369.48282,None,4369.48282,None,n,0.408736055,4369.48282,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,153,0,153,0,,,,,,,,,,,,,,,,,,,,,,,,4372.600443,None,,,,,,,,,,,,,,,,,education,new_aloud,red,153,141,108,4370.449617,None,4370.449617,None,6,1.241972563,4370.449617,None,4371.736688,None,4372.250189,None,4372.250189,None,f,0.304846971,4372.250189,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,154,0,154,0,,,,,,,,,,,,,,,,,,,,,,,,4375.301256,None,,,,,,,,,,,,,,,,,weight,aloud,red,154,31,353,4373.117094,None,4373.117094,None,6,1.397890471,4373.117094,None,4374.555271,None,4375.067871,None,4375.067871,None,r,0.191585832,4375.067871,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,155,0,155,0,,,,,,,,,,,,,,,,,,,,,,,,4378.135463,None,,,,,,,,,,,,,,,,,territory,silent,blue,155,62,324,4375.817916,None,4375.817916,None,6,1.696814714,4375.817916,None,4377.557405,None,4378.068642,None,4378.068642,None,f,0.022655587,4378.068642,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,156,0,156,0,,,,,,,,,,,,,,,,,,,,,,,,4380.702827,None,,,,,,,,,,,,,,,,,country,new_aloud,red,156,137,73,4378.652514,None,4378.652514,None,4,1.222576592,4378.652514,None,4379.925298,None,4380.436003,None,4380.436003,None,f,0.223073885,4380.436003,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,157,0,157,0,,,,,,,,,,,,,,,,,,,,,,,,4383.137002,None,,,,,,,,,,,,,,,,,article,new_sing,yellow,157,92,11,4381.219612,None,4381.219612,None,1,1.118842387,4381.219612,None,4382.387538,None,4382.903591,None,4382.903591,None,n,0.186761253,4382.903591,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,158,0,158,0,,,,,,,,,,,,,,,,,,,,,,,,4385.804498,None,,,,,,,,,,,,,,,,,grade,aloud,red,158,38,140,4383.653841,None,4383.653841,None,1,1.300492939,4383.653841,None,4384.991566,None,4385.504263,None,4385.504263,None,n,0.266124693,4385.504263,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,159,0,159,0,,,,,,,,,,,,,,,,,,,,,,,,4394.090365,None,,,,,,,,,,,,,,,,,material,sing,yellow,159,17,182,4386.321182,None,4386.321182,None,4,5.58483055,4386.321182,None,4391.944274,None,4392.456518,None,4392.456518,None,f,1.593540482,4392.456518,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,160,0,160,0,,,,,,,,,,,,,,,,,,,,,,,,4397.858186,None,,,,,,,,,,,,,,,,,running,sing,yellow,160,8,268,4394.607187,None,4394.607187,None,4,1.458789081,4394.607187,None,4396.112471,None,4396.624473,None,4396.624473,None,f,1.193367253,4396.624473,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,161,0,161,0,,,,,,,,,,,,,,,,,,,,,,,,4400.675733,None,,,,,,,,,,,,,,,,,plane,aloud,red,161,53,223,4398.374801,None,4398.374801,None,1,1.650735987,4398.374801,None,4400.058967,None,4400.575719,None,4400.575719,None,n,0.06575771,4400.575719,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,162,0,162,0,,,,,,,,,,,,,,,,,,,,,,,,4403.726654,None,,,,,,,,,,,,,,,,,problem,silent,blue,162,70,238,4401.194537,None,4401.194537,None,1,0.75873279,4401.194537,None,4402.00927,None,4402.509456,None,4402.509456,None,n,1.171782447,4402.509456,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,163,0,163,0,,,,,,,,,,,,,,,,,,,,,,,,4407.594501,None,,,,,,,,,,,,,,,,,stand,new_sing,yellow,163,109,302,4404.243471,None,4404.243471,None,3,2.629503858,4404.243471,None,4406.914271,None,4407.427803,None,4407.427803,None,f,0.125538889,4407.427803,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,164,0,164,0,,,,,,,,,,,,,,,,,,,,,,,,4410.778822,None,,,,,,,,,,,,,,,,,tough,silent,blue,164,61,333,4408.111329,None,4408.111329,None,6,1.385500761,4408.111329,None,4409.548102,None,4410.061905,None,4410.061905,None,r,0.675140029,4410.061905,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,165,0,165,0,,,,,,,,,,,,,,,,,,,,,,,,4413.546301,None,,,,,,,,,,,,,,,,,voice,new_silent,blue,165,178,348,4411.296391,None,4411.296391,None,3,1.44827938,4411.296391,None,4412.785659,None,4413.296255,None,4413.296255,None,n,0.208764357,4413.296255,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,166,0,166,0,,,,,,,,,,,,,,,,,,,,,,,,4416.363867,None,,,,,,,,,,,,,,,,,story,sing,yellow,166,25,306,4414.063073,None,4414.063073,None,3,1.113369679,4414.063073,None,4415.220879,None,4415.730324,None,4415.730324,None,f,0.598082049,4415.730324,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,167,0,167,0,,,,,,,,,,,,,,,,,,,,,,,,4418.714583,None,,,,,,,,,,,,,,,,,junior,aloud,red,167,45,167,4416.881296,None,4416.881296,None,6,1.183107909,4416.881296,None,4418.114269,None,4418.614548,None,4418.614548,None,r,0.058116383,4418.614548,None,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
