StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,161,0,161,0,,,,,,,,,,,,,,,,,,,,,,,,1691.8944226000458,None,,,,,,,,,,,,,,,,,,taste,new_sing,red,161,95,322,1689.3187790999655,None,1689.3187790999655,None,1,1.68914380017668,1689.3187790999655,None,1691.0562714000698,None,1691.5786065999418,None,1691.5786065999418,None,n,0.2774162001442164,1691.5786065999418,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,162,0,162,0,,,,,,,,,,,,,,,,,,,,,,,,1695.4674990999047,None,,,,,,,,,,,,,,,,,,stand,new_sing,red,162,101,302,1692.41507239989,None,1692.41507239989,None,1,1.7848761999048293,1692.41507239989,None,1694.240986800054,None,1694.7613395999651,None,1694.7613395999651,None,n,0.6784001998603344,1694.7613395999651,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,163,0,163,0,,,,,,,,,,,,,,,,,,,,,,,,1710.04463150003,None,,,,,,,,,,,,,,,,,,budget,new_aloud,yellow,163,139,34,1696.0051883999258,None,1696.0051883999258,None,4,12.37893919995986,1696.0051883999258,None,1708.427121500019,None,1708.9490292000119,None,1708.9490292000119,None,f,1.058766399975866,1708.9490292000119,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,164,0,164,0,,,,,,,,,,,,,,,,,,,,,,,,1718.5118750999682,None,,,,,,,,,,,,,,,,,,point,silent,blue,164,88,226,1710.5621275999583,None,1710.5621275999583,None,2,6.677681900095195,1710.5621275999583,None,1717.2777964000124,None,1717.7929779998958,None,1717.7929779998958,None,f,0.6788180000148714,1717.7929779998958,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,165,0,165,0,,,,,,,,,,,,,,,,,,,,,,,,1723.7281861000229,None,,,,,,,,,,,,,,,,,,vision,new_silent,blue,165,176,347,1719.0400680999737,None,1719.0400680999737,None,6,3.0320304001215845,1719.0400680999737,None,1722.1224080000538,None,1722.6452369999606,None,1722.6452369999606,None,r,1.050650899996981,1722.6452369999606,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,166,0,166,0,,,,,,,,,,,,,,,,,,,,,,,,1734.076640299987,None,,,,,,,,,,,,,,,,,,split,aloud,yellow,166,51,299,1724.2496803000104,None,1724.2496803000104,None,1,7.486452300101519,1724.2496803000104,None,1731.7694846000522,None,1732.277787500061,None,1732.277787500061,None,n,1.7621506000868976,1732.277787500061,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,167,0,167,0,,,,,,,,,,,,,,,,,,,,,,,,1741.18002300011,None,,,,,,,,,,,,,,,,,,tough,aloud,yellow,167,45,333,1734.6056977000553,None,1734.6056977000553,None,2,5.674227399984375,1734.6056977000553,None,1740.3247094999533,None,1740.8499310999177,None,1740.8499310999177,None,f,0.2939877000171691,1740.8499310999177,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,168,0,168,0,,,,,,,,,,,,,,,,,,,,,,,,1752.1302133998834,None,,,,,,,,,,,,,,,,,,ground,sing,red,168,13,142,1741.7033369999845,None,1741.7033369999845,None,4,9.032559200190008,1741.7033369999845,None,1750.766083699884,None,1751.2700267999899,None,1751.2700267999899,None,f,0.8340861999895424,1751.2700267999899,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,169,0,169,0,,,,,,,,,,,,,,,,,,,,,,,,1755.7298522999045,None,,,,,,,,,,,,,,,,,,fashion,sing,red,169,17,125,1752.6389260999858,None,1752.6389260999858,None,5,1.9611282001715153,1752.6389260999858,None,1754.6308224999812,None,1755.1483628000133,None,1755.1483628000133,None,f,0.555586899863556,1755.1483628000133,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,170,0,170,0,,,,,,,,,,,,,,,,,,,,,,,,1760.8802898998838,None,,,,,,,,,,,,,,,,,,permit,new_aloud,yellow,170,149,218,1756.251162899891,None,1756.251162899891,None,2,3.8606715998612344,1756.251162899891,None,1760.1539421000052,None,1760.664449899923,None,1760.664449899923,None,f,0.1834054000210017,1760.664449899923,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,171,0,171,0,,,,,,,,,,,,,,,,,,,,,,,,1764.2816961000208,None,,,,,,,,,,,,,,,,,,track,new_aloud,yellow,171,135,334,1761.4089565000031,None,1761.4089565000031,None,1,1.7595065999776125,1761.4089565000031,None,1763.2155138999224,None,1763.734222699888,None,1763.734222699888,None,n,0.5058266001287848,1763.734222699888,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,172,0,172,0,,,,,,,,,,,,,,,,,,,,,,,,1770.2307271999307,None,,,,,,,,,,,,,,,,,,throw,sing,red,172,4,330,1764.806379100075,None,1764.806379100075,None,1,4.169512200169265,1764.806379100075,None,1769.026907700114,None,1769.5496996999718,None,1769.5496996999718,None,n,0.6421709000132978,1769.5496996999718,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,173,0,173,0,,,,,,,,,,,,,,,,,,,,,,,,1775.2646941998973,None,,,,,,,,,,,,,,,,,,guard,sing,red,173,2,145,1770.7569587999023,None,1770.7569587999023,None,5,3.3548322001006454,1770.7569587999023,None,1774.16912649991,None,1774.6811969000846,None,1774.6811969000846,None,f,0.5586280000861734,1774.6811969000846,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,174,0,174,0,,,,,,,,,,,,,,,,,,,,,,,,1778.7649916999508,None,,,,,,,,,,,,,,,,,,cover,new_aloud,yellow,174,131,77,1775.790678099962,None,1775.790678099962,None,3,1.841153500135988,1775.790678099962,None,1777.6812863000669,None,1778.1997624998912,None,1778.1997624998912,None,f,0.5280082998797297,1778.1997624998912,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,175,0,175,0,,,,,,,,,,,,,,,,,,,,,,,,1782.8514996001031,None,,,,,,,,,,,,,,,,,,close,aloud,yellow,175,34,53,1779.2885427998845,None,1779.2885427998845,None,3,2.495468500070274,1779.2885427998845,None,1781.826647900045,None,1782.3454962999094,None,1782.3454962999094,None,f,0.4623963001649827,1782.3454962999094,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,176,0,176,0,,,,,,,,,,,,,,,,,,,,,,,,1787.899895899929,None,,,,,,,,,,,,,,,,,,passage,new_aloud,yellow,176,127,212,1783.3728893999942,None,1783.3728893999942,None,1,3.6990203999448568,1783.3728893999942,None,1787.1170194000006,None,1787.6344113999512,None,1787.6344113999512,None,n,0.23752399999648333,1787.6344113999512,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,177,0,177,0,,,,,,,,,,,,,,,,,,,,,,,,1792.8008882000577,None,,,,,,,,,,,,,,,,,,election,new_aloud,yellow,177,123,109,1788.420586500084,None,1788.420586500084,None,2,3.483722700038925,1788.420586500084,None,1791.945350700058,None,1792.4675541000906,None,1792.4675541000906,None,f,0.3004740998148918,1792.4675541000906,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,178,0,178,0,,,,,,,,,,,,,,,,,,,,,,,,1796.632465600036,None,,,,,,,,,,,,,,,,,,display,aloud,yellow,178,30,98,1793.3288219000679,None,1793.3288219000679,None,6,2.2310186000540853,1793.3288219000679,None,1795.6123371000867,None,1796.136480800109,None,1796.136480800109,None,r,0.45538690011017025,1796.136480800109,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,179,0,179,0,,,,,,,,,,,,,,,,,,,,,,,,1805.1206292998977,None,,,,,,,,,,,,,,,,,,tennis,sing,red,179,15,323,1797.1543431999162,None,1797.1543431999162,None,6,7.0854897000826895,1797.1543431999162,None,1804.2806551998947,None,1804.7985229000915,None,1804.7985229000915,None,r,0.2894200999289751,1804.7985229000915,None,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1805.6241333000362,None,,,,,,,
