StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,114,0,114,0,,,,,,,,,,,,,,,,,,,,,,,,1595.3935388999525,None,,,,,,,,,,,,,,,,,,story,sing,white,114,13,306,1593.0746015999466,None,1593.0746015999466,None,4,1.5058369000907987,1593.0746015999466,None,1594.62600989989,None,1595.1433937998954,None,1595.1433937998954,None,f,0.2214055999647826,1595.1433937998954,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,115,0,115,0,,,,,,,,,,,,,,,,,,,,,,,,1601.2361000999808,None,,,,,,,,,,,,,,,,,,bucket,silent,white,115,76,33,1595.9090845000464,None,1595.9090845000464,None,2,4.167385499924421,1595.9090845000464,None,1600.1220799000002,None,1600.6501303999685,None,1600.6501303999685,None,f,0.5625841999426484,1600.6501303999685,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,116,0,116,0,,,,,,,,,,,,,,,,,,,,,,,,1603.528226000024,None,,,,,,,,,,,,,,,,,,oxygen,sing,white,116,20,209,1601.7603311000858,None,1601.7603311000858,None,1,1.0920138000510633,1601.7603311000858,None,1602.8887835999485,None,1603.391363099916,None,1603.391363099916,None,n,0.10107260011136532,1603.391363099916,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,117,0,117,0,,,,,,,,,,,,,,,,,,,,,,,,1607.1607929000165,None,,,,,,,,,,,,,,,,,,country,aloud,white,117,30,73,1604.0513464000542,None,1604.0513464000542,None,6,1.3851147000677884,1604.0513464000542,None,1605.4795852999669,None,1605.9997239999939,None,1605.9997239999939,None,f,1.1247145000379533,1605.9997239999939,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,118,0,118,0,,,,,,,,,,,,,,,,,,,,,,,,1611.385912799975,None,,,,,,,,,,,,,,,,,,agreement,sing,white,118,21,5,1607.6775332000107,None,1607.6775332000107,None,4,2.023444499820471,1607.6775332000107,None,1609.7423004999291,None,1610.26296130009,None,1610.26296130009,None,f,1.0854736000765115,1610.26296130009,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,119,0,119,0,,,,,,,,,,,,,,,,,,,,,,,,1615.3953666000161,None,,,,,,,,,,,,,,,,,,business,new_a,white,119,104,38,1611.9058908999432,None,1611.9058908999432,None,2,1.5783476999495178,1611.9058908999432,None,1613.5094129999634,None,1614.02164739999,None,1614.02164739999,None,f,1.3348634999711066,1614.02164739999,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,120,0,120,0,,,,,,,,,,,,,,,,,,,,,,,,1619.1456343000755,None,,,,,,,,,,,,,,,,,,pattern,new_a,white,120,103,214,1615.9242648999207,None,1615.9242648999207,None,5,1.7282477000262588,1615.9242648999207,None,1617.6923738000914,None,1618.2167372999247,None,1618.2167372999247,None,f,0.8916964000090957,1618.2167372999247,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,121,0,121,0,,,,,,,,,,,,,,,,,,,,,,,,1621.812036700081,None,,,,,,,,,,,,,,,,,,frank,new_b,white,121,142,133,1619.6735034000594,None,1619.6735034000594,None,1,1.0510134000796825,1619.6735034000594,None,1620.7781563999597,None,1621.2980080000125,None,1621.2980080000125,None,n,0.4904344000387937,1621.2980080000125,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,122,0,122,0,,,,,,,,,,,,,,,,,,,,,,,,1625.262250599917,None,,,,,,,,,,,,,,,,,,working,new_b,white,122,130,357,1622.3415151000954,None,1622.3415151000954,None,3,1.2869065999984741,1622.3415151000954,None,1623.6846964999568,None,1624.2026682000142,None,1624.2026682000142,None,n,1.0257004001177847,1624.2026682000142,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,123,0,123,0,,,,,,,,,,,,,,,,,,,,,,,,1627.6123118000105,None,,,,,,,,,,,,,,,,,,trash,sing,white,123,15,337,1625.7880547998939,None,1625.7880547998939,None,1,1.0883430999238044,1625.7880547998939,None,1626.9147977998946,None,1627.4367170999758,None,1627.4367170999758,None,n,0.15162779996171594,1627.4367170999758,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,124,0,124,0,,,,,,,,,,,,,,,,,,,,,,,,1630.2796467000153,None,,,,,,,,,,,,,,,,,,whole,new_b,white,124,126,355,1628.1337546000723,None,1628.1337546000723,None,3,1.1512460000813007,1628.1337546000723,None,1629.3267616000958,None,1629.846652999986,None,1629.846652999986,None,f,0.4059751001186669,1629.846652999986,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
