StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,110,0,110,0,,,,,,,,,,,,,,,,,,,,,,,,2051.537901,None,,,,,,,,,,,,,,,,,silence,new_b,white,110,140,288,2048.421797,None,2048.421797,None,6,2.3741189,2048.421797,None,2050.846469,None,2051.366243,None,2051.366243,None,f,0.1418245,2051.366243,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,111,0,111,0,,,,,,,,,,,,,,,,,,,,,,,,2054.282682,None,,,,,,,,,,,,,,,,,private,new_c,white,111,150,237,2052.06659,None,2052.06659,None,1,1.2651187,2052.06659,None,2053.364294,None,2053.876226,None,2053.876226,None,f,0.3757414,2053.876226,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,112,0,112,0,,,,,,,,,,,,,,,,,,,,,,,,2057.595103,None,,,,,,,,,,,,,,,,,sight,new_c,white,112,178,286,2054.804984,None,2054.804984,None,2,1.2389925,2054.804984,None,2056.093689,None,2056.61807,None,2056.61807,None,f,0.9541815,2056.61807,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,113,0,113,0,,,,,,,,,,,,,,,,,,,,,,,,2061.06546,None,,,,,,,,,,,,,,,,,agreement,aloud,white,113,33,5,2058.113117,None,2058.113117,None,3,1.9787686,2058.113117,None,2060.124064,None,2060.635577,None,2060.635577,None,f,0.4005586,2060.635577,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,114,0,114,0,,,,,,,,,,,,,,,,,,,,,,,,2064.485469,None,,,,,,,,,,,,,,,,,interior,new_a,white,114,103,164,2061.587751,None,2061.587751,None,1,1.272175,2061.587751,None,2062.90327,None,2063.415015,None,2063.415015,None,n,1.0289476,2063.415015,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,115,0,115,0,,,,,,,,,,,,,,,,,,,,,,,,2067.268208,None,,,,,,,,,,,,,,,,,household,new_b,white,115,131,154,2065.013973,None,2065.013973,None,1,1.3899883,2065.013973,None,2066.44594,None,2066.972896,None,2066.972896,None,n,0.2634511,2066.972896,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,116,0,116,0,,,,,,,,,,,,,,,,,,,,,,,,2072.925902,None,,,,,,,,,,,,,,,,,colonel,aloud,white,116,30,55,2067.789034,None,2067.789034,None,6,2.4310251,2067.789034,None,2070.265505,None,2070.78322,None,2070.78322,None,n,2.1164149,2070.78322,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,117,0,117,0,,,,,,,,,,,,,,,,,,,,,,,,2076.468823,None,,,,,,,,,,,,,,,,,blind,new_b,white,117,148,24,2073.427311,None,2073.427311,None,2,1.1765423,2073.427311,None,2074.634022,None,2075.146651,None,2075.146651,None,r,1.2893725,2075.146651,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,118,0,118,0,,,,,,,,,,,,,,,,,,,,,,,,2080.106185,None,,,,,,,,,,,,,,,,,plane,aloud,white,118,43,223,2076.994337,None,2076.994337,None,6,1.4338883,2076.994337,None,2078.480829,None,2078.991746,None,2078.991746,None,r,1.0761995,2078.991746,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,119,0,119,0,,,,,,,,,,,,,,,,,,,,,,,,2083.520188,None,,,,,,,,,,,,,,,,,election,aloud,white,119,59,109,2080.616999,None,2080.616999,None,4,1.8348232,2080.616999,None,2082.487447,None,2083.002218,None,2083.002218,None,r,0.4817156,2083.002218,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,120,0,120,0,,,,,,,,,,,,,,,,,,,,,,,,2088.796563,None,,,,,,,,,,,,,,,,,motion,new_b,white,120,128,194,2084.040879,None,2084.040879,None,3,1.5150782,2084.040879,None,2085.597573,None,2086.116389,None,2086.116389,None,n,2.6475536,2086.116389,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,121,0,121,0,,,,,,,,,,,,,,,,,,,,,,,,2092.135668,None,,,,,,,,,,,,,,,,,population,aloud,white,121,55,227,2089.332705,None,2089.332705,None,6,1.6073058,2089.332705,None,2090.975771,None,2091.492293,None,2091.492293,None,r,0.6075795,2091.492293,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,122,0,122,0,,,,,,,,,,,,,,,,,,,,,,,,2095.285647,None,,,,,,,,,,,,,,,,,close,new_a,white,122,110,53,2092.658226,None,2092.658226,None,1,1.8501628,2092.658226,None,2094.556456,None,2095.067856,None,2095.067856,None,n,0.1921127,2095.067856,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,123,0,123,0,,,,,,,,,,,,,,,,,,,,,,,,2099.378467,None,,,,,,,,,,,,,,,,,raise,sing,white,123,19,250,2095.797815,None,2095.797815,None,6,2.4141605,2095.797815,None,2098.245182,None,2098.779332,None,2098.779332,None,r,0.5763814,2098.779332,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,124,0,124,0,,,,,,,,,,,,,,,,,,,,,,,,2102.402413,None,,,,,,,,,,,,,,,,,mechanical,new_a,white,124,111,185,2099.895156,None,2099.895156,None,2,1.3328741,2099.895156,None,2101.263385,None,2101.784784,None,2101.784784,None,n,0.579411,2101.784784,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,125,0,125,0,,,,,,,,,,,,,,,,,,,,,,,,2106.369537,None,,,,,,,,,,,,,,,,,brief,aloud,white,125,39,28,2102.912791,None,2102.912791,None,5,2.5150258,2102.912791,None,2105.452922,None,2105.962817,None,2105.962817,None,n,0.3771232,2105.962817,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,126,0,126,0,,,,,,,,,,,,,,,,,,,,,,,,2109.486601,None,,,,,,,,,,,,,,,,,country,aloud,white,126,53,73,2106.902609,None,2106.902609,None,6,1.5334458,2106.902609,None,2108.480783,None,2109.010266,None,2109.010266,None,f,0.449865,2109.010266,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,127,0,127,0,,,,,,,,,,,,,,,,,,,,,,,,2114.733011,None,,,,,,,,,,,,,,,,,corner,new_a,white,127,99,69,2110.009424,None,2110.009424,None,4,3.8987184,2110.009424,None,2113.936194,None,2114.445332,None,2114.445332,None,f,0.2545542,2114.445332,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,128,0,128,0,,,,,,,,,,,,,,,,,,,,,,,,2117.202421,None,,,,,,,,,,,,,,,,,history,silent,white,128,71,153,2115.254325,None,2115.254325,None,4,1.1014736,2115.254325,None,2116.395397,None,2116.905551,None,2116.905551,None,f,0.2745005,2116.905551,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,129,0,129,0,,,,,,,,,,,,,,,,,,,,,,,,2119.654802,None,,,,,,,,,,,,,,,,,guard,new_a,white,129,93,145,2117.72888,None,2117.72888,None,4,1.1314064,2117.72888,None,2118.902394,None,2119.421475,None,2119.421475,None,f,0.1985311,2119.421475,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,130,0,130,0,,,,,,,,,,,,,,,,,,,,,,,,2122.947385,None,,,,,,,,,,,,,,,,,youth,new_b,white,130,146,359,2120.182978,None,2120.182978,None,3,2.1008782,2120.182978,None,2122.325102,None,2122.839117,None,2122.839117,None,f,0.0767644,2122.839117,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,131,0,131,0,,,,,,,,,,,,,,,,,,,,,,,,2125.345782,None,,,,,,,,,,,,,,,,,review,new_c,white,131,172,263,2123.484405,None,2123.484405,None,4,1.2555882,2123.484405,None,2124.782451,None,2125.295848,None,2125.295848,None,f,0.0199913,2125.295848,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
