StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,1101.3361505998764,None,,,,,,,,,,,,,,,,,speech,silent,blue,85,60,298,1098.307339400053,None,1098.307339400053,None,5,1.7700138001237065,1098.307339400053,None,1100.115550499875,None,1100.6375066000037,None,1100.6375066000037,None,f,0.6717428001575172,1100.6375066000037,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,1106.7536601000465,None,,,,,,,,,,,,,,,,,distance,new_sing,yellow,86,113,100,1101.8635578998365,None,1101.8635578998365,None,2,3.5814392999745905,1101.8635578998365,None,1105.4869824000634,None,1106.0071079998743,None,1106.0071079998743,None,f,0.7101031001657248,1106.0071079998743,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,1111.5545262999367,None,,,,,,,,,,,,,,,,,month,aloud,red,87,59,193,1107.2719747000374,None,1107.2719747000374,None,6,3.2290968000888824,1107.2719747000374,None,1110.5475645000115,None,1111.0717362000141,None,1111.0717362000141,None,f,0.4453529000747949,1111.0717362000141,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,1116.1046347999945,None,,,,,,,,,,,,,,,,,executive,new_aloud,red,88,120,122,1112.0862930000294,None,1112.0862930000294,None,1,2.0629211000632495,1112.0862930000294,None,1114.202667400008,None,1114.7321084998548,None,1114.7321084998548,None,f,1.3453108998946846,1114.7321084998548,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,1119.9458840000443,None,,,,,,,,,,,,,,,,,group,new_sing,yellow,89,98,143,1116.628984699957,None,1116.628984699957,None,1,2.5360650001093745,1116.628984699957,None,1119.237529899925,None,1119.7442300999537,None,1119.7442300999537,None,f,0.18080980004742742,1119.7442300999537,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,90,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,1127.6203304000665,None,,,,,,,,,,,,,,,,,rural,silent,blue,90,88,269,1120.4721530999523,None,1120.4721530999523,None,5,5.796899900073186,1120.4721530999523,None,1126.3196500998456,None,1126.845560299931,None,1126.845560299931,None,f,0.735704799881205,1126.845560299931,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,91,0,91,0,,,,,,,,,,,,,,,,,,,,,,,,1134.4383606000338,None,,,,,,,,,,,,,,,,,match,aloud,red,91,33,181,1128.1473594000563,None,1128.1473594000563,None,1,5.489721700083464,1128.1473594000563,None,1133.6841932998504,None,1134.1977673000656,None,1134.1977673000656,None,f,0.20732269994914532,1134.1977673000656,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,92,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,1148.2097116999794,None,,,,,,,,,,,,,,,,,narrow,sing,yellow,92,14,197,1134.9630253999494,None,1134.9630253999494,None,1,10.953855300089344,1134.9630253999494,None,1145.9580498998985,None,1146.4683676999994,None,1146.4683676999994,None,f,1.704694600077346,1146.4683676999994,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,93,0,93,0,,,,,,,,,,,,,,,,,,,,,,,,1159.2566267999355,None,,,,,,,,,,,,,,,,,crisis,aloud,red,93,46,79,1148.729802899994,None,1148.729802899994,None,1,9.81127139995806,1148.729802899994,None,1158.584783700062,None,1159.1070045998786,None,1159.1070045998786,None,f,0.12243989994749427,1159.1070045998786,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,94,0,94,0,,,,,,,,,,,,,,,,,,,,,,,,1162.440971700009,None,,,,,,,,,,,,,,,,,notice,silent,blue,94,84,201,1159.7782333998475,None,1159.7782333998475,None,5,1.9628612999804318,1159.7782333998475,None,1161.7825219000224,None,1162.3055056000594,None,1162.3055056000594,None,f,0.09952940000221133,1162.3055056000594,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,95,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,1166.6572815999389,None,,,,,,,,,,,,,,,,,leader,new_silent,blue,95,169,168,1162.9663857000414,None,1162.9663857000414,None,3,3.014883799944073,1162.9663857000414,None,1166.0166106000543,None,1166.5434882999398,None,1166.5434882999398,None,f,0.08608720009215176,1166.5434882999398,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,96,0,96,0,,,,,,,,,,,,,,,,,,,,,,,,1171.4418291000184,None,,,,,,,,,,,,,,,,,piece,new_aloud,red,96,129,221,1167.1782561000437,None,1167.1782561000437,None,1,3.275011599995196,1167.1782561000437,None,1170.5005931998603,None,1171.021086399909,None,1171.021086399909,None,f,0.3925836000125855,1171.021086399909,None,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
