StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,n,12.5975719,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
,,,,,,,,,,NeutralTest,"['blue', 'yellow', 'red']",blue,yellow,red,space,356.8725968,,,,,,,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
0,0,0,0,,,,,,,,,,,,,,volume,aloud,yellow,35,349,None,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
1,0,1,0,,,,,,,,,,,,,,defeat,sing,blue,16,88,None,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
2,0,2,0,,,,,,,,,,,,,,relation,silent,red,67,257,None,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
3,0,3,0,,,,,,,,,,,,,,title,silent,red,68,331,None,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
4,0,4,0,,,,,,,,,,,,,,sound,sing,blue,17,295,None,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
5,0,5,0,,,,,,,,,,,,,,leader,aloud,yellow,44,168,None,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
6,0,6,0,,,,,,,,,,,,,,reach,silent,red,75,253,None,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
7,0,7,0,,,,,,,,,,,,,,reading,aloud,yellow,45,254,None,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
8,0,8,0,,,,,,,,,,,,,,dance,aloud,yellow,42,84,None,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
9,0,9,0,,,,,,,,,,,,,,beauty,sing,blue,15,18,None,,,,,,,,,,,,,2022_Feb_14_1330,59.9425869902,ProdSingRedo,001,"NC, 28",
