StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,1371.443259799853,None,,,,,,,,,,,,,,,,,second,silent,white,36,74,278,1368.2192756999284,None,1368.2192756999284,None,1,2.4373640003614128,1368.2192756999284,None,1370.6747885001823,None,1371.1861944999546,None,1371.1861944999546,None,n,0.23847300000488758,1371.1861944999546,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,1374.9028215999715,None,,,,,,,,,,,,,,,,,right,new_c,white,37,179,265,1371.947125500068,None,1371.947125500068,None,1,2.0779762999154627,1371.947125500068,None,1374.067613599822,None,1374.5880696000531,None,1374.5880696000531,None,n,0.2850354998372495,1374.5880696000531,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,1377.6894680000842,None,,,,,,,,,,,,,,,,,produce,aloud,white,38,37,239,1375.4293088000268,None,1375.4293088000268,None,6,1.4275971003808081,1375.4293088000268,None,1376.9034882998094,None,1377.408677100204,None,1377.408677100204,None,r,0.2562790000811219,1377.408677100204,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,1384.3471222999506,None,,,,,,,,,,,,,,,,,finish,new_b,white,39,137,130,1378.214638700243,None,1378.214638700243,None,2,5.210347400046885,1378.214638700243,None,1383.4738234998658,None,1383.9801103002392,None,1383.9801103002392,None,n,0.3328688000328839,1383.9801103002392,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,1387.798985000234,None,,,,,,,,,,,,,,,,,search,aloud,white,40,59,276,1384.8722399999388,None,1384.8722399999388,None,1,1.928867899812758,1384.8722399999388,None,1386.8478753999807,None,1387.36827909993,None,1387.36827909993,None,n,0.3929965002462268,1387.36827909993,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,1394.2565739001147,None,,,,,,,,,,,,,,,,,service,new_c,white,41,156,280,1388.3277529999614,None,1388.3277529999614,None,3,3.9214373999275267,1388.3277529999614,None,1392.3026312999427,None,1392.8259903998114,None,1392.8259903998114,None,f,1.3992803003638983,1392.8259903998114,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,1402.8306171000004,None,,,,,,,,,,,,,,,,,worker,silent,white,42,85,356,1394.785241600126,None,1394.785241600126,None,2,4.632014099974185,1394.785241600126,None,1399.4629605999216,None,1399.9825063999742,None,1399.9825063999742,None,f,2.810688199941069,1399.9825063999742,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,1406.0336728999391,None,,,,,,,,,,,,,,,,,partner,new_c,white,43,168,211,1403.3581865997985,None,1403.3581865997985,None,5,1.8269675998017192,1403.3581865997985,None,1405.2309643002227,None,1405.7525785998441,None,1405.7525785998441,None,f,0.24849050026386976,1405.7525785998441,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,1410.5980020998977,None,,,,,,,,,,,,,,,,,express,new_a,white,44,117,124,1406.553028699942,None,1406.553028699942,None,1,3.4240244003012776,1406.553028699942,None,1410.0164255001582,None,1410.536949899979,None,1410.536949899979,None,n,0.031925799790769815,1410.536949899979,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,1413.2913923999295,None,,,,,,,,,,,,,,,,,comedy,silent,white,45,68,58,1411.0989001002163,None,1411.0989001002163,None,1,1.3100850000046194,1411.0989001002163,None,1412.4538417002186,None,1412.958821900189,None,1412.958821900189,None,n,0.3063110001385212,1412.958821900189,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,1416.561480899807,None,,,,,,,,,,,,,,,,,quantity,aloud,white,46,42,245,1413.8170576002449,None,1413.8170576002449,None,6,1.9280463000759482,1413.8170576002449,None,1415.8008472002111,None,1416.3160890000872,None,1416.3160890000872,None,r,0.2129973997361958,1416.3160890000872,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,1419.4474531998858,None,,,,,,,,,,,,,,,,,stranger,sing,white,47,3,309,1417.0862520001829,None,1417.0862520001829,None,6,1.5547417998313904,1417.0862520001829,None,1418.6829431001097,None,1419.207009300124,None,1419.207009300124,None,r,0.20205889968201518,1419.207009300124,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,1423.3009266001172,None,,,,,,,,,,,,,,,,,majority,aloud,white,48,40,176,1419.9793059998192,None,1419.9793059998192,None,1,2.4296002998016775,1419.9793059998192,None,1422.4525439999998,None,1422.9742661998607,None,1422.9742661998607,None,n,0.29884850000962615,1422.9742661998607,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,1426.0880384999327,None,,,,,,,,,,,,,,,,,mankind,aloud,white,49,55,178,1423.8300137999468,None,1423.8300137999468,None,6,1.4190485002472997,1423.8300137999468,None,1425.3056155000813,None,1425.8271069000475,None,1425.8271069000475,None,r,0.23795450013130903,1425.8271069000475,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,1429.4416248998605,None,,,,,,,,,,,,,,,,,strain,aloud,white,50,35,308,1426.6137860999443,None,1426.6137860999443,None,1,1.9712387002073228,1426.6137860999443,None,1428.6322333998978,None,1429.1456726999022,None,1429.1456726999022,None,n,0.2633564001880586,1429.1456726999022,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,1435.0724884001538,None,,,,,,,,,,,,,,,,,division,silent,white,51,63,101,1429.968189300038,None,1429.968189300038,None,3,3.696899500209838,1429.968189300038,None,1433.7060409002006,None,1434.20494830003,None,1434.20494830003,None,f,0.8519406002014875,1434.20494830003,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,1439.3656545998529,None,,,,,,,,,,,,,,,,,travel,new_a,white,52,103,338,1435.5894981999882,None,1435.5894981999882,None,3,2.763623900245875,1435.5894981999882,None,1438.3982998998836,None,1438.9184993002564,None,1438.9184993002564,None,f,0.4267326998524368,1438.9184993002564,None,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
