StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,1364.2702319000382,None,,,,,,,,,,,,,,,,,season,silent,yellow,55,77,277,1360.7254051000345,None,1360.7254051000345,None,4,2.4725510000716895,1360.7254051000345,None,1363.2472542000469,None,1363.773003200069,None,1363.773003200069,None,f,0.4727801000699401,1363.773003200069,None,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,1369.1922172999475,None,,,,,,,,,,,,,,,,,machinery,new_sing,red,56,116,175,1364.7978270000312,None,1364.7978270000312,None,2,3.2080049000214785,1364.7978270000312,None,1368.0601402998436,None,1368.5788505999371,None,1368.5788505999371,None,n,0.587163700023666,1368.5788505999371,None,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,1373.4308046998922,None,,,,,,,,,,,,,,,,,nation,new_silent,yellow,57,158,198,1369.7162299999036,None,1369.7162299999036,None,2,2.417149200104177,1369.7162299999036,None,1372.1564565999433,None,1372.680152399931,None,1372.680152399931,None,n,0.7260937001556158,1372.680152399931,None,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,1377.9858057999518,None,,,,,,,,,,,,,,,,,comfort,new_sing,red,58,112,59,1373.9558876999654,None,1373.9558876999654,None,5,2.866006499854848,1373.9558876999654,None,1376.867601200007,None,1377.3871661999729,None,1377.3871661999729,None,f,0.5631812999490649,1377.3871661999729,None,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
,,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,1381.6050741998479,None,,,,,,,,,,,,,,,,,length,aloud,blue,59,43,169,1378.508383099921,None,1378.508383099921,None,6,1.8896589998621494,1378.508383099921,None,1380.4510057000443,None,1380.9739622999914,None,1380.9739622999914,None,r,0.5998227000236511,1380.9739622999914,None,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
,,,,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,1389.245418400038,None,,,,,,,,,,,,,,,,,death,new_silent,yellow,60,160,86,1382.1306040000636,None,1382.1306040000636,None,6,3.8354085001628846,1382.1306040000636,None,1386.006448799977,None,1386.5287988998462,None,1386.5287988998462,None,r,2.692914299899712,1386.5287988998462,None,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
,,,,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,1394.3334717999678,None,,,,,,,,,,,,,,,,,hunger,new_aloud,blue,61,149,155,1389.775960299885,None,1389.775960299885,None,4,3.381666700122878,1389.775960299885,None,1393.1887664999813,None,1393.7041471998673,None,1393.7041471998673,None,f,0.5899432997684926,1393.7041471998673,None,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
,,,,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,1398.5723454998806,None,,,,,,,,,,,,,,,,,accident,aloud,blue,62,45,0,1394.8594446999487,None,1394.8594446999487,None,6,2.6423935999628156,1394.8594446999487,None,1397.5544217000715,None,1398.073654100066,None,1398.073654100066,None,r,0.4681031999643892,1398.073654100066,None,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
,,,,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,1410.8350867000408,None,,,,,,,,,,,,,,,,,contract,new_silent,yellow,63,150,68,1399.1005653999746,None,1399.1005653999746,None,1,9.185116400010884,1399.1005653999746,None,1408.3200268999208,None,1408.8343531000428,None,1408.8343531000428,None,n,1.97160889999941,1408.8343531000428,None,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
,,,,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,1418.7408075998537,None,,,,,,,,,,,,,,,,,bright,sing,red,64,17,29,1411.3523476999253,None,1411.3523476999253,None,1,5.605472300201654,1411.3523476999253,None,1417.0012393998913,None,1417.5285674000625,None,1417.5285674000625,None,n,1.1737665000837296,1417.5285674000625,None,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
