StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.481299682776694,None,space,4816.766321142004,14.481299682776694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing11,001,2019_Oct_30_1608,ProdFawcett_Revision2019,3.2.4,59.88880507362226,
,,,,,,,,,,,,,,4831.2719599427755,None,space,9.270955091124051,4831.2719599427755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing11,001,2019_Oct_30_1608,ProdFawcett_Revision2019,3.2.4,59.88880507362226,
0,0,0,0,,,,,,,,,,,,,,,,,4845.359543447161,None,materials/readPic.jpg,comfort,A_silent,0,59,4841.724897057909,None,4841.724897057909,None,4842.609909498041,None,4842.864079119239,None,4842.864079119239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing11,001,2019_Oct_30_1608,ProdFawcett_Revision2019,3.2.4,59.88880507362226,
1,0,1,0,,,,,,,,,,,,,,,,,4849.627692666542,None,materials/speakPic.jpg,murder,B_aloud,1,195,4845.947983765628,None,4845.947983765628,None,4846.8767923119985,None,4847.143522734341,None,4847.143522734341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing11,001,2019_Oct_30_1608,ProdFawcett_Revision2019,3.2.4,59.88880507362226,
2,0,2,0,,,,,,,,,,,,,,,,,4853.89567829819,None,materials/speakPic.jpg,place,B_aloud,2,222,4850.194134477826,None,4850.194134477826,None,4851.144693972757,None,4851.411496547864,None,4851.411496547864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing11,001,2019_Oct_30_1608,ProdFawcett_Revision2019,3.2.4,59.88880507362226,
3,0,3,0,,,,,,,,,,,,,,,,,4858.1470047272505,None,materials/speakPic.jpg,military,B_aloud,3,190,4854.4289932823285,None,4854.4289932823285,None,4855.413246563414,None,4855.679310194688,None,4855.679310194688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing11,001,2019_Oct_30_1608,ProdFawcett_Revision2019,3.2.4,59.88880507362226,
4,0,4,0,,,,,,,,,,,,,,,,,4862.415092678983,None,materials/singPic.jpg,sight,C_sing,4,286,4858.881592025876,None,4858.881592025876,None,4859.664041176837,None,4859.914368663308,None,4859.914368663308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing11,001,2019_Oct_30_1608,ProdFawcett_Revision2019,3.2.4,59.88880507362226,
5,0,5,0,,,,,,,,,,,,,,,,,4866.683023885053,None,materials/readPic.jpg,youth,A_silent,5,359,4863.000730546744,None,4863.000730546744,None,4863.931852024632,None,4864.19875380979,None,4864.19875380979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing11,001,2019_Oct_30_1608,ProdFawcett_Revision2019,3.2.4,59.88880507362226,
6,0,6,0,,,,,,,,,,,,,,,,,4870.950969397276,None,materials/speakPic.jpg,clean,B_aloud,6,51,4867.273851153823,None,4867.273851153823,None,4868.200027679293,None,4868.453455557629,None,4868.453455557629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing11,001,2019_Oct_30_1608,ProdFawcett_Revision2019,3.2.4,59.88880507362226,
7,0,7,0,,,,,,,,,,,,,,,,,4875.2189379237425,None,materials/speakPic.jpg,union,B_aloud,7,344,4871.485193133048,None,4871.485193133048,None,4872.468602351185,None,4872.734730671145,None,4872.734730671145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing11,001,2019_Oct_30_1608,ProdFawcett_Revision2019,3.2.4,59.88880507362226,
