StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,keyWelcome.keys,keyWelcome.rt,keyReady.keys,keyReady.rt,studyPic,studyWord,studyType,studyN,studyOrder,kPress2.keys,kPress2.rt,testWord,testType,testN,testOrder,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,space,3.3079311,,,,,,,,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
,,,,,,,,,,space,100.6747627,,,,,,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
0,0,0,0,,,,,,,,,materials/speakPic.jpg,emergency,B_aloud,0,110,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
1,0,1,0,,,,,,,,,materials/singPic.jpg,shear,C_sing,1,283,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
2,0,2,0,,,,,,,,,materials/singPic.jpg,instrument,C_sing,2,163,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
3,0,3,0,,,,,,,,,materials/speakPic.jpg,history,B_aloud,3,153,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
4,0,4,0,,,,,,,,,materials/singPic.jpg,conference,C_sing,4,66,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
5,0,5,0,,,,,,,,,materials/readPic.jpg,trial,A_silent,5,341,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
6,0,6,0,,,,,,,,,materials/readPic.jpg,oxygen,A_silent,6,209,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
7,0,7,0,,,,,,,,,materials/singPic.jpg,phrase,C_sing,7,220,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
8,0,8,0,,,,,,,,,materials/singPic.jpg,salary,C_sing,8,271,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
9,0,9,0,,,,,,,,,materials/readPic.jpg,course,A_silent,9,74,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
10,0,10,0,,,,,,,,,materials/speakPic.jpg,impact,B_aloud,10,157,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
11,0,11,0,,,,,,,,,materials/readPic.jpg,industry,A_silent,11,161,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
12,0,12,0,,,,,,,,,materials/singPic.jpg,agency,C_sing,12,4,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
13,0,13,0,,,,,,,,,materials/readPic.jpg,mankind,A_silent,13,178,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
14,0,14,0,,,,,,,,,materials/speakPic.jpg,drama,B_aloud,14,103,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
15,0,15,0,,,,,,,,,materials/speakPic.jpg,shape,B_aloud,15,282,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
16,0,16,0,,,,,,,,,materials/speakPic.jpg,portion,B_aloud,16,228,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
17,0,17,0,,,,,,,,,materials/readPic.jpg,touch,A_silent,17,332,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
18,0,18,0,,,,,,,,,materials/readPic.jpg,session,A_silent,18,281,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
19,0,19,0,,,,,,,,,materials/singPic.jpg,production,C_sing,19,240,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
20,0,20,0,,,,,,,,,materials/singPic.jpg,problem,C_sing,20,238,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
21,0,21,0,,,,,,,,,materials/readPic.jpg,hearing,A_silent,21,150,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
22,0,22,0,,,,,,,,,materials/speakPic.jpg,scene,B_aloud,22,273,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
23,0,23,0,,,,,,,,,materials/readPic.jpg,sunset,A_silent,23,315,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
24,0,24,0,,,,,,,,,materials/singPic.jpg,permit,C_sing,24,218,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
25,0,25,0,,,,,,,,,materials/singPic.jpg,travel,C_sing,25,338,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
26,0,26,0,,,,,,,,,materials/singPic.jpg,audience,C_sing,26,14,,,,,,,,,,,2019_Nov_04_0900,59.9863471074,ProdFawcett_Revision2019,001,sing16,
