StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.084216299990658,None,space,2651.1687507000024,16.084216299990658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing7,001,2019_Oct_24_1645,ProdFawcett_Revision2019,3.2.3,60.05082702076868,
,,,,,,,,,,,,,,2667.281091599987,None,space,3.475758299988229,2667.281091599987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing7,001,2019_Oct_24_1645,ProdFawcett_Revision2019,3.2.3,60.05082702076868,
0,0,0,0,,,,,,,,,,,,,,,,,2675.5568970999884,None,materials/speakPic.jpg,style,B_aloud,0,311,2671.889370299992,None,2671.889370299992,None,2672.8042687999987,None,2673.0616462999897,None,2673.0616462999897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing7,001,2019_Oct_24_1645,ProdFawcett_Revision2019,3.2.3,60.05082702076868,
1,0,1,0,,,,,,,,,,,,,,,,,2679.8277507999883,None,materials/singPic.jpg,running,C_sing,1,268,2676.1604635999975,None,2676.1604635999975,None,2677.075352099986,None,2677.330941799999,None,2677.330941799999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing7,001,2019_Oct_24_1645,ProdFawcett_Revision2019,3.2.3,60.05082702076868,
2,0,2,0,,,,,,,,,,,,,,,,,2684.098835599987,None,materials/speakPic.jpg,scale,B_aloud,2,272,2680.4089676000003,None,2680.4089676000003,None,2681.3459113999997,None,2681.6017086999927,None,2681.6017086999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing7,001,2019_Oct_24_1645,ProdFawcett_Revision2019,3.2.3,60.05082702076868,
3,0,3,0,,,,,,,,,,,,,,,,,2688.3697855999926,None,materials/speakPic.jpg,signal,B_aloud,3,287,2684.6686053999874,None,2684.6686053999874,None,2685.6170301999955,None,2685.878941799994,None,2685.878941799994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing7,001,2019_Oct_24_1645,ProdFawcett_Revision2019,3.2.3,60.05082702076868,
4,0,4,0,,,,,,,,,,,,,,,,,2692.639818699987,None,materials/readPic.jpg,mayor,A_silent,4,183,2688.9590473999997,None,2688.9590473999997,None,2689.8879076999874,None,2690.144650099988,None,2690.144650099988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing7,001,2019_Oct_24_1645,ProdFawcett_Revision2019,3.2.3,60.05082702076868,
5,0,5,0,,,,,,,,,,,,,,,,,2696.9105229999986,None,materials/singPic.jpg,congress,C_sing,5,67,2693.2279052999947,None,2693.2279052999947,None,2694.159152799999,None,2694.421687899987,None,2694.421687899987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing7,001,2019_Oct_24_1645,ProdFawcett_Revision2019,3.2.3,60.05082702076868,
6,0,6,0,,,,,,,,,,,,,,,,,2701.1825868999877,None,materials/speakPic.jpg,childhood,B_aloud,6,49,2697.505260399994,None,2697.505260399994,None,2698.4295724999974,None,2698.6871698999894,None,2698.6871698999894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing7,001,2019_Oct_24_1645,ProdFawcett_Revision2019,3.2.3,60.05082702076868,
7,0,7,0,,,,,,,,,,,,,,,,,2705.4533289999963,None,materials/singPic.jpg,pancakes,C_sing,7,210,2701.7701324999944,None,2701.7701324999944,None,2702.700591099987,None,2702.9587426999933,None,2702.9587426999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing7,001,2019_Oct_24_1645,ProdFawcett_Revision2019,3.2.3,60.05082702076868,
