StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.240353900007904,None,space,260.8018121999921,13.240353900007904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
,,,,,,,,,,,,,,274.0631735000061,None,space,3.8505293999332935,274.0631735000061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
0,0,0,0,,,,,,,,,,,,,,,,,282.71303380001336,None,materials/speakPic.jpg,sight,B_aloud,0,286,279.07139769999776,None,279.07139769999776,None,279.9628953000065,None,280.2304801000282,None,280.2304801000282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
1,0,1,0,,,,,,,,,,,,,,,,,286.97805859998334,None,materials/speakPic.jpg,fashion,B_aloud,1,125,283.3224685000023,None,283.3224685000023,None,284.2289655000204,None,284.484449999989,None,284.484449999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
2,0,2,0,,,,,,,,,,,,,,,,,291.24520540004596,None,materials/readPic.jpg,article,A_silent,2,11,287.55645439994987,None,287.55645439994987,None,288.49562199995853,None,288.7530894000083,None,288.7530894000083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
3,0,3,0,,,,,,,,,,,,,,,,,295.51193929999135,None,materials/readPic.jpg,pretty,A_silent,3,233,291.8697005000431,None,291.8697005000431,None,292.76116080000065,None,293.01954330003355,None,293.01954330003355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
4,0,4,0,,,,,,,,,,,,,,,,,299.77899330004584,None,materials/speakPic.jpg,scene,B_aloud,4,273,296.074009199976,None,296.074009199976,None,297.0289939000504,None,297.28681820002384,None,297.28681820002384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
5,0,5,0,,,,,,,,,,,,,,,,,304.0460467999801,None,materials/readPic.jpg,afternoon,A_silent,5,3,300.35709519998636,None,300.35709519998636,None,301.2949614999816,None,301.55582959996536,None,301.55582959996536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
6,0,6,0,,,,,,,,,,,,,,,,,308.313062399975,None,materials/singPic.jpg,childhood,C_sing,6,49,304.64829299994744,None,304.64829299994744,None,305.5628342999844,None,305.82217830000445,None,305.82217830000445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
7,0,7,0,,,,,,,,,,,,,,,,,312.57995269994717,None,materials/speakPic.jpg,build,B_aloud,7,35,308.8746492000064,None,308.8746492000064,None,309.8300358999986,None,310.08401710004546,None,310.08401710004546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
8,0,8,0,,,,,,,,,,,,,,,,,316.8469415999716,None,materials/speakPic.jpg,provision,B_aloud,8,243,313.11675659997854,None,313.11675659997854,None,314.0976063000271,None,314.35991020000074,None,314.35991020000074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
9,0,9,0,,,,,,,,,,,,,,,,,321.1128666000441,None,materials/readPic.jpg,express,A_silent,9,124,317.40095679997467,None,317.40095679997467,None,318.3628597999923,None,318.621573899989,None,318.621573899989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
10,0,10,0,,,,,,,,,,,,,,,,,325.3808504999615,None,materials/singPic.jpg,reach,C_sing,10,253,321.69386350002605,None,321.69386350002605,None,322.6301504999865,None,322.8871505999705,None,322.8871505999705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
11,0,11,0,,,,,,,,,,,,,,,,,329.6476950000506,None,materials/singPic.jpg,machinery,C_sing,11,175,325.956605299958,None,325.956605299958,None,326.8990822000196,None,327.1479003999848,None,327.1479003999848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
12,0,12,0,,,,,,,,,,,,,,,,,333.91429470002186,None,materials/readPic.jpg,death,A_silent,12,86,330.2322217000183,None,330.2322217000183,None,331.1647764999652,None,331.4211477000499,None,331.4211477000499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
13,0,13,0,,,,,,,,,,,,,,,,,338.1819074000232,None,materials/singPic.jpg,research,C_sing,13,261,334.4843684999505,None,334.4843684999505,None,335.431609799969,None,335.68408859998453,None,335.68408859998453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
14,0,14,0,,,,,,,,,,,,,,,,,342.44848409993574,None,materials/readPic.jpg,court,A_silent,14,75,338.7585546999471,None,338.7585546999471,None,339.69898840005044,None,339.95748129999265,None,339.95748129999265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
15,0,15,0,,,,,,,,,,,,,,,,,346.7158800000325,None,materials/singPic.jpg,month,C_sing,15,193,343.0026259999722,None,343.0026259999722,None,343.96469359996263,None,344.2244392000139,None,344.2244392000139,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
16,0,16,0,,,,,,,,,,,,,,,,,350.9815102999564,None,materials/singPic.jpg,private,C_sing,16,237,347.2978065999923,None,347.2978065999923,None,348.2365841999417,None,348.492581199971,None,348.492581199971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
17,0,17,0,,,,,,,,,,,,,,,,,355.2492597999517,None,materials/readPic.jpg,discovery,A_silent,17,95,351.5623268999625,None,351.5623268999625,None,352.49824029998854,None,352.7632177999476,None,352.7632177999476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
18,0,18,0,,,,,,,,,,,,,,,,,359.51637940004,None,materials/speakPic.jpg,guest,B_aloud,18,146,355.81755819998216,None,355.81755819998216,None,356.76777249993756,None,357.02003150002565,None,357.02003150002565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing13,001,2019_Oct_31_1456,ProdFawcett_Revision2019,3.2.3,59.84089501505053,
