StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,112,0,112,0,,,,,,,,,,,,,1591.3543360079639,None,,,,,,,,,,,,,,,,,,,,,,generation,A_silent,112,136,1588.2870563537872,None,1588.2870563537872,None,1588.2870563537872,None,6,1.7674982894823188,1588.2870563537872,None,1590.1040078994847,None,1590.1040078994847,None,1590.620868010199,None,1590.620868010199,None,1590.620868010199,None,r,0.6904786340746796,1590.620868010199,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,113,0,113,0,,,,,,,,,,,,,1595.1556176525482,None,,,,,,,,,,,,,,,,,,,,,,command,C_sing,113,60,1591.871119300864,None,1591.871119300864,None,1591.871119300864,None,4,2.4153505007125204,1591.871119300864,None,1594.3386754369567,None,1594.3386754369567,None,1594.8554867201601,None,1594.8554867201601,None,1594.8554867201601,None,f,0.25470672389201354,1594.8554867201601,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,114,0,114,0,,,,,,,,,,,,,1598.5066915469215,None,,,,,,,,,,,,,,,,,,,,,,detective,D_new,114,92,1595.6724012564518,None,1595.6724012564518,None,1595.6724012564518,None,1,1.3820044162421254,1595.6724012564518,None,1597.0943229458207,None,1597.0943229458207,None,1597.622915966902,None,1597.622915966902,None,1597.622915966902,None,n,0.8398544504598249,1597.622915966902,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,115,0,115,0,,,,,,,,,,,,,1601.2075713752565,None,,,,,,,,,,,,,,,,,,,,,,concern,D_new,115,65,1599.0253638738504,None,1599.0253638738504,None,1599.0253638738504,None,3,1.4287329725630116,1599.0253638738504,None,1600.507131305596,None,1600.507131305596,None,1601.0240921813675,None,1601.0240921813675,None,1601.0240921813675,None,f,0.1501377744716592,1601.0240921813675,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,116,0,116,0,,,,,,,,,,,,,1606.709169621201,None,,,,,,,,,,,,,,,,,,,,,,symbol,D_new,116,321,1601.725318778379,None,1601.725318778379,None,1601.725318778379,None,2,3.576620327163255,1601.725318778379,None,1605.34568700628,None,1605.34568700628,None,1605.875554518876,None,1605.875554518876,None,1605.875554518876,None,r,0.7944134477729676,1605.875554518876,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,117,0,117,0,,,,,,,,,,,,,1613.5446818436176,None,,,,,,,,,,,,,,,,,,,,,,straight,D_new,117,307,1607.2262555203051,None,1607.2262555203051,None,1607.2262555203051,None,4,4.459897990920581,1607.2262555203051,None,1611.7331265161338,None,1611.7331265161338,None,1612.2607660011126,None,1612.2607660011126,None,1612.2607660011126,None,f,1.2486906761332648,1612.2607660011126,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,118,0,118,0,,,,,,,,,,,,,1616.2454963612545,None,,,,,,,,,,,,,,,,,,,,,,agreement,C_sing,118,5,1614.0632471854187,None,1614.0632471854187,None,1614.0632471854187,None,6,1.549863158550579,1614.0632471854187,None,1615.6619092492328,None,1615.6619092492328,None,1616.1787690489436,None,1616.1787690489436,None,1616.1787690489436,None,r,0.034289668474229984,1616.1787690489436,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,119,0,119,0,,,,,,,,,,,,,1620.1633588356053,None,,,,,,,,,,,,,,,,,,,,,,dance,B_aloud,119,84,1616.7624273807305,None,1616.7624273807305,None,1616.7624273807305,None,6,2.4912779125443194,1616.7624273807305,None,1619.3131212290755,None,1619.3131212290755,None,1619.8298183740699,None,1619.8298183740699,None,1619.8298183740699,None,r,0.29512129128852393,1619.8298183740699,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,120,0,120,0,,,,,,,,,,,,,1623.064116128633,None,,,,,,,,,,,,,,,,,,,,,,service,D_new,120,280,1620.6814977918693,None,1620.6814977918693,None,1620.6814977918693,None,6,1.091479442678974,1620.6814977918693,None,1621.8305641599727,None,1621.8305641599727,None,1622.3472771661327,None,1622.3472771661327,None,1622.3472771661327,None,r,0.6815864278178196,1622.3472771661327,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,121,0,121,0,,,,,,,,,,,,,1626.3651757168554,None,,,,,,,,,,,,,,,,,,,,,,trial,D_new,121,341,1623.5810449710698,None,1623.5810449710698,None,1623.5810449710698,None,3,1.9839391677523963,1623.5810449710698,None,1625.6149461964233,None,1625.6149461964233,None,1626.1320980282326,None,1626.1320980282326,None,1626.1320980282326,None,f,0.19257852833834477,1626.1320980282326,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,122,0,122,0,,,,,,,,,,,,,1628.8327268769062,None,,,,,,,,,,,,,,,,,,,,,,background,C_sing,122,16,1626.8824569260469,None,1626.8824569260469,None,1626.8824569260469,None,1,1.2018417615327053,1626.8824569260469,None,1628.137169247988,None,1628.137169247988,None,1628.6491885923897,None,1628.6491885923897,None,1628.6491885923897,None,n,0.1470498227281496,1628.6491885923897,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,123,0,123,0,,,,,,,,,,,,,1631.8003022952034,None,,,,,,,,,,,,,,,,,,,,,,testimony,D_new,123,325,1629.3495160788734,None,1629.3495160788734,None,1629.3495160788734,None,1,1.3111286309576826,1629.3495160788734,None,1630.7164912607986,None,1630.7164912607986,None,1631.2335068731627,None,1631.2335068731627,None,1631.2335068731627,None,n,0.5307796852575848,1631.2335068731627,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,124,0,124,0,,,,,,,,,,,,,1635.6681383342657,None,,,,,,,,,,,,,,,,,,,,,,south,A_silent,124,296,1632.317273745095,None,1632.317273745095,None,1632.317273745095,None,1,2.7346930397470715,1632.317273745095,None,1635.101239970143,None,1635.101239970143,None,1635.6181685015763,None,1635.6181685015763,None,1635.6181685015763,None,n,0.010269639868056402,1635.6181685015763,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,125,0,125,0,,,,,,,,,,,,,1638.9357059774775,None,,,,,,,,,,,,,,,,,,,,,,employment,A_silent,125,111,1636.1856104994658,None,1636.1856104994658,None,1636.1856104994658,None,4,1.6749978229781846,1636.1856104994658,None,1637.9188698140206,None,1637.9188698140206,None,1638.4357370778162,None,1638.4357370778162,None,1638.4357370778162,None,f,0.46412265970138833,1638.4357370778162,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,126,0,126,0,,,,,,,,,,,,,1643.8205853082036,None,,,,,,,,,,,,,,,,,,,,,,suspect,D_new,126,318,1639.4526783603942,None,1639.4526783603942,None,1639.4526783603942,None,1,2.8793129937257618,1639.4526783603942,None,1642.386872550851,None,1642.386872550851,None,1642.903724886477,None,1642.903724886477,None,1642.903724886477,None,n,0.8677312309591798,1642.903724886477,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,127,0,127,0,,,,,,,,,,,,,1646.87181221621,None,,,,,,,,,,,,,,,,,,,,,,century,D_new,127,45,1644.3373689121072,None,1644.3373689121072,None,1644.3373689121072,None,3,1.6020436026592506,1644.3373689121072,None,1645.9920059712604,None,1645.9920059712604,None,1646.52136592647,None,1646.52136592647,None,1646.52136592647,None,f,0.31386701499286573,1646.52136592647,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,128,0,128,0,,,,,,,,,,,,,1652.5232723766821,None,,,,,,,,,,,,,,,,,,,,,,master,D_new,128,180,1647.3883883809176,None,1647.3883883809176,None,1647.3883883809176,None,4,4.438561920745997,1647.3883883809176,None,1651.8898538284411,None,1651.8898538284411,None,1652.4065198731114,None,1652.4065198731114,None,1652.4065198731114,None,f,0.06845928967231885,1652.4065198731114,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
