StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.752433911780827,None,space,2018.3725772843463,10.752433911780827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing22,001,2019_Nov_05_1555,ProdFawcett_Revision2019,3.2.4,60.0911627446085,
,,,,,,,,,,,,,,2029.1435942651005,None,space,6.27675032656407,2029.1435942651005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing22,001,2019_Nov_05_1555,ProdFawcett_Revision2019,3.2.4,60.0911627446085,
0,0,0,0,,,,,,,,,,,,,,,,,2040.230308826256,None,materials/readPic.jpg,company,A_silent,0,64,2036.5988418236957,None,2036.5988418236957,None,2037.4802805249928,None,2037.74610934878,None,2037.74610934878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing22,001,2019_Nov_05_1555,ProdFawcett_Revision2019,3.2.4,60.0911627446085,
1,0,1,0,,,,,,,,,,,,,,,,,2044.4982866828213,None,materials/speakPic.jpg,carry,B_aloud,1,43,2040.8818585557165,None,2040.8818585557165,None,2041.7475881694118,None,2042.0143624432385,None,2042.0143624432385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing22,001,2019_Nov_05_1555,ProdFawcett_Revision2019,3.2.4,60.0911627446085,
2,0,2,0,,,,,,,,,,,,,,,,,2048.7663018598105,None,materials/readPic.jpg,quarter,A_silent,2,246,2045.1163155439426,None,2045.1163155439426,None,2046.0154316725675,None,2046.2824746532133,None,2046.2824746532133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing22,001,2019_Nov_05_1555,ProdFawcett_Revision2019,3.2.4,60.0911627446085,
3,0,3,0,,,,,,,,,,,,,,,,,2053.034273496305,None,materials/readPic.jpg,public,A_silent,3,244,2049.349513279856,None,2049.349513279856,None,2050.2834555575973,None,2050.550082415866,None,2050.550082415866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing22,001,2019_Nov_05_1555,ProdFawcett_Revision2019,3.2.4,60.0911627446085,
4,0,4,0,,,,,,,,,,,,,,,,,2057.302244199789,None,materials/readPic.jpg,crisis,A_silent,4,79,2053.6041889034095,None,2053.6041889034095,None,2054.551391428744,None,2054.8181066118996,None,2054.8181066118996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing22,001,2019_Nov_05_1555,ProdFawcett_Revision2019,3.2.4,60.0911627446085,
5,0,5,0,,,,,,,,,,,,,,,,,2061.5702351185028,None,materials/speakPic.jpg,executive,B_aloud,5,122,2057.936957143771,None,2057.936957143771,None,2058.8194044287084,None,2059.086055234191,None,2059.086055234191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing22,001,2019_Nov_05_1555,ProdFawcett_Revision2019,3.2.4,60.0911627446085,
6,0,6,0,,,,,,,,,,,,,,,,,2065.838226970227,None,materials/readPic.jpg,brilliant,A_silent,6,30,2062.1744796914863,None,2062.1744796914863,None,2063.087476830231,None,2063.354034023767,None,2063.354034023767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing22,001,2019_Nov_05_1555,ProdFawcett_Revision2019,3.2.4,60.0911627446085,
7,0,7,0,,,,,,,,,,,,,,,,,2070.1062237979495,None,materials/speakPic.jpg,health,B_aloud,7,149,2066.4307317907806,None,2066.4307317907806,None,2067.3553800460068,None,2067.6220109473215,None,2067.6220109473215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing22,001,2019_Nov_05_1555,ProdFawcett_Revision2019,3.2.4,60.0911627446085,
