StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,participant,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,,session,date,expName,psychopyVersion,frameRate
,,,,121,0,121,0,,,,,,,,,,,,,867.4386726,None,,,,,,,,,,,,,,,,,,,,,,discovery,D_new,121,95,866.0322924,None,866.0322924,None,866.0322924,sing17a,1,0.775634136,866.0322924,None,866.8549478,None,866.8549478,None,867.3823807,None,867.3823807,None,867.3823807,None,n,0.033116564,867.3823807,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,122,0,122,0,,,,,,,,,,,,,870.1999291,None,,,,,,,,,,,,,,,,,,,,,,produce,B_aloud,122,239,867.9659399,None,867.9659399,None,867.9659399,sing17a,3,1.569033091,867.9659399,None,869.5999101,None,869.5999101,None,870.1165886,None,870.1165886,None,870.1165886,None,f,0.050607078,870.1165886,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,123,0,123,0,,,,,,,,,,,,,873.0676221,None,,,,,,,,,,,,,,,,,,,,,,place,D_new,123,222,870.7167985,None,870.7167985,None,870.7167985,sing17a,1,1.458818498,870.7167985,None,872.2219621,None,872.2219621,None,872.7507654,None,872.7507654,None,872.7507654,None,n,0.280038564,872.7507654,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,124,0,124,0,,,,,,,,,,,,,875.6015155,None,,,,,,,,,,,,,,,,,,,,,,suggestion,D_new,124,314,873.5871214,None,873.5871214,None,873.5871214,sing17a,1,1.019799092,873.5871214,None,874.668143,None,874.668143,None,875.1847496,None,875.1847496,None,875.1847496,None,n,0.374494931,875.1847496,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,125,0,125,0,,,,,,,,,,,,,877.6023674,None,,,,,,,,,,,,,,,,,,,,,,afternoon,B_aloud,125,3,876.119712,None,876.119712,None,876.119712,sing17a,1,0.599210674,876.119712,None,876.7688098,None,876.7688098,None,877.2854842,None,877.2854842,None,877.2854842,None,n,0.273822853,877.2854842,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,126,0,126,0,,,,,,,,,,,,,879.3861411,None,,,,,,,,,,,,,,,,,,,,,,period,D_new,126,217,878.1196741,None,878.1196741,None,878.1196741,sing17a,1,0.575215214,878.1196741,None,878.7526115,None,878.7526115,None,879.2695329,None,879.2695329,None,879.2695329,None,n,0.080974995,879.2695329,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,127,0,127,0,,,,,,,,,,,,,881.2367158,None,,,,,,,,,,,,,,,,,,,,,,scale,D_new,127,272,879.9031169,None,879.9031169,None,879.9031169,sing17a,1,0.679257635,879.9031169,None,880.6366664,None,880.6366664,None,881.1532857,None,881.1532857,None,881.1532857,None,n,0.036968962,881.1532857,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,128,0,128,0,,,,,,,,,,,,,883.2539762,None,,,,,,,,,,,,,,,,,,,,,,narrow,C_sing,128,197,881.7559498,None,881.7559498,None,881.7559498,sing17a,1,0.698234123,881.7559498,None,882.4936223,None,882.4936223,None,883.0207613,None,883.0207613,None,883.0207613,None,n,0.193741992,883.0207613,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,129,0,129,0,,,,,,,,,,,,,885.6880391,None,,,,,,,,,,,,,,,,,,,,,,position,A_silent,129,229,883.7720825,None,883.7720825,None,883.7720825,sing17a,2,0.93014866,883.7720825,None,884.7544691,None,884.7544691,None,885.2713103,None,885.2713103,None,885.2713103,None,n,0.37555483,885.2713103,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,130,0,130,0,,,,,,,,,,,,,887.7721755,None,,,,,,,,,,,,,,,,,,,,,,alert,D_new,130,6,886.2049431,None,886.2049431,None,886.2049431,sing17a,1,0.913026062,886.2049431,None,887.1597428,None,887.1597428,None,887.6887457,None,887.6887457,None,887.6887457,None,n,0.045494495,887.6887457,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
