StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,keyWelcome.keys,keyWelcome.rt,keyReady.keys,keyReady.rt,studyPic,studyWord,studyType,studyN,studyOrder,kPress2.keys,kPress2.rt,testWord,testType,testN,testOrder,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,space,256.6846572,,,,,,,,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
,,,,,,,,,,space,2.2513348,,,,,,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
0,0,0,0,,,,,,,,,materials/readPic.jpg,opening,A_silent,0,205,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
1,0,1,0,,,,,,,,,materials/speakPic.jpg,treatment,B_aloud,1,339,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
2,0,2,0,,,,,,,,,materials/speakPic.jpg,nation,B_aloud,2,198,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
3,0,3,0,,,,,,,,,materials/singPic.jpg,drama,C_sing,3,103,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
4,0,4,0,,,,,,,,,materials/readPic.jpg,display,A_silent,4,98,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
5,0,5,0,,,,,,,,,materials/singPic.jpg,welcome,C_sing,5,354,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
6,0,6,0,,,,,,,,,materials/readPic.jpg,master,A_silent,6,180,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
7,0,7,0,,,,,,,,,materials/speakPic.jpg,background,B_aloud,7,16,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
8,0,8,0,,,,,,,,,materials/speakPic.jpg,agency,B_aloud,8,4,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
9,0,9,0,,,,,,,,,materials/readPic.jpg,bright,A_silent,9,29,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
10,0,10,0,,,,,,,,,materials/singPic.jpg,course,C_sing,10,74,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
11,0,11,0,,,,,,,,,materials/singPic.jpg,atmosphere,C_sing,11,12,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
12,0,12,0,,,,,,,,,materials/readPic.jpg,volume,A_silent,12,349,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
13,0,13,0,,,,,,,,,materials/speakPic.jpg,color,B_aloud,13,56,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
14,0,14,0,,,,,,,,,materials/speakPic.jpg,mechanical,B_aloud,14,185,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
15,0,15,0,,,,,,,,,materials/speakPic.jpg,notice,B_aloud,15,201,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
16,0,16,0,,,,,,,,,materials/speakPic.jpg,audience,B_aloud,16,14,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
17,0,17,0,,,,,,,,,materials/speakPic.jpg,worker,B_aloud,17,356,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
18,0,18,0,,,,,,,,,materials/speakPic.jpg,partner,B_aloud,18,211,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
19,0,19,0,,,,,,,,,materials/singPic.jpg,report,C_sing,19,259,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
20,0,20,0,,,,,,,,,materials/readPic.jpg,company,A_silent,20,64,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
21,0,21,0,,,,,,,,,materials/speakPic.jpg,close,B_aloud,21,53,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
22,0,22,0,,,,,,,,,materials/readPic.jpg,provision,A_silent,22,243,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
23,0,23,0,,,,,,,,,materials/readPic.jpg,marriage,A_silent,23,179,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
24,0,24,0,,,,,,,,,materials/speakPic.jpg,research,B_aloud,24,261,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
25,0,25,0,,,,,,,,,materials/speakPic.jpg,committee,B_aloud,25,62,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
26,0,26,0,,,,,,,,,materials/readPic.jpg,height,A_silent,26,152,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
27,0,27,0,,,,,,,,,materials/singPic.jpg,gesture,C_sing,27,137,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
28,0,28,0,,,,,,,,,materials/readPic.jpg,danger,A_silent,28,85,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
29,0,29,0,,,,,,,,,materials/speakPic.jpg,exchange,B_aloud,29,121,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
30,0,30,0,,,,,,,,,materials/readPic.jpg,drove,A_silent,30,106,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
31,0,31,0,,,,,,,,,materials/singPic.jpg,bitter,C_sing,31,23,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
32,0,32,0,,,,,,,,,materials/speakPic.jpg,birth,B_aloud,32,22,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
33,0,33,0,,,,,,,,,materials/speakPic.jpg,trial,B_aloud,33,341,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
34,0,34,0,,,,,,,,,materials/speakPic.jpg,community,B_aloud,34,63,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
35,0,35,0,,,,,,,,,materials/singPic.jpg,solution,C_sing,35,294,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
36,0,36,0,,,,,,,,,materials/singPic.jpg,religion,C_sing,36,258,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
37,0,37,0,,,,,,,,,materials/readPic.jpg,theme,A_silent,37,326,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
38,0,38,0,,,,,,,,,materials/speakPic.jpg,military,B_aloud,38,190,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
39,0,39,0,,,,,,,,,materials/speakPic.jpg,direction,B_aloud,39,94,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
40,0,40,0,,,,,,,,,materials/readPic.jpg,music,A_silent,40,196,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
41,0,41,0,,,,,,,,,materials/singPic.jpg,style,C_sing,41,311,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
42,0,42,0,,,,,,,,,materials/singPic.jpg,point,C_sing,42,226,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
43,0,43,0,,,,,,,,,materials/singPic.jpg,minute,C_sing,43,192,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
44,0,44,0,,,,,,,,,materials/singPic.jpg,trail,C_sing,44,336,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
45,0,45,0,,,,,,,,,materials/readPic.jpg,balance,A_silent,45,17,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
46,0,46,0,,,,,,,,,materials/singPic.jpg,frank,C_sing,46,133,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
47,0,47,0,,,,,,,,,materials/singPic.jpg,mayor,C_sing,47,183,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
48,0,48,0,,,,,,,,,materials/singPic.jpg,medicine,C_sing,48,186,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
49,0,49,0,,,,,,,,,materials/speakPic.jpg,guard,B_aloud,49,145,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
50,0,50,0,,,,,,,,,materials/readPic.jpg,safety,A_silent,50,270,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
51,0,51,0,,,,,,,,,materials/speakPic.jpg,reading,B_aloud,51,254,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
52,0,52,0,,,,,,,,,materials/speakPic.jpg,cousin,B_aloud,52,76,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
53,0,53,0,,,,,,,,,materials/readPic.jpg,addition,A_silent,53,2,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
54,0,54,0,,,,,,,,,materials/speakPic.jpg,concern,B_aloud,54,65,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
55,0,55,0,,,,,,,,,materials/readPic.jpg,position,A_silent,55,229,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
56,0,56,0,,,,,,,,,materials/speakPic.jpg,passage,B_aloud,56,212,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
57,0,57,0,,,,,,,,,materials/readPic.jpg,command,A_silent,57,60,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
58,0,58,0,,,,,,,,,materials/speakPic.jpg,write,B_aloud,58,358,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
59,0,59,0,,,,,,,,,materials/singPic.jpg,principal,C_sing,59,236,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
60,0,60,0,,,,,,,,,materials/speakPic.jpg,growth,B_aloud,60,144,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
61,0,61,0,,,,,,,,,materials/readPic.jpg,burden,A_silent,61,36,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
62,0,62,0,,,,,,,,,materials/singPic.jpg,running,C_sing,62,268,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
63,0,63,0,,,,,,,,,materials/singPic.jpg,drink,C_sing,63,105,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
64,0,64,0,,,,,,,,,materials/readPic.jpg,public,A_silent,64,244,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
65,0,65,0,,,,,,,,,materials/singPic.jpg,message,C_sing,65,189,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
66,0,66,0,,,,,,,,,materials/speakPic.jpg,threat,B_aloud,66,329,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
67,0,67,0,,,,,,,,,materials/readPic.jpg,permit,A_silent,67,218,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
68,0,68,0,,,,,,,,,materials/singPic.jpg,vision,C_sing,68,347,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
69,0,69,0,,,,,,,,,materials/readPic.jpg,strain,A_silent,69,308,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
70,0,70,0,,,,,,,,,materials/readPic.jpg,error,A_silent,70,117,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
71,0,71,0,,,,,,,,,materials/singPic.jpg,shock,C_sing,71,284,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
72,0,72,0,,,,,,,,,materials/singPic.jpg,surface,C_sing,72,316,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
73,0,73,0,,,,,,,,,materials/readPic.jpg,territory,A_silent,73,324,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
74,0,74,0,,,,,,,,,materials/speakPic.jpg,carry,B_aloud,74,43,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
75,0,75,0,,,,,,,,,materials/speakPic.jpg,distance,B_aloud,75,100,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
76,0,76,0,,,,,,,,,materials/singPic.jpg,scale,C_sing,76,272,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
77,0,77,0,,,,,,,,,materials/readPic.jpg,author,A_silent,77,15,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
78,0,78,0,,,,,,,,,materials/singPic.jpg,taste,C_sing,78,322,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
79,0,79,0,,,,,,,,,materials/readPic.jpg,business,A_silent,79,38,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
80,0,80,0,,,,,,,,,materials/singPic.jpg,production,C_sing,80,240,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
81,0,81,0,,,,,,,,,materials/speakPic.jpg,sleep,B_aloud,81,290,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
82,0,82,0,,,,,,,,,materials/readPic.jpg,patient,A_silent,82,213,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
83,0,83,0,,,,,,,,,materials/singPic.jpg,executive,C_sing,83,122,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
84,0,84,0,,,,,,,,,materials/readPic.jpg,story,A_silent,84,306,,,,,,,,,,,2019_Nov_04_0931,60.015039769,ProdFawcett_Revision2019,001,sing18,
