StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,70,0,70,0,,,,,,,,,,,,,3715.2906657999847,None,,,,,,,,,,,,,,,,,,,,,,hunger,A_silent,70,155,3711.528276299825,None,3711.528276299825,None,3711.528276299825,None,4,2.415860499953851,3711.528276299825,None,3713.994036699878,None,3713.994036699878,None,3714.5185018999036,None,3714.5185018999036,None,3714.5185018999036,None,f,0.7450902001000941,3714.5185018999036,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,71,0,71,0,,,,,,,,,,,,,3720.5665657999925,None,,,,,,,,,,,,,,,,,,,,,,crowd,A_silent,71,81,3715.8194985999726,None,3715.8194985999726,None,3715.8194985999726,None,3,3.0282968999817967,3715.8194985999726,None,3718.891906999983,None,3718.891906999983,None,3719.404149299953,None,3719.404149299953,None,3719.404149299953,None,f,1.12361770006828,3719.404149299953,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,72,0,72,0,,,,,,,,,,,,,3725.664312500041,None,,,,,,,,,,,,,,,,,,,,,,figure,A_silent,72,128,3721.090872199973,None,3721.090872199973,None,3721.090872199973,None,1,1.9734503000508994,3721.090872199973,None,3723.117695099907,None,3723.117695099907,None,3723.6437480999157,None,3723.6437480999157,None,3723.6437480999157,None,n,1.99615369993262,3723.6437480999157,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,73,0,73,0,,,,,,,,,,,,,3729.869661499979,None,,,,,,,,,,,,,,,,,,,,,,number,D_new,73,203,3726.196612800006,None,3726.196612800006,None,3726.196612800006,None,4,2.7873102999292314,3726.196612800006,None,3729.0253991000354,None,3729.0253991000354,None,3729.554221099941,None,3729.554221099941,None,3729.554221099941,None,f,0.27815270004794,3729.554221099941,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,74,0,74,0,,,,,,,,,,,,,3735.1036491999403,None,,,,,,,,,,,,,,,,,,,,,,poetry,D_new,74,225,3730.380916999886,None,3730.380916999886,None,3730.380916999886,None,1,2.8430041999090463,3730.380916999886,None,3733.2679677999113,None,3733.2679677999113,None,3733.7841721998993,None,3733.7841721998993,None,3733.7841721998993,None,n,1.2800300000235438,3733.7841721998993,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,75,0,75,0,,,,,,,,,,,,,3739.1747868999373,None,,,,,,,,,,,,,,,,,,,,,,equipment,D_new,75,116,3735.6215168999042,None,3735.6215168999042,None,3735.6215168999042,None,3,1.850710699800402,3735.6215168999042,None,3737.5143619000446,None,3737.5143619000446,None,3738.042300299974,None,3738.042300299974,None,3738.042300299974,None,n,1.1094927999656647,3738.042300299974,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,76,0,76,0,,,,,,,,,,,,,3742.6265799999237,None,,,,,,,,,,,,,,,,,,,,,,career,D_new,76,42,3739.704765900038,None,3739.704765900038,None,3739.704765900038,None,2,2.0070519999135286,3739.704765900038,None,3741.7647710000165,None,3741.7647710000165,None,3742.285160299856,None,3742.285160299856,None,3742.285160299856,None,n,0.30650039995089173,3742.285160299856,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,77,0,77,0,,,,,,,,,,,,,3747.5359193000477,None,,,,,,,,,,,,,,,,,,,,,,military,D_new,77,190,3743.142736699898,None,3743.142736699898,None,3743.142736699898,None,4,2.7532492000609636,3743.142736699898,None,3745.9373901998624,None,3745.9373901998624,None,3746.449757399969,None,3746.449757399969,None,3746.449757399969,None,f,1.0542639000341296,3746.449757399969,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,78,0,78,0,,,,,,,,,,,,,3751.0043160999194,None,,,,,,,,,,,,,,,,,,,,,,guest,D_new,78,146,3748.0542808000464,None,3748.0542808000464,None,3748.0542808000464,None,3,2.2416550999041647,3748.0542808000464,None,3750.3351916000247,None,3750.3351916000247,None,3750.8542102999054,None,3750.8542102999054,None,3750.8542102999054,None,f,0.11381260002963245,3750.8542102999054,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,79,0,79,0,,,,,,,,,,,,,3756.3644799999893,None,,,,,,,,,,,,,,,,,,,,,,expansion,D_new,79,123,3751.5212411000393,None,3751.5212411000393,None,3751.5212411000393,None,2,3.974611699813977,3751.5212411000393,None,3755.5414843999315,None,3755.5414843999315,None,3756.071598300012,None,3756.071598300012,None,3756.071598300012,None,n,0.2640408999286592,3756.071598300012,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,80,0,80,0,,,,,,,,,,,,,3759.3277815999463,None,,,,,,,,,,,,,,,,,,,,,,rapid,A_silent,80,252,3756.8876129998825,None,3756.8876129998825,None,3756.8876129998825,None,5,1.8486651999410242,3756.8876129998825,None,3758.772905099904,None,3758.772905099904,None,3759.2859371998347,None,3759.2859371998347,None,3759.2859371998347,None,f,0.017867699963971972,3759.2859371998347,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,81,0,81,0,,,,,,,,,,,,,3763.1057197998744,None,,,,,,,,,,,,,,,,,,,,,,pressure,A_silent,81,232,3759.8552469999995,None,3759.8552469999995,None,3759.8552469999995,None,5,2.4805674999952316,3759.8552469999995,None,3762.37831369997,None,3762.37831369997,None,3762.9143252999056,None,3762.9143252999056,None,3762.9143252999056,None,f,0.15767560014501214,3762.9143252999056,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,82,0,82,0,,,,,,,,,,,,,3768.3056451999582,None,,,,,,,,,,,,,,,,,,,,,,match,A_silent,82,181,3763.6228832998313,None,3763.6228832998313,None,3763.6228832998313,None,4,3.8971649000886828,3763.6228832998313,None,3767.5658165998757,None,3767.5658165998757,None,3768.0780411998276,None,3768.0780411998276,None,3768.0780411998276,None,n,0.18594829994253814,3768.0780411998276,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,83,0,83,0,,,,,,,,,,,,,3773.268685600022,None,,,,,,,,,,,,,,,,,,,,,,medicine,C_sing,83,186,3768.824553600047,None,3768.824553600047,None,3768.824553600047,None,4,2.4153740000911057,3768.824553600047,None,3771.283871399937,None,3771.283871399937,None,3771.8055342999287,None,3771.8055342999287,None,3771.8055342999287,None,n,1.4263979000970721,3771.8055342999287,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,84,0,84,0,,,,,,,,,,,,,3776.772438999964,None,,,,,,,,,,,,,,,,,,,,,,tough,D_new,84,333,3773.7972651999444,None,3773.7972651999444,None,3773.7972651999444,None,2,2.258492299821228,3773.7972651999444,None,3776.0896909998264,None,3776.0896909998264,None,3776.6079641999677,None,3776.6079641999677,None,3776.6079641999677,None,n,0.1283199000172317,3776.6079641999677,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,85,0,85,0,,,,,,,,,,,,,3781.613338999916,None,,,,,,,,,,,,,,,,,,,,,,judge,D_new,85,166,3777.292399399914,None,3777.292399399914,None,3777.292399399914,None,5,3.2834473000839353,3777.292399399914,None,3780.6233204000164,None,3780.6233204000164,None,3781.146225699922,None,3781.146225699922,None,3781.146225699922,None,f,0.44538459996692836,3781.146225699922,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,86,0,86,0,,,,,,,,,,,,,3785.601994999917,None,,,,,,,,,,,,,,,,,,,,,,scene,B_aloud,86,273,3782.1398232998326,None,3782.1398232998326,None,3782.1398232998326,None,5,2.7320183000992984,3782.1398232998326,None,3784.9168618998956,None,3784.9168618998956,None,3785.438156799879,None,3785.438156799879,None,3785.438156799879,None,f,0.12991380016319454,3785.438156799879,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,87,0,87,0,,,,,,,,,,,,,3791.7909488999285,None,,,,,,,,,,,,,,,,,,,,,,government,C_sing,87,139,3786.1213088999502,None,3786.1213088999502,None,3786.1213088999502,None,6,3.4065382999833673,3786.1213088999502,None,3789.587841699831,None,3789.587841699831,None,3790.112579099834,None,3790.112579099834,None,3790.112579099834,None,r,1.6473213001154363,3790.112579099834,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,88,0,88,0,,,,,,,,,,,,,3795.60478269984,None,,,,,,,,,,,,,,,,,,,,,,generation,D_new,88,136,3792.3141325998586,None,3792.3141325998586,None,3792.3141325998586,None,1,1.89398659998551,3792.3141325998586,None,3794.268794900039,None,3794.268794900039,None,3794.776086000027,None,3794.776086000027,None,3794.776086000027,None,n,0.7918161998968571,3794.776086000027,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,89,0,89,0,,,,,,,,,,,,,3800.129943100037,None,,,,,,,,,,,,,,,,,,,,,,rough,A_silent,89,266,3796.1311683999375,None,3796.1311683999375,None,3796.1311683999375,None,6,2.868553699925542,3796.1311683999375,None,3799.032026299974,None,3799.032026299974,None,3799.5593999000266,None,3799.5593999000266,None,3799.5593999000266,None,r,0.5442794999107718,3799.5593999000266,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,90,0,90,0,,,,,,,,,,,,,3802.998390799854,None,,,,,,,,,,,,,,,,,,,,,,error,D_new,90,117,3800.656242799945,None,3800.656242799945,None,3800.656242799945,None,1,1.5358062000013888,3800.656242799945,None,3802.2349648999516,None,3802.2349648999516,None,3802.7560642999597,None,3802.7560642999597,None,3802.7560642999597,None,n,0.20403150003403425,3802.7560642999597,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,91,0,91,0,,,,,,,,,,,,,3807.0919796000235,None,,,,,,,,,,,,,,,,,,,,,,drink,B_aloud,91,105,3803.533739299979,None,3803.533739299979,None,3803.533739299979,None,4,2.3942033001221716,3803.533739299979,None,3805.968850699952,None,3805.968850699952,None,3806.4886272998992,None,3806.4886272998992,None,3806.4886272998992,None,f,0.5671736001968384,3806.4886272998992,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,92,0,92,0,,,,,,,,,,,,,3813.0087831998244,None,,,,,,,,,,,,,,,,,,,,,,surprise,D_new,92,317,3807.610788999824,None,3807.610788999824,None,3807.610788999824,None,3,3.64499230007641,3807.610788999824,None,3811.2991331999656,None,3811.2991331999656,None,3811.821138399886,None,3811.821138399886,None,3811.821138399886,None,f,1.1466324999928474,3811.821138399886,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,93,0,93,0,,,,,,,,,,,,,3816.0169905000366,None,,,,,,,,,,,,,,,,,,,,,,ground,A_silent,93,142,3813.5320901998784,None,3813.5320901998784,None,3813.5320901998784,None,2,1.8273932000156492,3813.5320901998784,None,3815.3824622998945,None,3815.3824622998945,None,3815.9086000998504,None,3815.9086000998504,None,3815.9086000998504,None,n,0.08348269993439317,3815.9086000998504,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,94,0,94,0,,,,,,,,,,,,,3820.431751899887,None,,,,,,,,,,,,,,,,,,,,,,question,D_new,94,247,3816.5474193999544,None,3816.5474193999544,None,3816.5474193999544,None,4,2.620429999893531,3816.5474193999544,None,3819.2113173999824,None,3819.2113173999824,None,3819.7313114998396,None,3819.7313114998396,None,3819.7313114998396,None,n,0.6682960998732597,3819.7313114998396,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,95,0,95,0,,,,,,,,,,,,,3823.250890400028,None,,,,,,,,,,,,,,,,,,,,,,block,D_new,95,25,3820.9541278998367,None,3820.9541278998367,None,3820.9541278998367,None,1,1.4456536998040974,3820.9541278998367,None,3822.445119800046,None,3822.445119800046,None,3822.9611706000287,None,3822.9611706000287,None,3822.9611706000287,None,n,0.25453600008040667,3822.9611706000287,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,96,0,96,0,,,,,,,,,,,,,3827.1153646998573,None,,,,,,,,,,,,,,,,,,,,,,crime,C_sing,96,78,3823.7751372999046,None,3823.7751372999046,None,3823.7751372999046,None,5,1.9127484001219273,3823.7751372999046,None,3825.7373976998497,None,3825.7373976998497,None,3826.257819699822,None,3826.257819699822,None,3826.257819699822,None,f,0.8220675000920892,3826.257819699822,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,97,0,97,0,,,,,,,,,,,,,3830.4158141999505,None,,,,,,,,,,,,,,,,,,,,,,bright,D_new,97,29,3827.648685900029,None,3827.648685900029,None,3827.648685900029,None,6,2.007402999792248,3827.648685900029,None,3829.7016823999584,None,3829.7016823999584,None,3830.2313625998795,None,3830.2313625998795,None,3830.2313625998795,None,f,0.15235599991865456,3830.2313625998795,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,98,0,98,0,,,,,,,,,,,,,3834.1320187998936,None,,,,,,,,,,,,,,,,,,,,,,dream,B_aloud,98,104,3830.9433976998553,None,3830.9433976998553,None,3830.9433976998553,None,2,1.8646593999583274,3830.9433976998553,None,3832.8505064998753,None,3832.8505064998753,None,3833.379641099833,None,3833.379641099833,None,3833.379641099833,None,n,0.7319459998980165,3833.379641099833,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,99,0,99,0,,,,,,,,,,,,,3837.726657100022,None,,,,,,,,,,,,,,,,,,,,,,council,B_aloud,99,71,3834.660347699886,None,3834.660347699886,None,3834.660347699886,None,3,2.2514231000095606,3834.660347699886,None,3836.9483336999547,None,3836.9483336999547,None,3837.472131700022,None,3837.472131700022,None,3837.472131700022,None,n,0.2079227000940591,3837.472131700022,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,100,0,100,0,,,,,,,,,,,,,3840.8832331998274,None,,,,,,,,,,,,,,,,,,,,,,cover,D_new,100,77,3838.248217900051,None,3838.248217900051,None,3838.248217900051,None,2,1.9122370001859963,3838.248217900051,None,3840.2036720998585,None,3840.2036720998585,None,3840.7290476998314,None,3840.7290476998314,None,3840.7290476998314,None,n,0.12660409999080002,3840.7290476998314,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,101,0,101,0,,,,,,,,,,,,,3844.893649299862,None,,,,,,,,,,,,,,,,,,,,,,minute,D_new,101,192,3841.4097507998813,None,3841.4097507998813,None,3841.4097507998813,None,4,1.7741636999417096,3841.4097507998813,None,3843.2373619000427,None,3843.2373619000427,None,3843.757909799926,None,3843.757909799926,None,3843.757909799926,None,f,1.0899335998110473,3843.757909799926,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,102,0,102,0,,,,,,,,,,,,,3849.0853170999326,None,,,,,,,,,,,,,,,,,,,,,,clean,A_silent,102,51,3845.413778899936,None,3845.413778899936,None,3845.413778899936,None,6,2.402047600131482,3845.413778899936,None,3847.873338199919,None,3847.873338199919,None,3848.3892457999755,None,3848.3892457999755,None,3848.3892457999755,None,f,0.6585242000874132,3848.3892457999755,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,103,0,103,0,,,,,,,,,,,,,3853.244389799889,None,,,,,,,,,,,,,,,,,,,,,,budget,B_aloud,103,34,3849.61724209995,None,3849.61724209995,None,3849.61724209995,None,6,2.8947109000291675,3849.61724209995,None,3852.5613891999237,None,3852.5613891999237,None,3853.085701899836,None,3853.085701899836,None,3853.085701899836,None,r,0.12234310014173388,3853.085701899836,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,104,0,104,0,,,,,,,,,,,,,3856.511251799995,None,,,,,,,,,,,,,,,,,,,,,,range,D_new,104,251,3853.768337599933,None,3853.768337599933,None,3853.768337599933,None,4,1.8394555998966098,3853.768337599933,None,3855.6504931000527,None,3855.6504931000527,None,3856.1799460998736,None,3856.1799460998736,None,3856.1799460998736,None,n,0.2999958998989314,3856.1799460998736,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,105,0,105,0,,,,,,,,,,,,,3860.5628118999302,None,,,,,,,,,,,,,,,,,,,,,,level,D_new,105,170,3857.0314618998673,None,3857.0314618998673,None,3857.0314618998673,None,5,2.888277699938044,3857.0314618998673,None,3859.9665085999295,None,3859.9665085999295,None,3860.478636399843,None,3860.478636399843,None,3860.478636399843,None,f,0.04910679999738932,3860.478636399843,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,106,0,106,0,,,,,,,,,,,,,3865.232973200036,None,,,,,,,,,,,,,,,,,,,,,,primary,D_new,106,234,3861.0786377999466,None,3861.0786377999466,None,3861.0786377999466,None,5,3.5533571001142263,3861.0786377999466,None,3864.683181699831,None,3864.683181699831,None,3865.1956259999424,None,3865.1956259999424,None,3865.1956259999424,None,f,0.004000799963250756,3865.1956259999424,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,107,0,107,0,,,,,,,,,,,,,3870.108603899833,None,,,,,,,,,,,,,,,,,,,,,,tragedy,D_new,107,335,3865.7668869998306,None,3865.7668869998306,None,3865.7668869998306,None,2,3.585026199929416,3865.7668869998306,None,3869.4166091999505,None,3869.4166091999505,None,3869.929060399998,None,3869.929060399998,None,3869.929060399998,None,n,0.15078129991889,3869.929060399998,None,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
