StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.362228027603123,None,space,205.02355632273247,9.362228027603123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing20,001,2019_Nov_04_1054,ProdFawcett_Revision2019,3.2.4,59.970568664300515,
,,,,,,,,,,,,,,214.4075828823843,None,space,5.041991976147983,214.4075828823843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing20,001,2019_Nov_04_1054,ProdFawcett_Revision2019,3.2.4,59.970568664300515,
0,0,0,0,,,,,,,,,,,,,,,,,224.2608095415635,None,materials/singPic.jpg,hunger,C_sing,0,155,220.5822725010803,None,220.5822725010803,None,221.5098522733897,None,221.76000342098996,None,221.76000342098996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing20,001,2019_Nov_04_1054,ProdFawcett_Revision2019,3.2.4,59.970568664300515,
1,0,1,0,,,,,,,,,,,,,,,,,228.5288281395333,None,materials/singPic.jpg,breath,C_sing,1,27,224.8151511476026,None,224.8151511476026,None,225.77934285002993,None,226.02871648938162,None,226.02871648938162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing20,001,2019_Nov_04_1054,ProdFawcett_Revision2019,3.2.4,59.970568664300515,
2,0,2,0,,,,,,,,,,,,,,,,,232.79680319712497,None,materials/singPic.jpg,express,C_sing,2,124,229.11202183243586,None,229.11202183243586,None,230.04604745906545,None,230.31256671017036,None,230.31256671017036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing20,001,2019_Nov_04_1054,ProdFawcett_Revision2019,3.2.4,59.970568664300515,
3,0,3,0,,,,,,,,,,,,,,,,,237.06476736953482,None,materials/singPic.jpg,patient,C_sing,3,213,233.379935933277,None,233.379935933277,None,234.3140222055954,None,234.58075573801761,None,234.58075573801761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing20,001,2019_Nov_04_1054,ProdFawcett_Revision2019,3.2.4,59.970568664300515,
4,0,4,0,,,,,,,,,,,,,,,,,241.33276202023262,None,materials/readPic.jpg,election,A_silent,4,109,237.70499782293336,None,237.70499782293336,None,238.58228836226044,None,238.83831685013138,None,238.83831685013138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing20,001,2019_Nov_04_1054,ProdFawcett_Revision2019,3.2.4,59.970568664300515,
5,0,5,0,,,,,,,,,,,,,,,,,245.60075076192152,None,materials/speakPic.jpg,stranger,B_aloud,5,309,241.9573014243506,None,241.9573014243506,None,242.85014679352753,None,243.1165459973854,None,243.1165459973854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing20,001,2019_Nov_04_1054,ProdFawcett_Revision2019,3.2.4,59.970568664300515,
6,0,6,0,,,,,,,,,,,,,,,,,249.8689621819649,None,materials/readPic.jpg,conference,A_silent,6,66,246.18994712940184,None,246.18994712940184,None,247.11820364493178,None,247.38455277722096,None,247.38455277722096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing20,001,2019_Nov_04_1054,ProdFawcett_Revision2019,3.2.4,59.970568664300515,
7,0,7,0,,,,,,,,,,,,,,,,,254.1367301113205,None,materials/readPic.jpg,store,A_silent,7,305,250.45793524908368,None,250.45793524908368,None,251.38610032963334,None,251.652502332523,None,251.652502332523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing20,001,2019_Nov_04_1054,ProdFawcett_Revision2019,3.2.4,59.970568664300515,
