StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.671932725647821,None,space,1016.2119161365827,14.671932725647821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing30,001,2019_Nov_11_1534,ProdFawcett_Revision2019,3.2.4,59.86741316969344,
,,,,,,,,,,,,,,1030.9101786387946,None,space,6.981177599723196,1030.9101786387946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing30,001,2019_Nov_11_1534,ProdFawcett_Revision2019,3.2.4,59.86741316969344,
0,0,0,0,,,,,,,,,,,,,,,,,1042.697313933602,None,materials/readPic.jpg,reach,A_silent,0,253,1039.0215819574164,None,1039.0215819574164,None,1039.9464298210064,None,1040.1964498031484,None,1040.1964498031484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing30,001,2019_Nov_11_1534,ProdFawcett_Revision2019,3.2.4,59.86741316969344,
1,0,1,0,,,,,,,,,,,,,,,,,1046.9652590634173,None,materials/singPic.jpg,audience,C_sing,1,14,1043.2998761262697,None,1043.2998761262697,None,1044.2147870339068,None,1044.481035625438,None,1044.481035625438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing30,001,2019_Nov_11_1534,ProdFawcett_Revision2019,3.2.4,59.86741316969344,
2,0,2,0,,,,,,,,,,,,,,,,,1051.2333273516492,None,materials/speakPic.jpg,suggestion,B_aloud,2,314,1047.566865845341,None,1047.566865845341,None,1048.4829190783894,None,1048.7491200859868,None,1048.7491200859868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing30,001,2019_Nov_11_1534,ProdFawcett_Revision2019,3.2.4,59.86741316969344,
3,0,3,0,,,,,,,,,,,,,,,,,1055.5013511660081,None,materials/singPic.jpg,election,C_sing,3,109,1051.8382544347137,None,1051.8382544347137,None,1052.7509348065896,None,1053.0170748569913,None,1053.0170748569913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing30,001,2019_Nov_11_1534,ProdFawcett_Revision2019,3.2.4,59.86741316969344,
4,0,4,0,,,,,,,,,,,,,,,,,1059.7693656501847,None,materials/speakPic.jpg,range,B_aloud,4,251,1056.0890345157682,None,1056.0890345157682,None,1057.018970439181,None,1057.285112044613,None,1057.285112044613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing30,001,2019_Nov_11_1534,ProdFawcett_Revision2019,3.2.4,59.86741316969344,
5,0,5,0,,,,,,,,,,,,,,,,,1064.0374159000621,None,materials/speakPic.jpg,couch,B_aloud,5,70,1060.3526215170814,None,1060.3526215170814,None,1061.2870132249122,None,1061.553123107722,None,1061.553123107722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing30,001,2019_Nov_11_1534,ProdFawcett_Revision2019,3.2.4,59.86741316969344,
6,0,6,0,,,,,,,,,,,,,,,,,1068.3053908864636,None,materials/speakPic.jpg,skill,B_aloud,6,289,1064.6109434961004,None,1064.6109434961004,None,1065.5549994075332,None,1065.821148788118,None,1065.821148788118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing30,001,2019_Nov_11_1534,ProdFawcett_Revision2019,3.2.4,59.86741316969344,
7,0,7,0,,,,,,,,,,,,,,,,,1072.5734908973177,None,materials/readPic.jpg,property,A_silent,7,242,1068.9065725230462,None,1068.9065725230462,None,1069.822984968142,None,1070.089337435711,None,1070.089337435711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing30,001,2019_Nov_11_1534,ProdFawcett_Revision2019,3.2.4,59.86741316969344,
