StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,125,0,125,0,,,,,,,,,,,,,,,,,,,,,,730.0449858,None,,,,,,,,,,,,,,,,,,season,118,126,sing,new,null,728.3093221,None,728.3093221,None,1,0.8906289,728.3093221,None,0.8906289,729.2324023,None,729.7443772,None,729.7443772,None,n,0.271619,729.7443772,None,0.271619,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,126,0,126,0,,,,,,,,,,,,,,,,,,,,,,732.6304118,None,,,,,,,,,,,,,,,,,,poetry,62,127,sing,old,red,730.5585031,None,730.5585031,None,6,1.2494603,730.5585031,None,1.2494603,731.834259,None,732.3468883,None,732.3468883,None,r,0.2611535,732.3468883,None,0.2611535,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,127,0,127,0,,,,,,,,,,,,,,,,,,,,,,735.0328266,None,,,,,,,,,,,,,,,,,,skill,120,128,sing,new,null,733.1436163,None,733.1436163,None,1,1.0403273,733.1436163,None,1.0403273,734.2165138,None,734.7223418,None,734.7223418,None,n,0.2856985,734.7223418,None,0.2856985,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,128,0,128,0,,,,,,,,,,,,,,,,,,,,,,737.4916325,None,,,,,,,,,,,,,,,,,,point,33,129,sing,old,blue,735.546615,None,735.546615,None,1,1.0932413,735.546615,None,1.0932413,736.6691261,None,737.1684275,None,737.1684275,None,n,0.2877106,737.1684275,None,0.2877106,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,129,0,129,0,,,,,,,,,,,,,,,,,,,,,,740.7051552,None,,,,,,,,,,,,,,,,,,capital,3,130,sing,old,yellow,738.005478,None,738.005478,None,3,1.8424649,738.005478,None,1.8424649,739.8720645,None,740.3716551,None,740.3716551,None,f,0.3162691,740.3716551,None,0.3162691,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,130,0,130,0,,,,,,,,,,,,,,,,,,,,,,743.2576414,None,,,,,,,,,,,,,,,,,,research,162,131,sing,new,null,741.2139273,None,741.2139273,None,3,1.3060021,741.2139273,None,1.3060021,742.5414356,None,743.0454217,None,743.0454217,None,f,0.1866639,743.0454217,None,0.1866639,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,131,0,131,0,,,,,,,,,,,,,,,,,,,,,,745.8124955,None,,,,,,,,,,,,,,,,,,error,126,132,sing,new,null,743.7641277,None,743.7641277,None,1,1.4038246,743.7641277,None,1.4038246,745.1927525,None,745.6961239,None,745.6961239,None,n,0.0878608,745.6961239,None,0.0878608,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,132,0,132,0,,,,,,,,,,,,,,,,,,,,,,748.049637,None,,,,,,,,,,,,,,,,,,evidence,47,133,sing,old,blue,746.3387535,None,746.3387535,None,1,0.9651813,746.3387535,None,0.9651813,747.3284799,None,747.8353736,None,747.8353736,None,n,0.1805859,747.8353736,None,0.1805859,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,133,0,133,0,,,,,,,,,,,,,,,,,,,,,,750.7485283,None,,,,,,,,,,,,,,,,,,entrance,74,134,sing,old,red,748.5774761,None,748.5774761,None,3,1.478497,748.5774761,None,1.478497,750.0821228,None,750.5836857,None,750.5836857,None,f,0.1362941,750.5836857,None,0.1362941,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,134,0,134,0,,,,,,,,,,,,,,,,,,,,,,752.9507359,None,,,,,,,,,,,,,,,,,,comedy,63,135,sing,old,red,751.2608962,None,751.2608962,None,6,1.0191554,751.2608962,None,1.0191554,752.3035701,None,752.8234041,None,752.8234041,None,f,0.0965295,752.8234041,None,0.0965295,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
