StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,139,0,139,0,,,,,,,,,,,,,,,,,,,,,,1608.8990420000628,None,,,,,,,,,,,,,,,,,,plane,45,140,sing,old,blue,1606.1130620995536,None,1606.1130620995536,None,6,1.8856950998306274,1606.1130620995536,None,1.8856950998306274,1608.0200634002686,None,1608.5319349998608,None,1608.5319349998608,None,r,0.33872990030795336,1608.5319349998608,None,0.33872990030795336,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,140,0,140,0,,,,,,,,,,,,,,,,,,,,,,1613.0883253999054,None,,,,,,,,,,,,,,,,,,drama,112,141,sing,new,null,1609.404490900226,None,1609.404490900226,None,3,2.9943332001566887,1609.404490900226,None,2.9943332001566887,1612.4242120003328,None,1612.940977299586,None,1612.940977299586,None,n,0.12181080039590597,1612.940977299586,None,0.12181080039590597,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,141,0,141,0,,,,,,,,,,,,,,,,,,,,,,1616.4065760998055,None,,,,,,,,,,,,,,,,,,provision,176,142,sing,new,null,1613.6151540996507,None,1613.6151540996507,None,1,1.831444799900055,1613.6151540996507,None,1.831444799900055,1615.4753262000158,None,1615.9896265994757,None,1615.9896265994757,None,n,0.4008924998342991,1615.9896265994757,None,0.4008924998342991,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,142,0,142,0,,,,,,,,,,,,,,,,,,,,,,1620.3604715000838,None,,,,,,,,,,,,,,,,,,running,6,143,sing,old,yellow,1616.9071540003642,None,1616.9071540003642,None,6,1.3474789997562766,1616.9071540003642,None,1.3474789997562766,1618.2751658996567,None,1618.7805584995076,None,1618.7805584995076,None,r,1.5540013993158937,1618.7805584995076,None,1.5540013993158937,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,143,0,143,0,,,,,,,,,,,,,,,,,,,,,,1624.9482076000422,None,,,,,,,,,,,,,,,,,,discussion,66,144,sing,old,red,1620.8731832001358,None,1620.8731832001358,None,5,2.5334067000076175,1620.8731832001358,None,2.5334067000076175,1623.4317862000316,None,1623.9383352994919,None,1623.9383352994919,None,f,0.9882476003840566,1623.9383352994919,None,0.9882476003840566,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,144,0,144,0,,,,,,,,,,,,,,,,,,,,,,1630.1703155003488,None,,,,,,,,,,,,,,,,,,interior,131,145,sing,new,null,1625.4574402002618,None,1625.4574402002618,None,4,4.069202199578285,1625.4574402002618,None,4.069202199578285,1629.5530139999464,None,1630.0564157003537,None,1630.0564157003537,None,f,0.09417960047721863,1630.0564157003537,None,0.09417960047721863,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,145,0,145,0,,,,,,,,,,,,,,,,,,,,,,1633.1900861002505,None,,,,,,,,,,,,,,,,,,science,7,146,sing,old,yellow,1630.681601700373,None,1630.681601700373,None,5,1.8930523004382849,1630.681601700373,None,1.8930523004382849,1632.6072527999058,None,1633.1128652999178,None,1633.1128652999178,None,f,0.045776800252497196,1633.1128652999178,None,0.045776800252497196,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,146,0,146,0,,,,,,,,,,,,,,,,,,,,,,1637.3974187001586,None,,,,,,,,,,,,,,,,,,scale,23,147,sing,old,yellow,1633.697987199761,None,1633.697987199761,None,6,2.95659579988569,1633.697987199761,None,2.95659579988569,1636.683536999859,None,1637.193783099763,None,1637.193783099763,None,r,0.18081390019506216,1637.193783099763,None,0.18081390019506216,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,147,0,147,0,,,,,,,,,,,,,,,,,,,,,,1640.9976103994995,None,,,,,,,,,,,,,,,,,,problem,165,148,sing,new,null,1637.91304629948,None,1637.91304629948,None,5,2.4135201992467046,1637.91304629948,None,2.4135201992467046,1640.3487400999293,None,1640.8545409003273,None,1640.8545409003273,None,f,0.11208639945834875,1640.8545409003273,None,0.11208639945834875,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,148,0,148,0,,,,,,,,,,,,,,,,,,,,,,1644.2358606997877,None,,,,,,,,,,,,,,,,,,employment,51,149,sing,old,blue,1641.5027431994677,None,1641.5027431994677,None,6,2.00786819960922,1641.5027431994677,None,2.00786819960922,1643.54203459993,None,1644.0602780999616,None,1644.0602780999616,None,r,0.15441100019961596,1644.0602780999616,None,0.15441100019961596,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,149,0,149,0,,,,,,,,,,,,,,,,,,,,,,1647.6377199999988,None,,,,,,,,,,,,,,,,,,blind,28,150,sing,old,yellow,1644.7551688002422,None,1644.7551688002422,None,3,2.1473293006420135,1644.7551688002422,None,2.1473293006420135,1646.9215454002842,None,1647.428479200229,None,1647.428479200229,None,n,0.17815260030329227,1647.428479200229,None,0.17815260030329227,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,150,0,150,0,,,,,,,,,,,,,,,,,,,,,,1654.0772749995813,None,,,,,,,,,,,,,,,,,,industry,84,151,sing,old,red,1648.1531849997118,None,1648.1531849997118,None,4,4.397381900809705,1648.1531849997118,None,4.397381900809705,1652.5802135001868,None,1653.1005007997155,None,1653.1005007997155,None,f,0.9541462995111942,1653.1005007997155,None,0.9541462995111942,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,151,0,151,0,,,,,,,,,,,,,,,,,,,,,,1656.6967871002853,None,,,,,,,,,,,,,,,,,,order,109,152,sing,new,null,1654.5806590998545,None,1654.5806590998545,None,5,1.4738902999088168,1654.5806590998545,None,1.4738902999088168,1656.081215299666,None,1656.5968177998438,None,1656.5968177998438,None,f,0.08163599949330091,1656.5968177998438,None,0.08163599949330091,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,152,0,152,0,,,,,,,,,,,,,,,,,,,,,,1660.3170366995037,None,,,,,,,,,,,,,,,,,,accident,133,153,sing,new,null,1657.2038206998259,None,1657.2038206998259,None,5,2.1386990007013083,1657.2038206998259,None,2.1386990007013083,1659.3687300002202,None,1659.886019299738,None,1659.886019299738,None,f,0.40047459956258535,1659.886019299738,None,0.40047459956258535,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,153,0,153,0,,,,,,,,,,,,,,,,,,,,,,1663.5202267002314,None,,,,,,,,,,,,,,,,,,spoke,92,154,sing,new,null,1660.829843699932,None,1660.829843699932,None,3,1.87271189969033,1660.829843699932,None,1.87271189969033,1662.723764100112,None,1663.2367516001686,None,1663.2367516001686,None,n,0.2578366007655859,1663.2367516001686,None,0.2578366007655859,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,154,0,154,0,,,,,,,,,,,,,,,,,,,,,,1667.6589518003166,None,,,,,,,,,,,,,,,,,,month,166,155,sing,new,null,1664.0389085002244,None,1664.0389085002244,None,3,2.8235183004289865,1664.0389085002244,None,2.8235183004289865,1666.891681900248,None,1667.3958604000509,None,1667.3958604000509,None,n,0.2347178002819419,1667.3958604000509,None,0.2347178002819419,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,155,0,155,0,,,,,,,,,,,,,,,,,,,,,,1670.3131622001529,None,,,,,,,,,,,,,,,,,,agreement,141,156,sing,new,null,1668.1624501999468,None,1668.1624501999468,None,5,1.5080699995160103,1668.1624501999468,None,1.5080699995160103,1669.694244899787,None,1670.19931229949,None,1670.19931229949,None,f,0.0952564999461174,1670.19931229949,None,0.0952564999461174,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,156,0,156,0,,,,,,,,,,,,,,,,,,,,,,1675.5504684001207,None,,,,,,,,,,,,,,,,,,equipment,94,157,sing,new,null,1670.830484399572,None,1670.830484399572,None,3,3.8240517005324364,1670.830484399572,None,3.8240517005324364,1674.688584599644,None,1675.1986053995788,None,1675.1986053995788,None,n,0.3202227000147104,1675.1986053995788,None,0.3202227000147104,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,157,0,157,0,,,,,,,,,,,,,,,,,,,,,,1678.6186717003584,None,,,,,,,,,,,,,,,,,,story,57,158,sing,old,blue,1676.0670175002888,None,1676.0670175002888,None,4,1.7955620000138879,1676.0670175002888,None,1.7955620000138879,1677.8903000000864,None,1678.401911799796,None,1678.401911799796,None,f,0.18861979991197586,1678.401911799796,None,0.18861979991197586,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,158,0,158,0,,,,,,,,,,,,,,,,,,,,,,1682.0383094996214,None,,,,,,,,,,,,,,,,,,answer,56,159,sing,old,blue,1679.1327326996252,None,1679.1327326996252,None,6,2.2657971996814013,1679.1327326996252,None,2.2657971996814013,1681.4278891999274,None,1681.9404670996591,None,1681.9404670996591,None,r,0.07410140056163073,1681.9404670996591,None,0.07410140056163073,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
