StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,930.3448571000008,None,,,,,,,,,,,,,,,,,,quantity,6,24,aloud,old,yellow,925.9529388999981,None,925.9529388999981,None,4,3.4562622999983432,925.9529388999981,None,3.4562622999983432,929.4311792000008,None,929.9470665000008,None,929.9470665000008,None,r,0.36620309999852907,929.9470665000008,None,0.36620309999852907,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,937.2740956999987,None,,,,,,,,,,,,,,,,,,mankind,137,25,aloud,new,null,930.8594091999985,None,930.8594091999985,None,1,3.2378026000005775,930.8594091999985,None,3.2378026000005775,934.1183806000008,None,934.6389197999997,None,934.6389197999997,None,n,2.6023363000022073,934.6389197999997,None,2.6023363000022073,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,941.4054168000002,None,,,,,,,,,,,,,,,,,,breath,134,26,aloud,new,null,937.7904374999998,None,937.7904374999998,None,2,1.754756800000905,937.7904374999998,None,1.754756800000905,939.5739850999998,None,940.0896128999993,None,940.0896128999993,None,n,1.2876773999996658,940.0896128999993,None,1.2876773999996658,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,947.4293003999992,None,,,,,,,,,,,,,,,,,,problem,61,27,aloud,old,red,941.9169809999985,None,941.9169809999985,None,2,3.788297099999909,941.9169809999985,None,3.788297099999909,945.7298841999982,None,946.2536256999992,None,946.2536256999992,None,n,1.155715799999598,946.2536256999992,None,1.155715799999598,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,951.4547705999976,None,,,,,,,,,,,,,,,,,,instrument,141,28,aloud,new,null,947.9427700999986,None,947.9427700999986,None,4,2.5785725000023376,947.9427700999986,None,2.5785725000023376,950.5547480999994,None,951.0697385999993,None,951.0697385999993,None,f,0.3556983000016771,951.0697385999993,None,0.3556983000016771,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,955.9866422999985,None,,,,,,,,,,,,,,,,,,population,135,29,aloud,new,null,951.9754556000007,None,951.9754556000007,None,3,3.11391740000181,951.9754556000007,None,3.11391740000181,955.1304763000007,None,955.6390763999989,None,955.6390763999989,None,f,0.3301446000004944,955.6390763999989,None,0.3301446000004944,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,959.409180300001,None,,,,,,,,,,,,,,,,,,poetry,3,30,aloud,old,yellow,956.4982660999995,None,956.4982660999995,None,6,2.0471386999997776,956.4982660999995,None,2.0471386999997776,958.5869254999998,None,959.0898835000007,None,959.0898835000007,None,r,0.2955188000014459,959.0898835000007,None,0.2955188000014459,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,965.4794089999996,None,,,,,,,,,,,,,,,,,,present,47,31,aloud,old,blue,959.9287930999999,None,959.9287930999999,None,3,4.648425899998983,959.9287930999999,None,4.648425899998983,964.5970448000007,None,965.1165168999978,None,965.1165168999978,None,f,0.3327114999992773,965.1165168999978,None,0.3327114999992773,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,971.1574751999979,None,,,,,,,,,,,,,,,,,,account,117,32,aloud,new,null,965.9817121999986,None,965.9817121999986,None,2,2.9396038000013505,965.9817121999986,None,2.9396038000013505,968.9527883999981,None,969.4715907999998,None,969.4715907999998,None,n,1.6577298999982304,969.4715907999998,None,1.6577298999982304,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,974.5081820999985,None,,,,,,,,,,,,,,,,,,column,112,33,aloud,new,null,971.6894183999975,None,971.6894183999975,None,1,1.4718657000012172,971.6894183999975,None,1.4718657000012172,973.1916339999989,None,973.7092056000001,None,973.7092056000001,None,n,0.7722438000018883,973.7092056000001,None,0.7722438000018883,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
