StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,119,0,119,0,,,,,,,,,,,,,,,,,,,,,,1550.368432,None,,,,,,,,,,,,,,,,,article,163,120,silent,new,null,1545.589208,None,1545.589208,None,1,3.8639527,1545.589208,None,3.8639527,1549.484769,None,1549.988429,None,1549.988429,None,n,0.3606913,1549.988429,None,0.3606913,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,120,0,120,0,,,,,,,,,,,,,,,,,,,,,,1557.10833,None,,,,,,,,,,,,,,,,,working,112,121,silent,new,null,1550.879487,None,1550.879487,None,3,4.8694531,1550.879487,None,4.8694531,1555.773994,None,1556.274466,None,1556.274466,None,f,0.8104819,1556.274466,None,0.8104819,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,121,0,121,0,,,,,,,,,,,,,,,,,,,,,,1563.414797,None,,,,,,,,,,,,,,,,,motion,156,122,silent,new,null,1557.609053,None,1557.609053,None,1,4.8360228,1557.609053,None,4.8360228,1562.465561,None,1562.981181,None,1562.981181,None,n,0.4158268,1562.981181,None,0.4158268,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,122,0,122,0,,,,,,,,,,,,,,,,,,,,,,1568.40289,None,,,,,,,,,,,,,,,,,device,119,123,silent,new,null,1563.929981,None,1563.929981,None,1,2.5071515,1563.929981,None,2.5071515,1566.469613,None,1566.98496,None,1566.98496,None,n,1.3880412,1566.98496,None,1.3880412,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,123,0,123,0,,,,,,,,,,,,,,,,,,,,,,1573.860202,None,,,,,,,,,,,,,,,,,smell,111,124,silent,new,null,1568.903585,None,1568.903585,None,5,3.0614285,1568.903585,None,3.0614285,1571.993635,None,1572.507185,None,1572.507185,None,r,1.3217946,1572.507185,None,1.3217946,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,124,0,124,0,,,,,,,,,,,,,,,,,,,,,,1577.612092,None,,,,,,,,,,,,,,,,,concern,142,125,silent,new,null,1574.370258,None,1574.370258,None,1,2.2189699,1574.370258,None,2.2189699,1576.614126,None,1577.128867,None,1577.128867,None,n,0.4523561,1577.128867,None,0.4523561,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,125,0,125,0,,,,,,,,,,,,,,,,,,,,,,1582.083526,None,,,,,,,,,,,,,,,,,death,7,126,silent,old,yellow,1578.120756,None,1578.120756,None,1,2.4363584,1578.120756,None,2.4363584,1580.587556,None,1581.099381,None,1581.099381,None,n,0.9537413,1581.099381,None,0.9537413,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,126,0,126,0,,,,,,,,,,,,,,,,,,,,,,1586.938393,None,,,,,,,,,,,,,,,,,income,2,127,silent,old,yellow,1582.59026,None,1582.59026,None,1,3.4469161,1582.59026,None,3.4469161,1586.064105,None,1586.571472,None,1586.571472,None,n,0.3376426,1586.571472,None,0.3376426,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,127,0,127,0,,,,,,,,,,,,,,,,,,,,,,1589.877973,None,,,,,,,,,,,,,,,,,blind,33,128,silent,old,blue,1587.441743,None,1587.441743,None,1,1.483266,1587.441743,None,1.483266,1588.940292,None,1589.444981,None,1589.444981,None,n,0.4003312,1589.444981,None,0.4003312,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,128,0,128,0,,,,,,,,,,,,,,,,,,,,,,1595.179912,None,,,,,,,,,,,,,,,,,exchange,168,129,silent,new,null,1590.392354,None,1590.392354,None,1,3.3809377,1590.392354,None,3.3809377,1593.804248,None,1594.312539,None,1594.312539,None,n,0.8366701,1594.312539,None,0.8366701,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,129,0,129,0,,,,,,,,,,,,,,,,,,,,,,1598.549932,None,,,,,,,,,,,,,,,,,treatment,178,130,silent,new,null,1595.691149,None,1595.691149,None,1,2.0179373,1595.691149,None,2.0179373,1597.734272,None,1598.250642,None,1598.250642,None,n,0.2744671,1598.250642,None,0.2744671,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,130,0,130,0,,,,,,,,,,,,,,,,,,,,,,1606.14284,None,,,,,,,,,,,,,,,,,couch,113,131,silent,new,null,1599.057587,None,1599.057587,None,3,5.2195657,1599.057587,None,5.2195657,1604.309505,None,1604.825861,None,1604.825861,None,f,1.2913099,1604.825861,None,1.2913099,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,131,0,131,0,,,,,,,,,,,,,,,,,,,,,,1615.049749,None,,,,,,,,,,,,,,,,,produce,159,132,silent,new,null,1606.664154,None,1606.664154,None,3,7.4209669,1606.664154,None,7.4209669,1614.116557,None,1614.623858,None,1614.623858,None,f,0.3972415,1614.623858,None,0.3972415,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,132,0,132,0,,,,,,,,,,,,,,,,,,,,,,1619.187278,None,,,,,,,,,,,,,,,,,atmosphere,174,133,silent,new,null,1615.552846,None,1615.552846,None,1,2.5642687,1615.552846,None,2.5642687,1618.139079,None,1618.653492,None,1618.653492,None,n,0.5117254,1618.653492,None,0.5117254,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,133,0,133,0,,,,,,,,,,,,,,,,,,,,,,1626.431637,None,,,,,,,,,,,,,,,,,character,1,134,silent,old,yellow,1619.695903,None,1619.695903,None,1,5.7652664,1619.695903,None,5.7652664,1625.486239,None,1625.995859,None,1625.995859,None,n,0.4095229,1625.995859,None,0.4095229,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,134,0,134,0,,,,,,,,,,,,,,,,,,,,,,1634.423739,None,,,,,,,,,,,,,,,,,impact,162,135,silent,new,null,1626.961265,None,1626.961265,None,1,6.4758731,1626.961265,None,6.4758731,1633.468398,None,1633.979433,None,1633.979433,None,n,0.4096108,1633.979433,None,0.4096108,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
