StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,65.3799124,None,b,131.1482414,65.3799124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct22Aloud1,62,2022_Oct_14_1425,ProdSingRedoBetween,2021.2.3,59.87113326
,,,,,,,,,,,,,,AloudTest,196.5744808,None,space,15.1535811,196.5744808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct22Aloud1,62,2022_Oct_14_1425,ProdSingRedoBetween,2021.2.3,59.87113326
0,0,0,0,,,,,,,,,,,,,,,,,,196.5744808,None,196.5744808,None,196.5744808,None,196.5744808,None,214.2602289,None,material,77,1,aloud,red,212.2595743,None,None,212.2595743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct22Aloud1,62,2022_Oct_14_1425,ProdSingRedoBetween,2021.2.3,59.87113326
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,216.7794494,None,taste,52,2,aloud,blue,214.7637827,None,None,214.7637827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct22Aloud1,62,2022_Oct_14_1425,ProdSingRedoBetween,2021.2.3,59.87113326
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,219.2819053,None,crowd,13,3,aloud,yellow,217.2799903,None,None,217.2799903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct22Aloud1,62,2022_Oct_14_1425,ProdSingRedoBetween,2021.2.3,59.87113326
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,221.7843368,None,story,37,4,aloud,blue,219.7821899,None,None,219.7821899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct22Aloud1,62,2022_Oct_14_1425,ProdSingRedoBetween,2021.2.3,59.87113326
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,224.2869033,None,poetry,53,5,aloud,blue,222.2850436,None,None,222.2850436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct22Aloud1,62,2022_Oct_14_1425,ProdSingRedoBetween,2021.2.3,59.87113326
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,226.7890953,None,judge,20,6,aloud,yellow,224.7872709,None,None,224.7872709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct22Aloud1,62,2022_Oct_14_1425,ProdSingRedoBetween,2021.2.3,59.87113326
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,229.2918286,None,benefit,75,7,aloud,red,227.2896674,None,None,227.2896674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct22Aloud1,62,2022_Oct_14_1425,ProdSingRedoBetween,2021.2.3,59.87113326
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,231.8109529,None,cover,74,8,aloud,red,229.8027677,None,None,229.8027677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct22Aloud1,62,2022_Oct_14_1425,ProdSingRedoBetween,2021.2.3,59.87113326
