StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,176.6497929,None,weather,79,15,aloud,red,174.6478552,None,None,174.6478552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,179.1524115,None,leader,75,16,aloud,red,177.1501187,None,None,177.1501187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,181.671233,None,education,69,17,aloud,red,179.6614898,None,None,179.6614898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,184.1739955,None,watch,41,18,aloud,blue,182.1718231,None,None,182.1718231,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,186.6778524,None,corner,50,19,aloud,blue,184.6755468,None,None,184.6755468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,189.1956906,None,subject,66,20,aloud,red,187.1839691,None,None,187.1839691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,191.7148812,None,scene,32,21,aloud,blue,189.7063809,None,None,189.7063809,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,194.2338667,None,mankind,42,22,aloud,blue,192.2214848,None,None,192.2214848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,196.7364309,None,government,24,23,aloud,yellow,194.7344171,None,None,194.7344171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,199.2391741,None,primary,46,24,aloud,blue,197.2376598,None,None,197.2376598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
