StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,130,0,130,0,,,,,,,,,,,,,,,,,,,,,,869.9157067,None,,,,,,,,,,,,,,,,,general,172,131,sing,new,null,867.1356618,None,867.1356618,None,4,2.1731972,867.1356618,None,2.1731972,869.3295509,None,869.8433232,None,869.8433232,None,f,0.04962,869.8433232,None,0.04962,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
,,,,131,0,131,0,,,,,,,,,,,,,,,,,,,,,,873.3680735,None,,,,,,,,,,,,,,,,,front,77,132,sing,old,red,870.4357693,None,870.4357693,None,2,1.2812665,870.4357693,None,1.2812665,871.7582474,None,872.2670554,None,872.2670554,None,n,1.0660512,872.2670554,None,1.0660512,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
,,,,132,0,132,0,,,,,,,,,,,,,,,,,,,,,,878.9877832,None,,,,,,,,,,,,,,,,,speech,119,133,sing,new,null,873.8830037,None,873.8830037,None,3,3.3378216,873.8830037,None,3.3378216,877.2516602,None,877.7510553,None,877.7510553,None,n,1.213937,877.7510553,None,1.213937,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
,,,,133,0,133,0,,,,,,,,,,,,,,,,,,,,,,882.8729419,None,,,,,,,,,,,,,,,,,style,127,134,sing,new,null,879.5029664,None,879.5029664,None,2,1.5098719,879.5029664,None,1.5098719,881.0375797,None,881.5445897,None,881.5445897,None,n,1.300259,881.5445897,None,1.300259,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
,,,,134,0,134,0,,,,,,,,,,,,,,,,,,,,,,886.393101,None,,,,,,,,,,,,,,,,,evidence,14,135,sing,old,yellow,883.3813777,None,883.3813777,None,4,1.911519,883.3813777,None,1.911519,885.3159484,None,885.8318076,None,885.8318076,None,f,0.533161,885.8318076,None,0.533161,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
,,,,135,0,135,0,,,,,,,,,,,,,,,,,,,,,,893.3000532,None,,,,,,,,,,,,,,,,,agreement,168,136,sing,new,null,886.8973701,None,886.8973701,None,3,3.2514523,886.8973701,None,3.2514523,890.1635865,None,890.6716155,None,890.6716155,None,n,2.597388,890.6716155,None,2.597388,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
,,,,136,0,136,0,,,,,,,,,,,,,,,,,,,,,,896.3364885,None,,,,,,,,,,,,,,,,,provision,174,137,sing,new,null,893.810195,None,893.810195,None,2,1.8269211,893.810195,None,1.8269211,895.6652615,None,896.171294,None,896.171294,None,n,0.1374754,896.171294,None,0.1374754,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
,,,,137,0,137,0,,,,,,,,,,,,,,,,,,,,,,900.0904843,None,,,,,,,,,,,,,,,,,minute,142,138,sing,new,null,896.8447686,None,896.8447686,None,4,1.9681617,896.8447686,None,1.9681617,898.8432123,None,899.3563006,None,899.3563006,None,f,0.7126342,899.3563006,None,0.7126342,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
,,,,138,0,138,0,,,,,,,,,,,,,,,,,,,,,,902.6427209,None,,,,,,,,,,,,,,,,,reading,98,139,sing,new,null,900.5968281,None,900.5968281,None,2,1.2960231,900.5968281,None,1.2960231,901.9107512,None,902.4259376,None,902.4259376,None,n,0.1949178,902.4259376,None,0.1949178,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
,,,,139,0,139,0,,,,,,,,,,,,,,,,,,,,,,906.8803114,None,,,,,,,,,,,,,,,,,series,40,140,sing,old,blue,903.1535401,None,903.1535401,None,2,1.9793055,903.1535401,None,1.9793055,905.1639594,None,905.6812002,None,905.6812002,None,n,1.1716251,905.6812002,None,1.1716251,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
