StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,772.6467205,None,,,,,,,,,,,,,,,,,,strength,47,66,silent,old,blue,769.3985584,None,769.3985584,None,5,2.187451,769.3985584,None,2.187451,771.6123132,None,772.1158028,None,772.1158028,None,f,0.510278,772.1158028,None,0.510278,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,776.1488856,None,,,,,,,,,,,,,,,,,,heavy,11,67,silent,old,yellow,773.1509654,None,773.1509654,None,5,2.4030053,773.1509654,None,2.4030053,775.5833939,None,776.1003847,None,776.1003847,None,f,0.0297184,776.1003847,None,0.0297184,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,67,0,67,0,,,,,,,,,,,,,,,,,,,,,,779.3359321,None,,,,,,,,,,,,,,,,,,front,57,68,silent,old,blue,776.6563683,None,776.6563683,None,6,1.7617625,776.6563683,None,1.7617625,778.4411733,None,778.9518247,None,778.9518247,None,r,0.3542027,778.9518247,None,0.3542027,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,68,0,68,0,,,,,,,,,,,,,,,,,,,,,,783.4395027,None,,,,,,,,,,,,,,,,,,exchange,151,69,silent,new,null,779.8416652,None,779.8416652,None,3,2.2165668,779.8416652,None,2.2165668,782.0881466,None,782.5887578,None,782.5887578,None,f,0.8212706,782.5887578,None,0.8212706,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,69,0,69,0,,,,,,,,,,,,,,,,,,,,,,785.9754036,None,,,,,,,,,,,,,,,,,,trail,133,70,silent,new,null,783.9472124,None,783.9472124,None,6,1.4467751,783.9472124,None,1.4467751,785.4257313,None,785.9277711,None,785.9277711,None,r,0.0182273,785.9277711,None,0.0182273,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,70,0,70,0,,,,,,,,,,,,,,,,,,,,,,789.912579,None,,,,,,,,,,,,,,,,,,crisis,159,71,silent,new,null,786.478718,None,786.478718,None,2,2.227398,786.478718,None,2.227398,788.7365238,None,789.2500761,None,789.2500761,None,n,0.6318972,789.2500761,None,0.6318972,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,71,0,71,0,,,,,,,,,,,,,,,,,,,,,,793.850087,None,,,,,,,,,,,,,,,,,,clear,48,72,silent,old,blue,790.4192504,None,790.4192504,None,2,2.2627187,790.4192504,None,2.2627187,792.7005604,None,793.2160461,None,793.2160461,None,n,0.6101087,793.2160461,None,0.6101087,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,72,0,72,0,,,,,,,,,,,,,,,,,,,,,,797.3702967,None,,,,,,,,,,,,,,,,,,trash,114,73,silent,new,null,794.3606849,None,794.3606849,None,5,2.1373351,794.3606849,None,2.1373351,796.5226477,None,797.0364053,None,797.0364053,None,f,0.317465,797.0364053,None,0.317465,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,73,0,73,0,,,,,,,,,,,,,,,,,,,,,,800.172865,None,,,,,,,,,,,,,,,,,,health,172,74,silent,new,null,797.8705051,None,797.8705051,None,3,1.4274681,797.8705051,None,1.4274681,799.3218735,None,799.8251488,None,799.8251488,None,f,0.3207756,799.8251488,None,0.3207756,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,74,0,74,0,,,,,,,,,,,,,,,,,,,,,,802.7754864,None,,,,,,,,,,,,,,,,,,agreement,59,75,silent,old,yellow,800.6733832,None,800.6733832,None,3,1.464985,800.6733832,None,1.464985,802.171527,None,802.6797996,None,802.6797996,None,f,0.0664238,802.6797996,None,0.0664238,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,75,0,75,0,,,,,,,,,,,,,,,,,,,,,,805.4136675,None,,,,,,,,,,,,,,,,,,device,46,76,silent,old,blue,803.2788342,None,803.2788342,None,6,1.1791165,803.2788342,None,1.1791165,804.4782517,None,804.9800057,None,804.9800057,None,r,0.4060137,804.9800057,None,0.4060137,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,76,0,76,0,,,,,,,,,,,,,,,,,,,,,,809.4320693,None,,,,,,,,,,,,,,,,,,portion,130,77,silent,new,null,805.9351591,None,805.9351591,None,1,2.5867359,805.9351591,None,2.5867359,808.5485436,None,809.0576304,None,809.0576304,None,f,0.344345,809.0576304,None,0.344345,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,77,0,77,0,,,,,,,,,,,,,,,,,,,,,,814.3703806,None,,,,,,,,,,,,,,,,,,course,74,78,silent,old,red,809.9433501,None,809.9433501,None,5,3.6265939,809.9433501,None,3.6265939,813.5908154,None,814.1095021,None,814.1095021,None,f,0.2444067,814.1095021,None,0.2444067,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,78,0,78,0,,,,,,,,,,,,,,,,,,,,,,819.9975664,None,,,,,,,,,,,,,,,,,,accident,37,79,silent,old,blue,814.8780754,None,814.8780754,None,4,4.4358726,814.8780754,None,4.4358726,819.3426701,None,819.8426059,None,819.8426059,None,f,0.1193377,819.8426059,None,0.1193377,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,79,0,79,0,,,,,,,,,,,,,,,,,,,,,,823.0957341,None,,,,,,,,,,,,,,,,,,rural,176,80,silent,new,null,820.5159639,None,820.5159639,None,4,1.9019229,820.5159639,None,1.9019229,822.4457719,None,822.9453958,None,822.9453958,None,f,0.1204382,822.9453958,None,0.1204382,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,826.3991305,None,,,,,,,,,,,,,,,,,,brilliant,99,81,silent,new,null,823.5980573,None,823.5980573,None,2,1.6118869,823.5980573,None,1.6118869,825.2321958,None,825.7318066,None,825.7318066,None,n,0.6381989,825.7318066,None,0.6381989,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,829.1351146,None,,,,,,,,,,,,,,,,,,entrance,97,82,silent,new,null,826.9051971,None,826.9051971,None,2,1.4487187,826.9051971,None,1.4487187,828.3850124,None,828.8880364,None,828.8880364,None,n,0.2259097,828.8880364,None,0.2259097,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,832.155041,None,,,,,,,,,,,,,,,,,,solution,50,83,silent,old,blue,829.6492019,None,829.6492019,None,3,1.7286651,829.6492019,None,1.7286651,831.4071359,None,831.9243568,None,831.9243568,None,f,0.2135971,831.9243568,None,0.2135971,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,836.4757664,None,,,,,,,,,,,,,,,,,,republic,0,84,silent,old,yellow,832.6583527,None,832.6583527,None,1,2.9674664,832.6583527,None,2.9674664,835.6437065,None,836.1639194,None,836.1639194,None,n,0.2859415,836.1639194,None,0.2859415,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,84,0,84,0,,,,,,,,,,,,,,,,,,,,,,840.1128014,None,,,,,,,,,,,,,,,,,,smell,106,85,silent,new,null,836.9792796,None,836.9792796,None,1,2.4787094,836.9792796,None,2.4787094,839.4840715,None,839.9959835,None,839.9959835,None,n,0.1019168,839.9959835,None,0.1019168,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,847.3365794,None,,,,,,,,,,,,,,,,,,committee,77,86,silent,old,red,840.6196594,None,840.6196594,None,1,5.7343169,840.6196594,None,5.7343169,846.3759175,None,846.8910247,None,846.8910247,None,n,0.4148626,846.8910247,None,0.4148626,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,850.422929,None,,,,,,,,,,,,,,,,,,career,51,87,silent,old,blue,847.8461429,None,847.8461429,None,3,1.7477456,847.8461429,None,1.7477456,849.6231993,None,850.1269334,None,850.1269334,None,f,0.2670397,850.1269334,None,0.2670397,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,854.1266838,None,,,,,,,,,,,,,,,,,,addition,150,88,silent,new,null,850.9300417,None,850.9300417,None,2,2.3039612,850.9300417,None,2.3039612,853.2625473,None,853.7849114,None,853.7849114,None,n,0.3209395,853.7849114,None,0.3209395,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,861.8843799,None,,,,,,,,,,,,,,,,,,foundation,142,89,silent,new,null,854.63257,None,854.63257,None,3,6.5372997,854.63257,None,6.5372997,861.2013543,None,861.7009853,None,861.7009853,None,f,0.1568404,861.7009853,None,0.1568404,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
