StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,309.3205072004348,None,people,31,47,aloud,blue,307.31836790032685,None,None,307.31836790032685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,311.8396936999634,None,dispute,77,48,aloud,red,309.8247445002198,None,None,309.8247445002198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,314.35869110003114,None,corner,4,49,aloud,yellow,312.3463709000498,None,None,312.3463709000498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,316.87759689986706,None,rural,86,50,aloud,red,314.86339099984616,None,None,314.86339099984616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,319.3805221999064,None,harmony,74,51,aloud,red,317.37861320003867,None,None,317.37861320003867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,321.8997833998874,None,period,54,52,aloud,blue,319.88543449994177,None,None,319.88543449994177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,324.4021648000926,None,history,52,53,aloud,blue,322.3999318005517,None,None,322.3999318005517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,326.90461460035294,None,debate,55,54,aloud,blue,324.9053589999676,None,None,324.9053589999676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,329.4237114004791,None,bicycle,79,55,aloud,red,327.408355999738,None,None,327.408355999738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,331.92599709983915,None,range,80,56,aloud,red,329.92422659974545,None,None,329.92422659974545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,334.42882480006665,None,property,72,57,aloud,red,332.4268300002441,None,None,332.4268300002441,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,336.9480325002223,None,shock,27,58,aloud,yellow,334.9387686997652,None,None,334.9387686997652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,339.45056449994445,None,listen,35,59,aloud,blue,337.4489003997296,None,None,337.4489003997296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,341.9530231002718,None,trial,60,60,aloud,red,339.9510038997978,None,None,339.9510038997978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,344.4720975998789,None,murder,73,61,aloud,red,342.45692660007626,None,None,342.45692660007626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,346.9913274999708,None,court,49,62,aloud,blue,344.9763526003808,None,None,344.9763526003808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,349.4938607001677,None,management,42,63,aloud,blue,347.49184220004827,None,None,347.49184220004827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,352.01298630051315,None,broke,10,64,aloud,yellow,349.9979239003733,None,None,349.9979239003733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,354.5155485998839,None,cover,7,65,aloud,yellow,352.5143597004935,None,None,352.5143597004935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,357.01797199994326,None,center,28,66,aloud,yellow,355.0167821003124,None,None,355.0167821003124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,359.53719350043684,None,session,17,67,aloud,yellow,357.5227840002626,None,None,357.5227840002626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,362.05640139989555,None,place,75,68,aloud,red,360.0411609997973,None,None,360.0411609997973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,364.5754760000855,None,partner,81,69,aloud,red,362.5609406000003,None,None,362.5609406000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,367.07810600008816,None,owner,39,70,aloud,blue,365.07723840046674,None,None,365.07723840046674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,369.58042880054563,None,error,45,71,aloud,blue,367.58002900052816,None,None,367.58002900052816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,372.0997192002833,None,design,14,72,aloud,yellow,370.08686999976635,None,None,370.08686999976635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,374.6021662000567,None,answer,21,73,aloud,yellow,372.6001690002158,None,None,372.6001690002158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,377.1214049998671,None,salary,23,74,aloud,yellow,375.1102796997875,None,None,375.1102796997875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,379.623840900138,None,treatment,50,75,aloud,blue,377.62188530061394,None,None,377.62188530061394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,382.12632399983704,None,quarter,25,76,aloud,yellow,380.12638160027564,None,None,380.12638160027564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,384.62877770047635,None,junior,12,77,aloud,yellow,382.6268627997488,None,None,382.6268627997488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,387.14802359975874,None,crime,83,78,aloud,red,385.13323550019413,None,None,385.13323550019413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,389.66732950042933,None,piece,48,79,aloud,blue,387.65782519988716,None,None,387.65782519988716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,392.16963700018823,None,course,85,80,aloud,red,390.169790700078,None,None,390.169790700078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,394.67220779974014,None,threat,61,81,aloud,red,392.6720040002838,None,None,392.6720040002838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,397.17461550049484,None,ground,51,82,aloud,blue,395.17277450021356,None,None,395.17277450021356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,399.6771891005337,None,search,5,83,aloud,yellow,397.67521240003407,None,None,397.67521240003407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,402.1797710005194,None,split,36,84,aloud,blue,400.1798497000709,None,None,400.1798497000709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,404.69886669982225,None,degree,29,85,aloud,blue,402.68706770054996,None,None,402.68706770054996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,407.2013173997402,None,voice,71,86,aloud,red,405.19954149983823,None,None,405.19954149983823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,409.72052570059896,None,general,6,87,aloud,yellow,407.70551719982177,None,None,407.70551719982177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,412.22302090004086,None,union,8,88,aloud,yellow,410.22073470056057,None,None,410.22073470056057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,414.7255835002288,None,track,63,89,aloud,red,412.7234952002764,None,None,412.7234952002764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,417.22771750018,None,narrow,13,90,aloud,yellow,415.22658440005034,None,None,415.22658440005034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.72885140031576,None,k,55.212240600027144,417.72885140031576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,487.4188136998564,None,,,,,,,,,,,,,,,,,,citizen,116,1,aloud,new,null,473.483132599853,None,473.483132599853,None,4,10.705782299861312,473.483132599853,None,10.705782299861312,484.21614610031247,None,484.7287316005677,None,484.7287316005677,None,f,2.660268399864435,484.7287316005677,None,2.660268399864435,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,492.0887275999412,None,,,,,,,,,,,,,,,,,,council,108,2,aloud,new,null,487.9384085005149,None,487.9384085005149,None,1,2.3384560998529196,487.9384085005149,None,2.3384560998529196,490.30082480050623,None,490.80631360039115,None,490.80631360039115,None,n,1.2546105002984405,490.80631360039115,None,1.2546105002984405,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,498.3588936002925,None,,,,,,,,,,,,,,,,,,force,68,3,aloud,old,red,492.60840690042824,None,492.60840690042824,None,6,2.308478199876845,492.60840690042824,None,2.308478199876845,494.9408183004707,None,495.4584787003696,None,495.4584787003696,None,r,2.874547000043094,495.4584787003696,None,2.874547000043094,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,502.84681400004774,None,,,,,,,,,,,,,,,,,,owner,39,4,aloud,old,blue,498.86865490023047,None,498.86865490023047,None,6,2.7441416000947356,498.86865490023047,None,2.7441416000947356,501.63585640024394,None,502.14596899971366,None,502.14596899971366,None,r,0.6829335000365973,502.14596899971366,None,0.6829335000365973,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,508.6524186003953,None,,,,,,,,,,,,,,,,,,candidate,137,5,aloud,new,null,503.3528787000105,None,503.3528787000105,None,2,3.5959912994876504,503.3528787000105,None,3.5959912994876504,506.9852708997205,None,507.4845061004162,None,507.4845061004162,None,n,1.1441839998587966,507.4845061004162,None,1.1441839998587966,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,514.3081304002553,None,,,,,,,,,,,,,,,,,,congress,122,6,aloud,new,null,509.15509270038456,None,509.15509270038456,None,1,3.697767600417137,509.15509270038456,None,3.697767600417137,512.87692300044,None,513.3904073005542,None,513.3904073005542,None,n,0.8944536000490189,513.3904073005542,None,0.8944536000490189,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,520.7311597000808,None,,,,,,,,,,,,,,,,,,division,139,7,aloud,new,null,514.821344899945,None,514.821344899945,None,3,3.6634128000587225,514.821344899945,None,3.6634128000587225,518.5120812999085,None,519.017338800244,None,519.017338800244,None,n,1.6834699995815754,519.017338800244,None,1.6834699995815754,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,527.0207882998511,None,,,,,,,,,,,,,,,,,,clear,138,8,aloud,new,null,521.2394484998658,None,521.2394484998658,None,4,4.205347499810159,521.2394484998658,None,4.205347499810159,525.4692302998155,None,525.9746524002403,None,525.9746524002403,None,f,1.022133800201118,525.9746524002403,None,1.022133800201118,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,530.3075291002169,None,,,,,,,,,,,,,,,,,,equipment,95,9,aloud,new,null,527.5307285003364,None,527.5307285003364,None,2,1.8900905000045896,527.5307285003364,None,1.8900905000045896,529.4409173000604,None,529.9500655001029,None,529.9500655001029,None,n,0.3267433000728488,529.9500655001029,None,0.3267433000728488,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,534.8620068999007,None,,,,,,,,,,,,,,,,,,route,1,10,aloud,old,yellow,530.818511299789,None,530.818511299789,None,6,2.9222737001255155,530.818511299789,None,2.9222737001255155,533.7617488000542,None,534.2637649998069,None,534.2637649998069,None,r,0.5730499997735023,534.2637649998069,None,0.5730499997735023,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,538.2987695997581,None,,,,,,,,,,,,,,,,,,smooth,170,11,aloud,new,null,535.3714083004743,None,535.3714083004743,None,1,2.3455733004957438,535.3714083004743,None,2.3455733004957438,537.7557279998437,None,538.2654966004193,None,538.2654966004193,None,n,0.011300499550998211,538.2654966004193,None,0.011300499550998211,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,542.8865579003468,None,,,,,,,,,,,,,,,,,,match,57,12,aloud,old,blue,538.7992139998823,None,538.7992139998823,None,6,3.1655660001561046,538.7992139998823,None,3.1655660001561046,541.9855636004359,None,542.4909768998623,None,542.4909768998623,None,r,0.3697917005047202,542.4909768998623,None,0.3697917005047202,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
