StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,141,0,141,0,,,,,,,,,,,,,,,,,,,,,,1279.04575,None,,,,,,,,,,,,,,,,,drink,102,142,aloud,new,null,1276.19664,None,1276.19664,None,1,1.9722891,1276.19664,None,1.9722891,1278.195353,None,1278.709005,None,1278.709005,None,n,0.3159105,1278.709005,None,0.3159105,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,142,0,142,0,,,,,,,,,,,,,,,,,,,,,,1282.295176,None,,,,,,,,,,,,,,,,,engineer,72,143,aloud,old,red,1279.559159,None,1279.559159,None,1,1.9938364,1279.559159,None,1.9938364,1281.583666,None,1282.099884,None,1282.099884,None,n,0.1650497,1282.099884,None,0.1650497,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,143,0,143,0,,,,,,,,,,,,,,,,,,,,,,1286.234587,None,,,,,,,,,,,,,,,,,shear,16,144,aloud,old,yellow,1282.799487,None,1282.799487,None,6,1.8014574,1282.799487,None,1.8014574,1284.630952,None,1285.137423,None,1285.137423,None,r,1.0714999,1285.137423,None,1.0714999,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,144,0,144,0,,,,,,,,,,,,,,,,,,,,,,1289.801683,None,,,,,,,,,,,,,,,,,country,145,145,aloud,new,null,1286.750622,None,1286.750622,None,6,1.6583017,1286.750622,None,1.6583017,1288.438281,None,1288.9544,None,1288.9544,None,r,0.8304625,1288.9544,None,0.8304625,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,145,0,145,0,,,,,,,,,,,,,,,,,,,,,,1293.021616,None,,,,,,,,,,,,,,,,,detective,138,146,aloud,new,null,1290.316207,None,1290.316207,None,1,2.0847118,1290.316207,None,2.0847118,1292.424506,None,1292.941786,None,1292.941786,None,n,0.0591933,1292.941786,None,0.0591933,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,146,0,146,0,,,,,,,,,,,,,,,,,,,,,,1296.224936,None,,,,,,,,,,,,,,,,,strength,168,147,aloud,new,null,1293.528071,None,1293.528071,None,6,1.5287893,1293.528071,None,1.5287893,1295.081727,None,1295.592163,None,1295.592163,None,r,0.6166668,1295.592163,None,0.6166668,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,147,0,147,0,,,,,,,,,,,,,,,,,,,,,,1300.145593,None,,,,,,,,,,,,,,,,,volume,103,148,aloud,new,null,1296.727184,None,1296.727184,None,3,2.7457111,1296.727184,None,2.7457111,1299.497692,None,1300.012225,None,1300.012225,None,f,0.1166204,1300.012225,None,0.1166204,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,148,0,148,0,,,,,,,,,,,,,,,,,,,,,,1303.56558,None,,,,,,,,,,,,,,,,,trial,64,149,aloud,old,red,1300.652252,None,1300.652252,None,6,1.9006215,1300.652252,None,1.9006215,1302.581906,None,1303.087439,None,1303.087439,None,r,0.4493363,1303.087439,None,0.4493363,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,149,0,149,0,,,,,,,,,,,,,,,,,,,,,,1306.919002,None,,,,,,,,,,,,,,,,,mechanical,104,150,aloud,new,null,1304.075803,None,1304.075803,None,3,2.1890781,1304.075803,None,2.1890781,1306.28595,None,1306.787239,None,1306.787239,None,f,0.1017138,1306.787239,None,0.1017138,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,150,0,150,0,,,,,,,,,,,,,,,,,,,,,,1310.005427,None,,,,,,,,,,,,,,,,,author,69,151,aloud,old,red,1307.420964,None,1307.420964,None,1,1.5959437,1307.420964,None,1.5959437,1309.039538,None,1309.554872,None,1309.554872,None,n,0.4220521,1309.554872,None,0.4220521,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,151,0,151,0,,,,,,,,,,,,,,,,,,,,,,1312.808045,None,,,,,,,,,,,,,,,,,match,134,152,aloud,new,null,1310.512013,None,1310.512013,None,1,1.3290689,1310.512013,None,1.3290689,1311.859058,None,1312.374572,None,1312.374572,None,n,0.4102933,1312.374572,None,0.4102933,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,152,0,152,0,,,,,,,,,,,,,,,,,,,,,,1315.594327,None,,,,,,,,,,,,,,,,,second,31,153,aloud,old,blue,1313.320014,None,1313.320014,None,1,1.336992,1313.320014,None,1.336992,1314.677958,None,1315.181294,None,1315.181294,None,n,0.3876262,1315.181294,None,0.3876262,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,153,0,153,0,,,,,,,,,,,,,,,,,,,,,,1318.263607,None,,,,,,,,,,,,,,,,,finance,81,154,aloud,old,red,1316.112327,None,1316.112327,None,6,1.2806748,1316.112327,None,1.2806748,1317.418727,None,1317.933148,None,1317.933148,None,r,0.3157501,1317.933148,None,0.3157501,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,154,0,154,0,,,,,,,,,,,,,,,,,,,,,,1323.321272,None,,,,,,,,,,,,,,,,,ground,28,155,aloud,old,yellow,1318.764256,None,1318.764256,None,1,3.7805919,1318.764256,None,3.7805919,1322.568145,None,1323.069241,None,1323.069241,None,n,0.219756,1323.069241,None,0.219756,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,155,0,155,0,,,,,,,,,,,,,,,,,,,,,,1326.121536,None,,,,,,,,,,,,,,,,,health,22,156,aloud,old,yellow,1323.839082,None,1323.839082,None,1,1.609847,1323.839082,None,1.609847,1325.471517,None,1325.974791,None,1325.974791,None,n,0.1300814,1325.974791,None,0.1300814,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
