StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,369.9938380999956,None,pressure,65,36,aloud,red,367.9944469000038,None,None,,367.9944469000038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,372.5131682999927,None,present,66,37,aloud,red,370.4979897000012,None,None,,370.4979897000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,375.0153316999931,None,afternoon,29,38,aloud,blue,373.0156019999995,None,None,,373.0156019999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,377.5178600999934,None,taste,9,39,aloud,yellow,375.5182619999978,None,None,,375.5182619999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,380.02022969999234,None,budget,19,40,aloud,yellow,378.02013059999445,None,None,,378.02013059999445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,382.52306469999894,None,cross,44,41,aloud,blue,380.5227664999984,None,None,,380.5227664999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,385.0422988999926,None,swift,32,42,aloud,blue,383.0277657999977,None,None,,383.0277657999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,387.5446693999984,None,career,47,43,aloud,blue,385.5453959000006,None,None,,385.5453959000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,390.0473633999936,None,listen,68,44,aloud,red,388.04792460000317,None,None,,388.04792460000317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,392.56630320000113,None,quarter,73,45,aloud,red,390.55053999999654,None,None,,390.55053999999654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
