StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,218.2030035,None,people,23,15,silent,yellow,216.1961541,None,None,216.1961541,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,220.7054762,None,scene,41,16,silent,blue,218.7049557,None,None,218.7049557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,223.2081951,None,agency,22,17,silent,yellow,221.207723,None,None,221.207723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,225.7273953,None,report,37,18,silent,blue,223.7193299,None,None,223.7193299,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,228.2464389,None,native,9,19,silent,yellow,226.2408793,None,None,226.2408793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,230.7487911,None,route,86,20,silent,red,228.7466493,None,None,228.7466493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,233.251293,None,territory,63,21,silent,red,231.2491148,None,None,231.2491148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,235.7538359,None,country,76,22,silent,red,233.7529623,None,None,233.7529623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,238.2563538,None,frank,58,23,silent,blue,236.2556914,None,None,236.2556914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,240.7755131,None,position,38,24,silent,blue,238.7614085,None,None,238.7614085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,243.277713,None,rapid,81,25,silent,red,241.2759847,None,None,241.2759847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,245.780292,None,device,82,26,silent,red,243.7784287,None,None,243.7784287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,248.282982,None,little,5,27,silent,yellow,246.2809723,None,None,246.2809723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,250.8021287,None,majority,54,28,silent,blue,248.7912531,None,None,248.7912531,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,253.3047026,None,production,13,29,silent,yellow,251.3026352,None,None,251.3026352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
