StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,1823.4176017008722,None,,,,,,,,,,,,,,,,,,poetry,140,82,silent,new,null,1820.4431545007974,None,1820.4431545007974,None,1,1.2077887002378702,1820.4431545007974,None,1.2077887002378702,1821.683907800354,None,1822.1861949004233,None,1822.1861949004233,None,f,1.2086926000192761,1822.1861949004233,None,1.2086926000192761,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
,,,,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,1829.1898388005793,None,,,,,,,,,,,,,,,,,,accident,73,83,silent,old,red,1823.9274297002703,None,1823.9274297002703,None,1,3.7634237008169293,1823.9274297002703,None,3.7634237008169293,1827.7241947008297,None,1828.2435211008415,None,1828.2435211008415,None,f,0.9273610999807715,1828.2435211008415,None,0.9273610999807715,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
,,,,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,1832.27633990068,None,,,,,,,,,,,,,,,,,,column,102,84,silent,new,null,1829.699806900695,None,1829.699806900695,None,1,1.0871206000447273,1829.699806900695,None,1.0871206000447273,1830.8146956004202,None,1831.327769100666,None,1831.327769100666,None,f,0.9311760999262333,1831.327769100666,None,0.9311760999262333,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
,,,,84,0,84,0,,,,,,,,,,,,,,,,,,,,,,1836.080252200365,None,,,,,,,,,,,,,,,,,,military,113,85,silent,new,null,1832.7773581007496,None,1832.7773581007496,None,1,1.5855382001027465,1832.7773581007496,None,1.5855382001027465,1834.3817099006847,None,1834.8958584005013,None,1834.8958584005013,None,r,1.1630416000261903,1834.8958584005013,None,1.1630416000261903,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
,,,,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,1839.6739947004244,None,,,,,,,,,,,,,,,,,,government,162,86,silent,new,null,1836.590244400315,None,1836.590244400315,None,1,1.3726364998146892,1836.590244400315,None,1.3726364998146892,1837.9877925002947,None,1838.4993674000725,None,1838.4993674000725,None,f,1.1514174994081259,1838.4993674000725,None,1.1514174994081259,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
,,,,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,1843.404353200458,None,,,,,,,,,,,,,,,,,,appearance,20,87,silent,old,yellow,1840.1987774008885,None,1840.1987774008885,None,1,1.6360352002084255,1840.1987774008885,None,1.6360352002084255,1841.8524311007932,None,1842.354292000644,None,1842.354292000644,None,f,1.0327375996857882,1842.354292000644,None,1.0327375996857882,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
,,,,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,1846.8742320006713,None,,,,,,,,,,,,,,,,,,express,159,88,silent,new,null,1843.9086195006967,None,1843.9086195006967,None,1,1.1501523004844785,1843.9086195006967,None,1.1501523004844785,1845.0977483000606,None,1845.6116669001058,None,1845.6116669001058,None,r,1.2470533000305295,1845.6116669001058,None,1.2470533000305295,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
,,,,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,1850.5110624004155,None,,,,,,,,,,,,,,,,,,signal,42,89,silent,old,blue,1847.3777423007414,None,1847.3777423007414,None,1,1.7210325999185443,1847.3777423007414,None,1.7210325999185443,1849.1264040004462,None,1849.6271999003366,None,1849.6271999003366,None,f,0.8556754002347589,1849.6271999003366,None,0.8556754002347589,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
,,,,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,1853.7812220007181,None,,,,,,,,,,,,,,,,,,produce,70,90,silent,old,red,1851.021301300265,None,1851.021301300265,None,1,1.221578499302268,1851.021301300265,None,1.221578499302268,1852.2668264005333,None,1852.7804781002924,None,1852.7804781002924,None,f,0.9824023004621267,1852.7804781002924,None,0.9824023004621267,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
,,,,90,0,90,0,,,,,,,,,,,,,,,,,,,,,,1857.1846305001527,None,,,,,,,,,,,,,,,,,,engineer,21,91,silent,old,yellow,1854.290507000871,None,1854.290507000871,None,1,1.1283382000401616,1854.290507000871,None,1.1283382000401616,1855.4519776003435,None,1855.9666668009013,None,1855.9666668009013,None,r,1.188170500099659,1855.9666668009013,None,1.188170500099659,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
,,,,91,0,91,0,,,,,,,,,,,,,,,,,,,,,,1860.6567544005811,None,,,,,,,,,,,,,,,,,,hearing,114,92,silent,new,null,1857.6958070006222,None,1857.6958070006222,None,1,1.0912031000480056,1857.6958070006222,None,1.0912031000480056,1858.80404680036,None,1859.306160600856,None,1859.306160600856,None,r,1.3207298992201686,1859.306160600856,None,1.3207298992201686,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
