StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,2857.408768,None,,,,,,,,,,,,,,,,,minute,114,54,sing,new,null,2854.012301,None,2854.012301,None,5,1.6935113,2854.012301,None,1.6935113,2855.72529,None,2856.224379,None,2856.224379,None,f,1.1614473,2856.224379,None,1.1614473,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,2863.468213,None,,,,,,,,,,,,,,,,,accident,132,55,sing,new,null,2857.912314,None,2857.912314,None,5,3.1135386,2857.912314,None,3.1135386,2861.046615,None,2861.551974,None,2861.551974,None,f,1.8978805,2861.551974,None,1.8978805,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,2867.168645,None,,,,,,,,,,,,,,,,,blind,70,56,sing,old,red,2863.989409,None,2863.989409,None,5,1.6524248,2863.989409,None,1.6524248,2865.666988,None,2866.172112,None,2866.172112,None,f,0.9656216,2866.172112,None,0.9656216,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,2870.305019,None,,,,,,,,,,,,,,,,,interior,178,57,sing,new,null,2867.670453,None,2867.670453,None,5,1.5074753,2867.670453,None,1.5074753,2869.204306,None,2869.704546,None,2869.704546,None,f,0.5773987,2869.704546,None,0.5773987,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,2874.325651,None,,,,,,,,,,,,,,,,,judge,81,58,sing,old,red,2870.815438,None,2870.815438,None,5,1.7704174,2870.815438,None,1.7704174,2872.609038,None,2873.113264,None,2873.113264,None,f,1.1845268,2873.113264,None,1.1845268,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,2877.829173,None,,,,,,,,,,,,,,,,,brief,179,59,sing,new,null,2874.828516,None,2874.828516,None,5,1.3253254,2874.828516,None,1.3253254,2876.178687,None,2876.682782,None,2876.682782,None,f,1.1269597,2876.682782,None,1.1269597,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
,,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,2880.767846,None,,,,,,,,,,,,,,,,,carry,28,60,sing,old,yellow,2878.33938,None,2878.33938,None,5,1.2784975,2878.33938,None,1.2784975,2879.650365,None,2880.16682,None,2880.16682,None,f,0.5709723,2880.16682,None,0.5709723,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
,,,,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,2885.470979,None,,,,,,,,,,,,,,,,,distance,118,61,sing,new,null,2881.285474,None,2881.285474,None,5,2.6443639,2881.285474,None,2.6443639,2883.954941,None,2884.479303,None,2884.479303,None,f,0.9705545,2884.479303,None,0.9705545,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
,,,,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,2889.29078,None,,,,,,,,,,,,,,,,,birth,145,62,sing,new,null,2885.979031,None,2885.979031,None,5,1.3907729,2885.979031,None,1.3907729,2887.390468,None,2887.896392,None,2887.896392,None,r,1.3694215,2887.896392,None,1.3694215,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
,,,,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,2893.261233,None,,,,,,,,,,,,,,,,,sunset,6,63,sing,old,yellow,2889.799981,None,2889.799981,None,5,1.793863,2889.799981,None,1.793863,2891.613267,None,2892.129762,None,2892.129762,None,f,1.1040312,2892.129762,None,1.1040312,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
