StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,74,0,74,0,,,,,,,,,,,,,,,,,,,,,,1380.776085899999,None,,,,,,,,,,,,,,,,,,present,170,75,aloud,new,null,1377.907727599999,None,1377.907727599999,None,6,1.9893054000003758,1377.907727599999,None,1.9893054000003758,1379.9297511000004,None,1380.4407873,None,1380.4407873,None,r,0.3043264000007184,1380.4407873,None,0.3043264000007184,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
,,,,75,0,75,0,,,,,,,,,,,,,,,,,,,,,,1387.5321132999998,None,,,,,,,,,,,,,,,,,,month,99,76,aloud,new,null,1381.2923303999996,None,1381.2923303999996,None,1,5.428746800000226,1381.2923303999996,None,5.428746800000226,1386.7495538999992,None,1387.2640833999994,None,1387.2640833999994,None,n,0.24088010000014037,1387.2640833999994,None,0.24088010000014037,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
,,,,76,0,76,0,,,,,,,,,,,,,,,,,,,,,,1390.6844490999993,None,,,,,,,,,,,,,,,,,,thing,46,77,aloud,old,blue,1388.0367963999997,None,1388.0367963999997,None,6,1.5965267999999924,1388.0367963999997,None,1.5965267999999924,1389.6511357,None,1390.1514258999996,None,1390.1514258999996,None,r,0.5055644000003667,1390.1514258999996,None,0.5055644000003667,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
,,,,77,0,77,0,,,,,,,,,,,,,,,,,,,,,,1400.2284670999998,None,,,,,,,,,,,,,,,,,,dream,21,78,aloud,old,yellow,1391.1901094999994,None,1391.1901094999994,None,3,8.210970899999666,1391.1901094999994,None,8.210970899999666,1399.428964499999,None,1399.9447342999993,None,1399.9447342999993,None,f,0.2563039000015124,1399.9447342999993,None,0.2563039000015124,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
,,,,78,0,78,0,,,,,,,,,,,,,,,,,,,,,,1404.048745099999,None,,,,,,,,,,,,,,,,,,commercial,106,79,aloud,new,null,1400.746316499999,None,1400.746316499999,None,6,2.5428164999993896,1400.746316499999,None,2.5428164999993896,1403.3176982000005,None,1403.8306923,None,1403.8306923,None,r,0.18642069999987143,1403.8306923,None,0.18642069999987143,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
,,,,79,0,79,0,,,,,,,,,,,,,,,,,,,,,,1407.3685972999992,None,,,,,,,,,,,,,,,,,,generation,119,80,aloud,new,null,1404.5507335999991,None,1404.5507335999991,None,1,2.0103462000006402,1404.5507335999991,None,2.0103462000006402,1406.5867932,None,1407.100978999999,None,1407.100978999999,None,n,0.23609530000067025,1407.100978999999,None,0.23609530000067025,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
,,,,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,1412.1402734000003,None,,,,,,,,,,,,,,,,,,measure,7,81,aloud,old,yellow,1407.8867723999992,None,1407.8867723999992,None,6,3.474369800000204,1407.8867723999992,None,3.474369800000204,1411.3904705000004,None,1411.9049083999998,None,1411.9049083999998,None,r,0.20814489999975194,1411.9049083999998,None,0.20814489999975194,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
,,,,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,1415.7628439,None,,,,,,,,,,,,,,,,,,broad,134,82,aloud,new,null,1412.6582719999988,None,1412.6582719999988,None,5,2.398922799999127,1412.6582719999988,None,2.398922799999127,1415.079765299999,None,1415.6018676999993,None,1415.6018676999993,None,r,0.13526810000075784,1415.6018676999993,None,0.13526810000075784,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
,,,,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,1421.867516799999,None,,,,,,,,,,,,,,,,,,clean,9,83,aloud,old,yellow,1416.2819435000001,None,1416.2819435000001,None,6,4.743135200000324,1416.2819435000001,None,4.743135200000324,1421.0502306999988,None,1421.5646070999992,None,1421.5646070999992,None,r,0.2764917999993486,1421.5646070999992,None,0.2764917999993486,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
,,,,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,1424.9698592999994,None,,,,,,,,,,,,,,,,,,comfort,86,84,aloud,old,red,1422.3845459999993,None,1422.3845459999993,None,6,1.8005334999998013,1422.3845459999993,None,1.8005334999998013,1424.2031219,None,1424.7187252000003,None,1424.7187252000003,None,r,0.2263758000008238,1424.7187252000003,None,0.2263758000008238,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
