StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,96,0,96,0,,,,,,,,,,,,,,,,,,,,,,1574.983988,None,,,,,,,,,,,,,,,,,corner,42,97,sing,old,blue,1571.949689,None,1571.949689,None,6,1.7944091,1571.949689,None,1.7944091,1573.770281,None,1574.282822,None,1574.282822,None,r,0.6852618,1574.282822,None,0.6852618,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
,,,,97,0,97,0,,,,,,,,,,,,,,,,,,,,,,1578.221195,None,,,,,,,,,,,,,,,,,notice,144,98,sing,new,null,1575.497859,None,1575.497859,None,5,1.8222661,1575.497859,None,1.8222661,1577.340733,None,1577.852758,None,1577.852758,None,r,0.3476098,1577.852758,None,0.3476098,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
,,,,98,0,98,0,,,,,,,,,,,,,,,,,,,,,,1582.225049,None,,,,,,,,,,,,,,,,,answer,138,99,sing,new,null,1578.731254,None,1578.731254,None,4,2.6287231,1578.731254,None,2.6287231,1581.391617,None,1581.90657,None,1581.90657,None,r,0.2935174,1581.90657,None,0.2935174,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
,,,,99,0,99,0,,,,,,,,,,,,,,,,,,,,,,1587.028958,None,,,,,,,,,,,,,,,,,equipment,143,100,sing,new,null,1582.730423,None,1582.730423,None,5,3.4375899,1582.730423,None,3.4375899,1586.196887,None,1586.711947,None,1586.711947,None,r,0.2881622,1586.711947,None,0.2881622,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,1589.61202,None,,,,,,,,,,,,,,,,,accident,123,101,sing,new,null,1587.53157,None,1587.53157,None,5,1.2044171,1587.53157,None,1.2044171,1588.765213,None,1589.280762,None,1589.280762,None,r,0.2953303,1589.280762,None,0.2953303,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
,,,,101,0,101,0,,,,,,,,,,,,,,,,,,,,,,1592.468891,None,,,,,,,,,,,,,,,,,judge,37,102,sing,old,blue,1590.116671,None,1590.116671,None,5,1.2353104,1590.116671,None,1.2353104,1591.390026,None,1591.900642,None,1591.900642,None,r,0.5394033,1591.900642,None,0.5394033,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
,,,,102,0,102,0,,,,,,,,,,,,,,,,,,,,,,1595.8544,None,,,,,,,,,,,,,,,,,guide,77,103,sing,old,red,1592.970022,None,1592.970022,None,5,1.9580584,1592.970022,None,1.9580584,1594.954508,None,1595.470497,None,1595.470497,None,r,0.3535779,1595.470497,None,0.3535779,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
,,,,103,0,103,0,,,,,,,,,,,,,,,,,,,,,,1600.458843,None,,,,,,,,,,,,,,,,,alert,20,104,sing,old,yellow,1596.356528,None,1596.356528,None,3,2.8115544,1596.356528,None,2.8115544,1599.192595,None,1599.707849,None,1599.707849,None,f,0.7241668,1599.707849,None,0.7241668,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
,,,,104,0,104,0,,,,,,,,,,,,,,,,,,,,,,1604.279846,None,,,,,,,,,,,,,,,,,raise,169,105,sing,new,null,1600.962793,None,1600.962793,None,1,2.2052576,1600.962793,None,2.2052576,1603.19641,None,1603.712486,None,1603.712486,None,n,0.5515671,1603.712486,None,0.5515671,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
,,,,105,0,105,0,,,,,,,,,,,,,,,,,,,,,,1608.233751,None,,,,,,,,,,,,,,,,,account,71,106,sing,old,red,1604.789743,None,1604.789743,None,2,1.8904371,1604.789743,None,1.8904371,1606.69973,None,1607.198454,None,1607.198454,None,n,1.0096497,1607.198454,None,1.0096497,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
