StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,2357.139805,None,,,,,,,,,,,,,,,,,,harmony,25,52,silent,old,yellow,2352.61879,None,2352.61879,None,4,3.1046848,2352.61879,None,3.1046848,2355.741506,None,2356.256706,None,2356.256706,None,r,0.866737,2356.256706,None,0.866737,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,2360.393984,None,,,,,,,,,,,,,,,,,,junior,48,53,silent,old,blue,2357.644931,None,2357.644931,None,1,1.7425273,2357.644931,None,1.7425273,2359.409991,None,2359.909422,None,2359.909422,None,n,0.4540739,2359.909422,None,0.4540739,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,2365.648355,None,,,,,,,,,,,,,,,,,,guide,42,54,silent,old,blue,2360.893734,None,2360.893734,None,5,3.4697388,2360.893734,None,3.4697388,2364.385286,None,2364.899129,None,2364.899129,None,r,0.7203224,2364.899129,None,0.7203224,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,2371.354078,None,,,,,,,,,,,,,,,,,,empty,12,55,silent,old,yellow,2366.154909,None,2366.154909,None,3,4.08068,2366.154909,None,4.08068,2370.253504,None,2370.753508,None,2370.753508,None,f,0.5780553,2370.753508,None,0.5780553,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,2375.090907,None,,,,,,,,,,,,,,,,,,smell,86,56,silent,old,red,2371.857792,None,2371.857792,None,5,2.4416288,2371.857792,None,2.4416288,2374.324345,None,2374.824177,None,2374.824177,None,r,0.243218,2374.824177,None,0.243218,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,2378.07735,None,,,,,,,,,,,,,,,,,,science,3,57,silent,old,yellow,2375.602126,None,2375.602126,None,6,1.7853094,2375.602126,None,1.7853094,2377.41039,None,2377.910609,None,2377.910609,None,r,0.1487726,2377.910609,None,0.1487726,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,2380.846844,None,,,,,,,,,,,,,,,,,,period,55,58,silent,old,blue,2378.59024,None,2378.59024,None,6,1.5971633,2378.59024,None,1.5971633,2380.213908,None,2380.71349,None,2380.71349,None,r,0.105896,2380.71349,None,0.105896,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,2385.084799,None,,,,,,,,,,,,,,,,,,captain,116,59,silent,new,null,2381.360829,None,2381.360829,None,2,2.090708,2381.360829,None,2.090708,2383.488633,None,2384.002462,None,2384.002462,None,f,1.0650013,2384.002462,None,1.0650013,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,2389.672044,None,,,,,,,,,,,,,,,,,,build,64,60,silent,old,red,2385.595479,None,2385.595479,None,2,1.9280827,2385.595479,None,1.9280827,2387.553272,None,2388.05405,None,2388.05405,None,n,1.5894516,2388.05405,None,1.5894516,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,2393.837394,None,,,,,,,,,,,,,,,,,,solution,155,61,silent,new,null,2390.187227,None,2390.187227,None,5,2.6561668,2390.187227,None,2.6561668,2392.860761,None,2393.37613,None,2393.37613,None,r,0.4352789,2393.37613,None,0.4352789,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,2397.212907,None,,,,,,,,,,,,,,,,,,citizen,101,62,silent,new,null,2394.363573,None,2394.363573,None,1,1.5358698,2394.363573,None,1.5358698,2395.929506,None,2396.436652,None,2396.436652,None,n,0.7588065,2396.436652,None,0.7588065,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,2401.183695,None,,,,,,,,,,,,,,,,,,device,68,63,silent,old,red,2397.717006,None,2397.717006,None,2,2.5664368,2397.717006,None,2.5664368,2400.300561,None,2400.804266,None,2400.804266,None,n,0.3511421,2400.804266,None,0.3511421,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,2407.840446,None,,,,,,,,,,,,,,,,,,equipment,104,64,silent,new,null,2401.697046,None,2401.697046,None,3,4.5064675,2401.697046,None,4.5064675,2406.233134,None,2406.739402,None,2406.739402,None,n,1.072109,2406.739402,None,1.072109,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,2411.110284,None,,,,,,,,,,,,,,,,,,crowd,138,65,silent,new,null,2408.342883,None,2408.342883,None,1,1.8604866,2408.342883,None,1.8604866,2410.227039,None,2410.731244,None,2410.731244,None,n,0.3601275,2410.731244,None,0.3601275,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,2416.38228,None,,,,,,,,,,,,,,,,,,primary,134,66,silent,new,null,2411.620865,None,2411.620865,None,5,3.5904834,2411.620865,None,3.5904834,2415.232104,None,2415.73143,None,2415.73143,None,r,0.623839,2415.73143,None,0.623839,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,2419.335192,None,,,,,,,,,,,,,,,,,,dozen,117,67,silent,new,null,2416.884311,None,2416.884311,None,1,1.6470475,2416.884311,None,1.6470475,2418.552301,None,2419.056172,None,2419.056172,None,n,0.2513263,2419.056172,None,0.2513263,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,67,0,67,0,,,,,,,,,,,,,,,,,,,,,,2422.354846,None,,,,,,,,,,,,,,,,,,hearing,114,68,silent,new,null,2419.843648,None,2419.843648,None,2,1.5917227,2419.843648,None,1.5917227,2421.454829,None,2421.957763,None,2421.957763,None,n,0.3735763,2421.957763,None,0.3735763,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,68,0,68,0,,,,,,,,,,,,,,,,,,,,,,2426.492344,None,,,,,,,,,,,,,,,,,,income,139,69,silent,new,null,2422.864541,None,2422.864541,None,2,2.5148573,2422.864541,None,2.5148573,2425.407883,None,2425.908579,None,2425.908579,None,n,0.5587918,2425.908579,None,0.5587918,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,69,0,69,0,,,,,,,,,,,,,,,,,,,,,,2429.830706,None,,,,,,,,,,,,,,,,,,growth,41,70,silent,old,blue,2426.995631,None,2426.995631,None,6,2.0077028,2426.995631,None,2.0077028,2429.032897,None,2429.549219,None,2429.549219,None,r,0.2622269,2429.549219,None,0.2622269,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,70,0,70,0,,,,,,,,,,,,,,,,,,,,,,2432.982112,None,,,,,,,,,,,,,,,,,,beginning,160,71,silent,new,null,2430.35007,None,2430.35007,None,2,1.7012734,2430.35007,None,1.7012734,2432.084092,None,2432.598466,None,2432.598466,None,f,0.3568716,2432.598466,None,0.3568716,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,71,0,71,0,,,,,,,,,,,,,,,,,,,,,,2436.669219,None,,,,,,,,,,,,,,,,,,break,174,72,silent,new,null,2433.48631,None,2433.48631,None,6,2.0450143,2433.48631,None,2.0450143,2435.552604,None,2436.055794,None,2436.055794,None,r,0.5875596,2436.055794,None,0.5875596,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,72,0,72,0,,,,,,,,,,,,,,,,,,,,,,2439.43957,None,,,,,,,,,,,,,,,,,,graduate,16,73,silent,old,yellow,2437.176746,None,2437.176746,None,6,1.594717,2437.176746,None,1.594717,2438.794721,None,2439.305276,None,2439.305276,None,r,0.1061107,2439.305276,None,0.1061107,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,73,0,73,0,,,,,,,,,,,,,,,,,,,,,,2442.258031,None,,,,,,,,,,,,,,,,,,platform,9,74,silent,old,yellow,2439.95527,None,2439.95527,None,5,1.6799618,2439.95527,None,1.6799618,2441.667731,None,2442.174718,None,2442.174718,None,r,0.052594,2442.174718,None,0.052594,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,74,0,74,0,,,,,,,,,,,,,,,,,,,,,,2444.827271,None,,,,,,,,,,,,,,,,,,crisis,85,75,silent,old,red,2442.771433,None,2442.771433,None,6,1.3597626,2442.771433,None,1.3597626,2444.161344,None,2444.666393,None,2444.666393,None,r,0.1450186,2444.666393,None,0.1450186,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,75,0,75,0,,,,,,,,,,,,,,,,,,,,,,2448.91454,None,,,,,,,,,,,,,,,,,,block,173,76,silent,new,null,2445.329467,None,2445.329467,None,3,3.0258468,2445.329467,None,3.0258468,2448.380841,None,2448.881272,None,2448.881272,None,f,0.0179359,2448.881272,None,0.0179359,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,76,0,76,0,,,,,,,,,,,,,,,,,,,,,,2451.817578,None,,,,,,,,,,,,,,,,,,defeat,40,77,silent,old,blue,2449.425564,None,2449.425564,None,6,1.7216966,2449.425564,None,1.7216966,2451.168178,None,2451.667523,None,2451.667523,None,r,0.127774,2451.667523,None,0.127774,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,77,0,77,0,,,,,,,,,,,,,,,,,,,,,,2455.971697,None,,,,,,,,,,,,,,,,,,carry,49,78,silent,old,blue,2452.325924,None,2452.325924,None,2,2.0694365,2452.325924,None,2.0694365,2454.420187,None,2454.920786,None,2454.920786,None,f,1.0345385,2454.920786,None,1.0345385,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,78,0,78,0,,,,,,,,,,,,,,,,,,,,,,2460.492945,None,,,,,,,,,,,,,,,,,,breath,51,79,silent,old,blue,2456.478372,None,2456.478372,None,5,3.4609013,2456.478372,None,3.4609013,2459.958798,None,2460.461995,None,2460.461995,None,r,0.0132437,2460.461995,None,0.0132437,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,79,0,79,0,,,,,,,,,,,,,,,,,,,,,,2463.762808,None,,,,,,,,,,,,,,,,,,blind,28,80,silent,old,yellow,2461.000781,None,2461.000781,None,1,1.4504491,2461.000781,None,1.4504491,2462.47883,None,2462.986575,None,2462.986575,None,n,0.7606639,2462.986575,None,0.7606639,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,2466.782471,None,,,,,,,,,,,,,,,,,,comedy,81,81,silent,old,red,2464.270911,None,2464.270911,None,6,1.932398,2464.270911,None,1.932398,2466.232227,None,2466.732554,None,2466.732554,None,r,0.0226528,2466.732554,None,0.0226528,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,2470.404693,None,,,,,,,,,,,,,,,,,,skill,18,82,silent,old,yellow,2467.291105,None,2467.291105,None,6,2.2801382,2467.291105,None,2.2801382,2469.605101,None,2470.124734,None,2470.124734,None,r,0.254589,2470.124734,None,0.254589,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,2473.656106,None,,,,,,,,,,,,,,,,,,motion,169,83,silent,new,null,2470.923598,None,2470.923598,None,1,1.6556763,2470.923598,None,1.6556763,2472.604749,None,2473.109467,None,2473.109467,None,n,0.5178753,2473.109467,None,0.5178753,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,2477.993739,None,,,,,,,,,,,,,,,,,,right,26,84,silent,old,yellow,2474.162235,None,2474.162235,None,2,2.8729942,2474.162235,None,2.8729942,2477.06115,None,2477.57647,None,2477.57647,None,n,0.3867638,2477.57647,None,0.3867638,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,84,0,84,0,,,,,,,,,,,,,,,,,,,,,,2482.398168,None,,,,,,,,,,,,,,,,,,discussion,37,85,silent,old,blue,2478.506757,None,2478.506757,None,5,2.5525977,2478.506757,None,2.5525977,2481.089397,None,2481.59875,None,2481.59875,None,r,0.7805347,2481.59875,None,0.7805347,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,2488.053687,None,,,,,,,,,,,,,,,,,,opening,38,86,silent,old,blue,2482.912143,None,2482.912143,None,2,3.3791424,2482.912143,None,3.3791424,2486.32554,None,2486.835932,None,2486.835932,None,f,1.191351,2486.835932,None,1.191351,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,2491.574265,None,,,,,,,,,,,,,,,,,,nation,58,87,silent,old,blue,2488.558399,None,2488.558399,None,5,2.1248501,2488.558399,None,2.1248501,2490.706151,None,2491.20923,None,2491.20923,None,r,0.3380149,2491.20923,None,0.3380149,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,2494.359966,None,,,,,,,,,,,,,,,,,,series,132,88,silent,new,null,2492.086361,None,2492.086361,None,1,1.6369416,2492.086361,None,1.6369416,2493.74992,None,2494.260013,None,2494.260013,None,n,0.0712343,2494.260013,None,0.0712343,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,2497.012636,None,,,,,,,,,,,,,,,,,,dance,122,89,silent,new,null,2494.860881,None,2494.860881,None,1,1.3983351,2494.860881,None,1.3983351,2496.281385,None,2496.797237,None,2496.797237,None,n,0.1901084,2496.797237,None,0.1901084,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,2501.450327,None,,,,,,,,,,,,,,,,,,rapid,145,90,silent,new,null,2497.525819,None,2497.525819,None,6,3.2216699,2497.525819,None,3.2216699,2500.771327,None,2501.286605,None,2501.286605,None,n,0.1325541,2501.286605,None,0.1325541,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,90,0,90,0,,,,,,,,,,,,,,,,,,,,,,2508.023617,None,,,,,,,,,,,,,,,,,,generation,67,91,silent,old,red,2501.954492,None,2501.954492,None,2,5.1527215,2501.954492,None,5.1527215,2507.123713,None,2507.626959,None,2507.626959,None,n,0.3682565,2507.626959,None,0.3682565,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,91,0,91,0,,,,,,,,,,,,,,,,,,,,,,2510.893006,None,,,,,,,,,,,,,,,,,,voice,35,92,silent,old,blue,2508.528675,None,2508.528675,None,1,1.6745177,2508.528675,None,1.6745177,2510.227907,None,2510.742992,None,2510.742992,None,n,0.1321198,2510.742992,None,0.1321198,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,92,0,92,0,,,,,,,,,,,,,,,,,,,,,,2513.762438,None,,,,,,,,,,,,,,,,,,running,159,93,silent,new,null,2511.402352,None,2511.402352,None,1,1.5927858,2511.402352,None,1.5927858,2513.01261,None,2513.512544,None,2513.512544,None,n,0.2266468,2513.512544,None,0.2266468,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,93,0,93,0,,,,,,,,,,,,,,,,,,,,,,2518.734313,None,,,,,,,,,,,,,,,,,,little,87,94,silent,old,red,2514.268461,None,2514.268461,None,6,3.8706953,2514.268461,None,3.8706953,2518.167109,None,2518.667475,None,2518.667475,None,r,0.0396638,2518.667475,None,0.0396638,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,94,0,94,0,,,,,,,,,,,,,,,,,,,,,,2522.070962,None,,,,,,,,,,,,,,,,,,discovery,148,95,silent,new,null,2519.234854,None,2519.234854,None,2,2.1123141,2519.234854,None,2.1123141,2521.372737,None,2521.894929,None,2521.894929,None,f,0.1482128,2521.894929,None,0.1482128,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,95,0,95,0,,,,,,,,,,,,,,,,,,,,,,2526.642164,None,,,,,,,,,,,,,,,,,,grade,72,96,silent,old,red,2522.577947,None,2522.577947,None,3,3.4972439,2522.577947,None,3.4972439,2526.091722,None,2526.594568,None,2526.594568,None,f,0.0246287,2526.594568,None,0.0246287,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,96,0,96,0,,,,,,,,,,,,,,,,,,,,,,2530.798073,None,,,,,,,,,,,,,,,,,,novel,96,97,silent,new,null,2527.146033,None,2527.146033,None,2,2.6411255,2527.146033,None,2.6411255,2529.811976,None,2530.318945,None,2530.318945,None,n,0.4522952,2530.318945,None,0.4522952,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,97,0,97,0,,,,,,,,,,,,,,,,,,,,,,2537.558453,None,,,,,,,,,,,,,,,,,,light,6,98,silent,old,yellow,2531.317478,None,2531.317478,None,5,5.3176924,2531.317478,None,5.3176924,2536.656812,None,2537.169456,None,2537.169456,None,r,0.3538386,2537.169456,None,0.3538386,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,98,0,98,0,,,,,,,,,,,,,,,,,,,,,,2541.290144,None,,,,,,,,,,,,,,,,,,point,84,99,silent,old,red,2538.071446,None,2538.071446,None,2,1.7717855,2538.071446,None,1.7717855,2539.87191,None,2540.378982,None,2540.378982,None,f,0.8802255,2540.378982,None,0.8802255,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,99,0,99,0,,,,,,,,,,,,,,,,,,,,,,2544.076246,None,,,,,,,,,,,,,,,,,,benefit,168,100,silent,new,null,2541.793752,None,2541.793752,None,1,1.5133528,2541.793752,None,1.5133528,2543.327363,None,2543.842785,None,2543.842785,None,n,0.208405,2543.842785,None,0.208405,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,2552.06755,None,,,,,,,,,,,,,,,,,,patient,176,101,silent,new,null,2544.588046,None,2544.588046,None,4,6.7270541,2544.588046,None,6.7270541,2551.334564,None,2551.834152,None,2551.834152,None,f,0.2090024,2551.834152,None,0.2090024,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,101,0,101,0,,,,,,,,,,,,,,,,,,,,,,2558.674107,None,,,,,,,,,,,,,,,,,,direction,156,102,silent,new,null,2552.575183,None,2552.575183,None,5,5.3479165,2552.575183,None,5.3479165,2557.940816,None,2558.44067,None,2558.44067,None,r,0.2184854,2558.44067,None,0.2184854,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,102,0,102,0,,,,,,,,,,,,,,,,,,,,,,2563.095209,None,,,,,,,,,,,,,,,,,,union,15,103,silent,old,yellow,2559.174752,None,2559.174752,None,1,3.0363373,2559.174752,None,3.0363373,2562.233455,None,2562.747578,None,2562.747578,None,n,0.327553,2562.747578,None,0.327553,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,103,0,103,0,,,,,,,,,,,,,,,,,,,,,,2569.534975,None,,,,,,,,,,,,,,,,,,taste,47,104,silent,old,blue,2563.606284,None,2563.606284,None,5,4.7890175,2563.606284,None,4.7890175,2568.423767,None,2568.934414,None,2568.934414,None,r,0.580642,2568.934414,None,0.580642,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,104,0,104,0,,,,,,,,,,,,,,,,,,,,,,2573.905999,None,,,,,,,,,,,,,,,,,,error,82,105,silent,old,red,2570.042468,None,2570.042468,None,6,3.2726013,2570.042468,None,3.2726013,2573.338569,None,2573.839268,None,2573.839268,None,r,0.0357485,2573.839268,None,0.0357485,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,105,0,105,0,,,,,,,,,,,,,,,,,,,,,,2578.009768,None,,,,,,,,,,,,,,,,,,problem,70,106,silent,old,red,2574.409471,None,2574.409471,None,6,2.7456406,2574.409471,None,2.7456406,2577.17718,None,2577.676523,None,2577.676523,None,r,0.3105585,2577.676523,None,0.3105585,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,106,0,106,0,,,,,,,,,,,,,,,,,,,,,,2580.99627,None,,,,,,,,,,,,,,,,,,tough,0,107,silent,old,yellow,2578.51706,None,2578.51706,None,3,1.8859656,2578.51706,None,1.8859656,2580.43014,None,2580.929834,None,2580.929834,None,f,0.0413047,2580.929834,None,0.0413047,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,107,0,107,0,,,,,,,,,,,,,,,,,,,,,,2584.33308,None,,,,,,,,,,,,,,,,,,charter,80,108,silent,old,red,2581.497326,None,2581.497326,None,1,1.3297379,2581.497326,None,1.3297379,2582.848036,None,2583.348866,None,2583.348866,None,n,0.9661913,2583.348866,None,0.9661913,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,108,0,108,0,,,,,,,,,,,,,,,,,,,,,,2587.402759,None,,,,,,,,,,,,,,,,,,atmosphere,137,109,silent,new,null,2584.837939,None,2584.837939,None,1,1.3091188,2584.837939,None,1.3091188,2586.170329,None,2586.688239,None,2586.688239,None,n,0.6910576,2586.688239,None,0.6910576,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,109,0,109,0,,,,,,,,,,,,,,,,,,,,,,2590.555938,None,,,,,,,,,,,,,,,,,,industry,111,110,silent,new,null,2587.91087,None,2587.91087,None,2,1.5161064,2587.91087,None,1.5161064,2589.455813,None,2589.966053,None,2589.966053,None,f,0.572933,2589.966053,None,0.572933,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,110,0,110,0,,,,,,,,,,,,,,,,,,,,,,2593.976679,None,,,,,,,,,,,,,,,,,,reach,126,111,silent,new,null,2591.064577,None,2591.064577,None,3,1.818385,2591.064577,None,1.818385,2592.908574,None,2593.415028,None,2593.415028,None,f,0.5322274,2593.415028,None,0.5322274,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,111,0,111,0,,,,,,,,,,,,,,,,,,,,,,2599.097782,None,,,,,,,,,,,,,,,,,,alert,172,112,silent,new,null,2594.477908,None,2594.477908,None,1,3.8851743,2594.477908,None,3.8851743,2598.383418,None,2598.900322,None,2598.900322,None,n,0.1667069,2598.900322,None,0.1667069,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,112,0,112,0,,,,,,,,,,,,,,,,,,,,,,2602.551646,None,,,,,,,,,,,,,,,,,,gesture,61,113,silent,old,red,2599.600266,None,2599.600266,None,5,2.3148292,2599.600266,None,2.3148292,2601.934884,None,2602.438152,None,2602.438152,None,r,0.0928848,2602.438152,None,0.0928848,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,113,0,113,0,,,,,,,,,,,,,,,,,,,,,,2607.539522,None,,,,,,,,,,,,,,,,,,fellow,11,114,silent,old,yellow,2603.065407,None,2603.065407,None,2,2.3937294,2603.065407,None,2.3937294,2605.493016,None,2606.00477,None,2606.00477,None,n,1.5102585,2606.00477,None,1.5102585,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,114,0,114,0,,,,,,,,,,,,,,,,,,,,,,2612.377716,None,,,,,,,,,,,,,,,,,,length,74,115,silent,old,red,2608.046154,None,2608.046154,None,5,2.4528072,2608.046154,None,2.4528072,2610.525977,None,2611.029239,None,2611.029239,None,r,1.3178029,2611.029239,None,1.3178029,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
