StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,2220.221702,None,,,,,,,,,,,,,,,,,,conference,22,21,silent,old,yellow,2216.893615,None,2216.893615,None,5,2.3583216,2216.893615,None,2.3583216,2219.277602,None,2219.790377,None,2219.790377,None,r,0.4134175,2219.790377,None,0.4134175,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,2223.606631,None,,,,,,,,,,,,,,,,,,bitter,93,22,silent,new,null,2220.739761,None,2220.739761,None,1,1.8159069,2220.739761,None,1.8159069,2222.572199,None,2223.076457,None,2223.076457,None,n,0.5032197,2223.076457,None,0.5032197,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,2228.511597,None,,,,,,,,,,,,,,,,,,measure,66,23,silent,old,red,2224.116192,None,2224.116192,None,5,3.0875599,2224.116192,None,3.0875599,2227.234064,None,2227.744222,None,2227.744222,None,r,0.7394834,2227.744222,None,0.7394834,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,2233.066145,None,,,,,,,,,,,,,,,,,,bucket,136,24,silent,new,null,2229.020292,None,2229.020292,None,1,2.0873775,2229.020292,None,2.0873775,2231.132069,None,2231.632339,None,2231.632339,None,n,1.403338,2231.632339,None,1.403338,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,2238.34202,None,,,,,,,,,,,,,,,,,,public,46,25,silent,old,blue,2233.571998,None,2233.571998,None,6,3.3277539,2233.571998,None,3.3277539,2236.927339,None,2237.440508,None,2237.440508,None,r,0.8754072,2237.440508,None,0.8754072,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,2241.658205,None,,,,,,,,,,,,,,,,,,orchestra,8,26,silent,old,yellow,2238.87111,None,2238.87111,None,6,2.0366404,2238.87111,None,2.0366404,2240.931941,None,2241.445346,None,2241.445346,None,r,0.1824607,2241.445346,None,0.1824607,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,2245.995616,None,,,,,,,,,,,,,,,,,,division,129,27,silent,new,null,2242.16711,None,2242.16711,None,2,2.1324945,2242.16711,None,2.1324945,2244.329167,None,2244.856057,None,2244.856057,None,n,1.1155739,2244.856057,None,1.1155739,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,2254.170465,None,,,,,,,,,,,,,,,,,,surface,170,28,silent,new,null,2246.506828,None,2246.506828,None,4,6.312697,2246.506828,None,6.312697,2252.840428,None,2253.353121,None,2253.353121,None,f,0.7945197,2253.353121,None,0.7945197,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,2258.374641,None,,,,,,,,,,,,,,,,,,broke,54,29,silent,old,blue,2254.671117,None,2254.671117,None,6,2.2445289,2254.671117,None,2.2445289,2256.943215,None,2257.460416,None,2257.460416,None,r,0.8952931,2257.460416,None,0.8952931,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,2262.028302,None,,,,,,,,,,,,,,,,,,angle,99,30,silent,new,null,2258.881657,None,2258.881657,None,1,1.721952,2258.881657,None,1.721952,2260.627834,None,2261.127273,None,2261.127273,None,r,0.8843363,2261.127273,None,0.8843363,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
