StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,580.1543971,None,committee,38,15,silent,blue,578.1437041,None,None,578.1437041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,582.673564,None,subject,19,16,silent,yellow,580.6691957,None,None,580.6691957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,585.1928036,None,voice,13,17,silent,yellow,583.1851165,None,None,583.1851165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,587.7115705,None,music,31,18,silent,blue,585.702393,None,None,585.702393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,590.2140942,None,individual,78,19,silent,red,588.2122069,None,None,588.2122069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,592.7169529,None,threat,64,20,silent,red,590.7145946,None,None,590.7145946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,595.2357814,None,audience,86,21,silent,red,593.2257768,None,None,593.2257768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,597.7553298,None,brilliant,34,22,silent,blue,595.7447556,None,None,595.7447556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,600.2744471,None,pancakes,89,23,silent,red,598.2665569,None,None,598.2665569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,602.7936877,None,question,61,24,silent,red,600.7923235,None,None,600.7923235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,605.3128806,None,captain,56,25,silent,blue,603.3038439,None,None,603.3038439,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,607.8320068,None,state,42,26,silent,blue,605.8217542,None,None,605.8217542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,610.3510671,None,equipment,52,27,silent,blue,608.343339,None,None,608.343339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,612.8704159,None,problem,51,28,silent,blue,610.8610776,None,None,610.8610776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,615.3895799,None,series,49,29,silent,blue,613.3789263,None,None,613.3789263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,617.9084753,None,entrance,39,30,silent,blue,615.8972473,None,None,615.8972473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
