StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,128,0,128,0,,,,,,,,,,,,,,,,,,,,,,1373.750488,None,,,,,,,,,,,,,,,,,weight,33,129,aloud,old,blue,1369.25295,None,1369.25295,None,6,2.986616,1369.25295,None,2.986616,1372.265511,None,1372.770939,None,1372.770939,None,r,0.9486029,1372.770939,None,0.9486029,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,129,0,129,0,,,,,,,,,,,,,,,,,,,,,,1377.437631,None,,,,,,,,,,,,,,,,,country,0,130,aloud,old,yellow,1374.251895,None,1374.251895,None,6,1.5637674,1374.251895,None,1.5637674,1375.83593,None,1376.341477,None,1376.341477,None,r,1.074144401,1376.341477,None,1.074144401,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,130,0,130,0,,,,,,,,,,,,,,,,,,,,,,1383.927553,None,,,,,,,,,,,,,,,,,beauty,60,131,aloud,old,red,1377.941457,None,1377.941457,None,6,4.0421792,1377.941457,None,4.0421792,1382.011775,None,1382.531135,None,1382.531135,None,r,1.3723767,1382.531135,None,1.3723767,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,131,0,131,0,,,,,,,,,,,,,,,,,,,,,,1394.0707,None,,,,,,,,,,,,,,,,,community,171,132,aloud,new,null,1384.439949,None,1384.439949,None,4,8.4635592,1384.439949,None,8.4635592,1392.923948,None,1393.439322,None,1393.439322,None,f,0.6082019,1393.439322,None,0.6082019,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,132,0,132,0,,,,,,,,,,,,,,,,,,,,,,1402.89612,None,,,,,,,,,,,,,,,,,council,27,133,aloud,old,yellow,1394.571376,None,1394.571376,None,1,6.6524562,1394.571376,None,6.6524562,1401.246498,None,1401.765239,None,1401.765239,None,n,1.1063788,1401.765239,None,1.1063788,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,133,0,133,0,,,,,,,,,,,,,,,,,,,,,,1406.7502,None,,,,,,,,,,,,,,,,,orchestra,74,134,aloud,old,red,1403.40823,None,1403.40823,None,1,1.751490801,1403.40823,None,1.751490801,1405.182025,None,1405.682574,None,1405.682574,None,n,1.0369984,1405.682574,None,1.0369984,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,134,0,134,0,,,,,,,,,,,,,,,,,,,,,,1410.605751,None,,,,,,,,,,,,,,,,,territory,168,135,aloud,new,null,1407.260374,None,1407.260374,None,1,1.7391728,1407.260374,None,1.7391728,1409.022011,None,1409.539713,None,1409.539713,None,n,1.0359254,1409.539713,None,1.0359254,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,135,0,135,0,,,,,,,,,,,,,,,,,,,,,,1414.591334,None,,,,,,,,,,,,,,,,,pressure,137,136,aloud,new,null,1411.121962,None,1411.121962,None,1,1.8695936,1411.121962,None,1.8695936,1413.007722,None,1413.516516,None,1413.516516,None,n,1.058938299,1413.516516,None,1.058938299,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,136,0,136,0,,,,,,,,,,,,,,,,,,,,,,1418.795305,None,,,,,,,,,,,,,,,,,commercial,122,137,aloud,new,null,1415.093271,None,1415.093271,None,1,2.0743001,1415.093271,None,2.0743001,1417.199342,None,1417.711034,None,1417.711034,None,n,1.0564786,1417.711034,None,1.0564786,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,137,0,137,0,,,,,,,,,,,,,,,,,,,,,,1422.251726,None,,,,,,,,,,,,,,,,,bicycle,65,138,aloud,old,red,1419.313236,None,1419.313236,None,6,1.5102979,1419.313236,None,1.5102979,1420.851794,None,1421.369285,None,1421.369285,None,r,0.85422,1421.369285,None,0.85422,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
