StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,755.9715274,None,,,,,,,,,,,,,,,,,motion,21,50,silent,old,yellow,752.5025492,None,752.5025492,None,6,2.7000439,752.5025492,None,2.7000439,755.2226212,None,755.7383185,None,755.7383185,None,r,0.216324,755.7383185,None,0.216324,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,763.4956251,None,,,,,,,,,,,,,,,,,message,179,51,silent,new,null,756.4724325,None,756.4724325,None,5,5.2422731,756.4724325,None,5.2422731,761.7479825,None,762.2741361,None,762.2741361,None,r,1.2005733,762.2741361,None,1.2005733,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,769.8074635,None,,,,,,,,,,,,,,,,,citizen,98,52,silent,new,null,764.0165293,None,764.0165293,None,2,4.1222245,764.0165293,None,4.1222245,768.167861,None,768.6818377,None,768.6818377,None,f,1.0972679,768.6818377,None,1.0972679,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,776.5754787,None,,,,,,,,,,,,,,,,,dance,57,53,silent,old,blue,770.3213487,None,770.3213487,None,3,5.1292549,770.3213487,None,5.1292549,775.474509,None,775.9752893,None,775.9752893,None,f,0.5794354,775.9752893,None,0.5794354,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,779.5449933,None,,,,,,,,,,,,,,,,,question,112,54,silent,new,null,777.0918662,None,777.0918662,None,5,1.5668127,777.0918662,None,1.5668127,778.6776583,None,779.17975,None,779.17975,None,r,0.3349398,779.17975,None,0.3349398,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,782.4478829,None,,,,,,,,,,,,,,,,,individual,65,55,silent,old,red,780.056989,None,780.056989,None,6,1.3937148,780.056989,None,1.3937148,781.4835915,None,781.9977267,None,781.9977267,None,r,0.4290635,781.9977267,None,0.4290635,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,785.2197621,None,,,,,,,,,,,,,,,,,swift,77,56,silent,old,red,782.9673074,None,782.9673074,None,5,1.5553248,782.9673074,None,1.5553248,784.5510827,None,785.054247,None,785.054247,None,r,0.1326528,785.054247,None,0.1326528,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,788.9736152,None,,,,,,,,,,,,,,,,,quarter,68,57,silent,old,red,785.7348585,None,785.7348585,None,4,1.3398142,785.7348585,None,1.3398142,787.1036214,None,787.6106097,None,787.6106097,None,f,1.3362372,787.6106097,None,1.3362372,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,791.4651738,None,,,,,,,,,,,,,,,,,contract,67,58,silent,old,red,789.5042326,None,789.5042326,None,6,1.282367,789.5042326,None,1.282367,790.8073927,None,791.3072607,None,791.3072607,None,r,0.1277499,791.3072607,None,0.1277499,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,794.1932395,None,,,,,,,,,,,,,,,,,expansion,62,59,silent,old,red,791.977766,None,791.977766,None,6,1.1929369,791.977766,None,1.1929369,793.1935089,None,793.6963819,None,793.6963819,None,r,0.4742263,793.6963819,None,0.4742263,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
