StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,363.51512140000705,None,evidence,18,45,sing,yellow,361.51296339998953,None,None,,361.51296339998953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,366.01761579996673,None,danger,34,46,sing,blue,364.01568879996194,None,None,,364.01568879996194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,368.5201148999622,None,entrance,75,47,sing,red,366.5180466999882,None,None,,366.5180466999882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,371.0226152999676,None,color,0,48,sing,yellow,369.0206490000128,None,None,,369.0206490000128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,373.5251541999751,None,relation,11,49,sing,yellow,371.52586579998024,None,None,,371.52586579998024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,376.0276243999833,None,column,29,50,sing,blue,374.0282397000119,None,None,,374.0282397000119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,378.5299544999725,None,discussion,79,51,sing,red,376.52817750000395,None,None,,376.52817750000395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,381.03258080000523,None,heavy,58,52,sing,blue,379.0306028999621,None,None,,379.0306028999621,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,383.5517991000088,None,agreement,84,53,sing,red,381.53648959996644,None,None,,381.53648959996644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,386.05437639995944,None,literature,20,54,sing,yellow,384.0536761999829,None,None,,384.0536761999829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,388.55662109999685,None,pancakes,6,55,sing,yellow,386.5547384999809,None,None,,386.5547384999809,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,391.05940339999506,None,strain,78,56,sing,red,389.05734160001157,None,None,,389.05734160001157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,393.578520799987,None,government,49,57,sing,blue,391.56297049997374,None,None,,391.56297049997374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,396.0809611000004,None,short,12,58,sing,yellow,394.0811518999981,None,None,,394.0811518999981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,398.6000267000054,None,listen,23,59,sing,yellow,396.5863723999937,None,None,,396.5863723999937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,401.10268129996257,None,center,69,60,sing,red,399.1010457999655,None,None,,399.1010457999655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,403.6052376999869,None,impact,76,61,sing,red,401.60623520001536,None,None,,401.60623520001536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,406.1243543999735,None,shear,27,62,sing,yellow,404.11060459999135,None,None,,404.11060459999135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,408.6266767999623,None,marriage,42,63,sing,blue,406.62486300000455,None,None,,406.62486300000455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,411.12915789999533,None,bicycle,44,64,sing,blue,409.12779900000896,None,None,,409.12779900000896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,413.63196169998264,None,hearing,21,65,sing,yellow,411.6298197999713,None,None,,411.6298197999713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,416.13435800001025,None,bucket,17,66,sing,yellow,414.13236250000773,None,None,,414.13236250000773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,418.6368882000097,None,leader,13,67,sing,yellow,416.6353187999921,None,None,,416.6353187999921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,421.1560582999955,None,orchestra,66,68,sing,red,419.14088799996534,None,None,,419.14088799996534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,423.6752856000094,None,department,26,69,sing,yellow,421.6656626999611,None,None,,421.6656626999611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,426.17771479999647,None,reach,65,70,sing,red,424.1759820000152,None,None,,424.1759820000152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,428.68022839998594,None,suspect,5,71,sing,yellow,426.67826409998816,None,None,,426.67826409998816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,431.1993661999586,None,military,43,72,sing,blue,429.1851308000041,None,None,,429.1851308000041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
