StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,72,0,72,0,,,,,,,,,,,,,,,,,,,,,,842.9889666,None,,,,,,,,,,,,,,,,,piece,164,73,silent,new,null,839.6143322,None,839.6143322,None,1,2.584547,839.6143322,None,2.584547,842.2301343,None,842.7390612,None,842.7390612,None,n,0.2197986,842.7390612,None,0.2197986,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,73,0,73,0,,,,,,,,,,,,,,,,,,,,,,845.6084379,None,,,,,,,,,,,,,,,,,clear,64,74,silent,old,red,843.4914975,None,843.4914975,None,1,1.2993012,843.4914975,None,1.2993012,844.8137274,None,845.3250689,None,845.3250689,None,n,0.2657335,845.3250689,None,0.2657335,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,74,0,74,0,,,,,,,,,,,,,,,,,,,,,,849.2120743,None,,,,,,,,,,,,,,,,,enemy,119,75,silent,new,null,846.1164722,None,846.1164722,None,1,1.4023967,846.1164722,None,1.4023967,847.553376,None,848.0703181,None,848.0703181,None,n,1.1205514,848.0703181,None,1.1205514,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,75,0,75,0,,,,,,,,,,,,,,,,,,,,,,852.0483427,None,,,,,,,,,,,,,,,,,growth,106,76,silent,new,null,849.7180954,None,849.7180954,None,5,1.6087045,849.7180954,None,1.6087045,851.3503297,None,851.867557,None,851.867557,None,f,0.1632323,851.867557,None,0.1632323,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,76,0,76,0,,,,,,,,,,,,,,,,,,,,,,855.3401802,None,,,,,,,,,,,,,,,,,subject,26,77,silent,old,yellow,852.5524097,None,852.5524097,None,6,1.7823831,852.5524097,None,1.7823831,854.3580936,None,854.869798,None,854.869798,None,r,0.4490864,854.869798,None,0.4490864,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,77,0,77,0,,,,,,,,,,,,,,,,,,,,,,857.7540199,None,,,,,,,,,,,,,,,,,short,165,78,silent,new,null,855.8595944,None,855.8595944,None,1,1.163236,855.8595944,None,1.163236,857.0531384,None,857.5542115,None,857.5542115,None,n,0.172553,857.5542115,None,0.172553,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,78,0,78,0,,,,,,,,,,,,,,,,,,,,,,860.9905339,None,,,,,,,,,,,,,,,,,interior,17,79,silent,old,yellow,858.2649728,None,858.2649728,None,6,1.605954,858.2649728,None,1.605954,859.8940179,None,860.4114111,None,860.4114111,None,r,0.5634847,860.4114111,None,0.5634847,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,79,0,79,0,,,,,,,,,,,,,,,,,,,,,,865.2624486,None,,,,,,,,,,,,,,,,,beginning,78,80,silent,old,red,861.4942031,None,861.4942031,None,1,2.6485536,861.4942031,None,2.6485536,864.1606487,None,864.6624528,None,864.6624528,None,f,0.5764683,864.6624528,None,0.5764683,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,867.6138248,None,,,,,,,,,,,,,,,,,quick,22,81,silent,old,yellow,865.7730612,None,865.7730612,None,1,1.1296702,865.7730612,None,1.1296702,866.9362352,None,867.4513929,None,867.4513929,None,n,0.1474589,867.4513929,None,0.1474589,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,870.0515923,None,,,,,,,,,,,,,,,,,curve,177,82,silent,new,null,868.1159111,None,868.1159111,None,1,1.2349217,868.1159111,None,1.2349217,869.3669111,None,869.8917306,None,869.8917306,None,n,0.1391933,869.8917306,None,0.1391933,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
