StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,1573.842827,None,a,180.5385644,1573.842827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
,,,,,,,,,,,,,,SilentTest,1754.43028,None,space,14.7111751,1754.43028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
0,0,0,0,,,,,,,,,,,,,,,,,,1754.43028,None,1754.43028,None,1754.43028,None,1754.43028,None,1771.660705,None,point,85,1,silent,red,1769.658606,None,None,1769.658606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1774.180391,None,music,29,2,silent,blue,1772.167352,None,space,1772.167352,None,1.4300902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1776.685864,None,division,87,3,silent,red,1774.683451,None,space,1774.683451,None,1.2580176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,1779.201482,None,salary,61,4,silent,red,1777.199464,None,space,1777.199464,None,0.7102329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,1781.704119,None,quantity,50,5,silent,blue,1779.704575,None,space,1779.704575,None,1.4372123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,1784.206267,None,crisis,80,6,silent,red,1782.204972,None,space,1782.204972,None,0.8645431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,1786.725591,None,captain,11,7,silent,yellow,1784.714171,None,space,1784.714171,None,0.7074231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,1789.228686,None,mechanical,86,8,silent,red,1787.226141,None,space,1787.226141,None,1.595547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,1791.730407,None,pancakes,12,9,silent,yellow,1789.728612,None,space,1789.728612,None,0.7408243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,1794.2331,None,watch,32,10,silent,blue,1792.232112,None,space,1792.232112,None,0.6374477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,1796.735712,None,afternoon,74,11,silent,red,1794.735462,None,space,1794.735462,None,0.6538519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,1799.254843,None,skill,44,12,silent,blue,1797.242892,None,space,1797.242892,None,0.5704973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,1801.77411,None,level,77,13,silent,red,1799.759732,None,space,1799.759732,None,0.6216878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,1804.292874,None,accident,20,14,silent,yellow,1802.280261,None,space,1802.280261,None,0.6853021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,1806.795595,None,cousin,7,15,silent,yellow,1804.793447,None,None,1804.793447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,1809.314986,None,trash,78,16,silent,red,1807.301177,None,None,1807.301177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,1811.833918,None,interior,30,17,silent,blue,1809.822053,None,None,1809.822053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,1814.3365,None,character,57,18,silent,blue,1812.336886,None,None,1812.336886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,1816.839077,None,empty,0,19,silent,yellow,1814.839077,None,None,1814.839077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,1819.341406,None,company,34,20,silent,blue,1817.339454,None,None,1817.339454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,1821.843727,None,committee,64,21,silent,red,1819.843726,None,None,1819.843726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,1824.346215,None,conference,84,22,silent,red,1822.3446,None,None,1822.3446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,1826.849021,None,income,22,23,silent,yellow,1824.847685,None,None,1824.847685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,1829.368284,None,growth,54,24,silent,blue,1827.353913,None,None,1827.353913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,1831.88701,None,attack,76,25,silent,red,1829.871652,None,None,1829.871652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,1834.389795,None,discovery,82,26,silent,red,1832.387647,None,None,1832.387647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,1836.909052,None,scene,66,27,silent,red,1834.894198,None,None,1834.894198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,1839.411453,None,meeting,89,28,silent,red,1837.409479,None,None,1837.409479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,1841.913947,None,scale,56,29,silent,blue,1839.912002,None,None,1839.912002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,1844.433198,None,passage,10,30,silent,yellow,1842.419534,None,None,1842.419534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,1846.935516,None,drama,14,31,silent,yellow,1844.933681,None,None,1844.933681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,1849.454911,None,mayor,83,32,silent,red,1847.44016,None,None,1847.44016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,1851.957486,None,debate,70,33,silent,red,1849.957885,None,None,1849.957885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep23Silent1,55,2022_Sep_23_1450,ProdSingRedoBetween,2021.2.3,59.94772559
